title	artist with features	year	album	peak position	chart	titleCode
25 Bucks	Danny Brown featuring Purity Ring	2014	Old	18	Billboard 200	twentyFiveBucks
Ambition	Wale featuring Meek Mill and Rick Ross	2011	Ambition	81	Hot 100	ambition
Amnesia	Blu	2011	Her Favorite Colo(u)r	NA		amnesia
Aston Martin Music	Rick Ross featuring Chrisette Michele and Drake	2010	Teflon Don	30	Hot 100	astonMartin
Batches and Cookies	Lizzo featuring Sophia Eris	2013	Lizzobangers	NA		batchesAndCookies
Black and Yellow	Wiz Khalifa	2011	Rolling Papers	1	Hot 100	blackAndYellow
Cadillactica	Big K.R.I.T.	2014	Cadillactica	5	Billboard 200	cadillactica
Can't Trust'em	Dizzy Wright	2012	SmokeOut Conversations	NA		cantTrustEm
Candy Shop	50 Cent faeturing Olivia	2005	The Massacre	1	Hot 100	candyShop
Deliverance	Bubba Sparxxx	2003	Deliverance	10	Billboard 200	deliverance
Dilemma	Nelly featuring Kelly Rowland	2002	Nellyville	1	Hot 100	dilemma
Dis Aint What U Want	Lil Durk	2013	Signed to the Streets	NA		disAintWhat
Do It like You	Diggy Simmons featuring Jeremih	2012	Unexpected Arrival	NA		doItLikeYou
Drank in My Cup	Kirko Bangz	2011	Non-album single	28	Hot 100	drinkInMyCup
Drop It Like It's Hot	Snoop Dogg featuring Pharrell	2004	R & G (Rhythm & Gangsta): The Masterpiece	1	Hot 100	dropIt
Easy Rider	Action Bronson	2015	Mr. Wonderful	NA		easyRider
Get Ur Freak On	Missy Elliott	2001	Miss E ... So Addictive	40	Hot 100	getUr
Holy Grail	Jay-Z featuring Justin Timberlake	2013	Magna Carta Holy Grail	4	Hot 100	holyGrail
June	No Malice featugin Eric David	2012	Hear Ye Him	NA		june
Lighters Up	Lil' Kim	2005	The Naked Truth	31	Hot 100	lightersUp
Lost	Gorilla Zoe	2008	Don't Feed da Animals	71	Hot 100	lost
Make tha Trap Say Aye	OJ Da Juiceman featuring Gucci Mane	2007	The Otha Side of the Trap	22	Hot R&B/Hip-Hop Songs	makeThaTrap
Mighty Healthy	Ghostface Killah	2000	Supreme Clientele	NA		mightyHealthy
My Chick Bad	Ludacris featuring Nicki Minaj	2010	Battle of the Sexes	11	Hot 100	myChickBad
My Crew	Jean Grae	2003	The Bootleg of the Bootleg EP	NA		myCrew
No Love	August Alsina	2014	Testimony	69	Hot 100	noLove
One for Peedi Crakk	"Peedi Crack, Beanie Sigel, Freeway, & Young Chris"	2002	Dame Dash Present: Paid in Full Soundtrack	NA		oneFor
Pacman	Pill featuring Rick Ross	2011	Self Made Vol.1	NA		pacman
Pay for It	Jay Rock featuring Kendrick Lamara and Chantal	2014	Kanye West/Kendrick Lamar—Art Represents Life			payForIt
Pimpin' Ain't No Illusion	UKG featuring Kool-Ace and Too Short	2001	Dirty Money	74	Hot R&B/Hip-Hop Songs	pimpinAint
Ready	Fabolous featuring Chris Brown	2013	Non-album single	93	Hot 100	ready
Self Taught	Brother Ali	2004	Champion EP	NA		selfTaught
Set It Off	Lil Boosie	2006	Bad Azz	18	Billboard 200	setItOff
Sexy Love	Max B	2008	Max B on Demand: Max Payne	NA		sexyLove
Shutterbugg	Big Boi	2010	Sir Lucious Left Foot: The Son of Chico Dusty	3	Billboard 200	shutterbugg
Stay Fly	Three 6 Mafia featuring Eightball & MJG and Young Buck	2005	Ten Toes Down	13	Hot 100	stayFly
Stronger	Kanye West	2007	Graduation	1	Hot 100	stronger
Studio	Schoolboy Q featuring BJ The Chicago Kid	2014	Oxymoron	38	Hot 100	studio
The Good Fight	Phonte	2011	Charity Starts at Home	61	Billboard 200	theGoodFight
The Magic Clap	The Coup	2012	Sorry to Bother You	6	Independent Albums	theMagicClap
The Show Goes On	Lupe Fiasco	2011	Lasers	9	Hot 100	theShowGoesOn
Till It's Gone	Yelawolf	2014	Love Story	3	Billboard 200	tilItsGone
Under Pressure	Logic	2014	Under Pressure	4	Hot 100	underPressure
Water Whippin'	Ca$his	2012	The Art of Dying	NA		waterWhippin
We Gonna Make It	Jadakiss featuring Styles	2001	Kiss tha Game Goodbye	53	Hot R&B/Hip-Hop Songs	weGonnaMakeIt
Who Do You Love?	YG featuring Drake	2014	My Krazy Life	54	Hot 100	whoDoYouLove
Whoa!	Black Rob	2000	Life Story	43	Hot 100	whoa
Wonton Soup	Lil B	2010	Blue Flame	NA		wontonSoup
Y'all Ready Know	Slaughterhouse	2015	Shady XV	NA		yallReady
