word	syllable	quant	duration	rhymeClass	rhymeIndex	lineEnding	breathEnding
when	when	24	1	NA	NA	0	0
i'm	i'm	24	1	NA	NA	0	0
alone	a-	24	1	NA	NA	0	0
alone	lone	16	1	NA	NA	0	0
in	in	16	1	NA	NA	0	0
my	my	16	1	NA	NA	0	0
room	room	16	2	NA	NA	0	0
i	i	16	1	NA	NA	0	0
sit	sit	16	1	NA	NA	0	0
and	and	16	1	NA	NA	0	0
stare	stare	16	1	NA	NA	0	0
at	at	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
wall	wall	16	5	1	1	1	1
brother	bro-	16	1	NA	NA	0	0
brother	ther	16	1	NA	NA	0	0
can't	can't	16	2	NA	NA	0	0
find	find	16	2	NA	NA	0	0
no	no	16	2	NA	NA	0	0
love	love	16	2	NA	NA	0	0
at	at	16	1	NA	NA	0	0
all	all	16	2	1	1	1	1
i'm	i'm	16	1	NA	NA	0	0
gonna	gon-	16	1	NA	NA	0	0
gonna	na	16	1	NA	NA	0	0
find	find	16	2	NA	NA	0	0
you	you	16	1	NA	NA	0	0
girl	girl	16	3	NA	NA	0	0
somewhere	some-	16	2	NA	NA	0	0
somewhere	where	16	2	NA	NA	0	0
somehow	some-	16	2	NA	NA	0	0
somehow	how	16	6	2	1	1	1
i	i	16	2	NA	NA	0	0
need	need	16	2	NA	NA	0	0
you	you	16	2	NA	NA	0	0
right	right	16	4	NA	NA	0	0
now	now	16	4	2	1	1	1
search	search	16	2	NA	NA	0	0
the	the	16	1	NA	NA	0	0
world	world	16	3	NA	NA	0	0
couldn't	could-	16	1	NA	NA	0	0
couldn't	n't	16	1	NA	NA	0	0
find	find	16	2	NA	NA	0	0
that	that	16	2	NA	NA	0	0
feeling	feel-	16	2	3	1	0	0
feeling	in	16	3	3	2	1	1
cause	cause	16	1	NA	NA	0	0
your	your	16	2	NA	NA	0	0
love	love	16	2	NA	NA	0	0
is	is	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
one	one	16	2	NA	NA	0	0
in	in	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
million	mil-	16	1	3	1	0	0
million	lion	16	1	3	2	1	0
cause	cause	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
like	like	16	2	NA	NA	0	0
the	the	16	1	NA	NA	0	0
way	way	16	2	NA	NA	0	0
that	that	16	1	NA	NA	0	0
you	you	16	2	NA	NA	0	0
touch	touch	16	4	4	1	0	0
me	me	16	2	4	2	1	1
and	and	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
like	like	16	2	NA	NA	0	0
the	the	16	1	NA	NA	0	0
way	way	16	3	NA	NA	0	0
you	you	16	2	NA	NA	0	0
love	love	16	4	4	1	0	0
me	me	16	2	4	2	1	1
and	and	16	1	NA	NA	0	0
i'll	i'll	16	1	NA	NA	0	0
really	real-	16	2	NA	NA	0	0
really	ly	16	1	NA	NA	0	0
make	make	16	2	NA	NA	0	0
it	it	16	3	NA	NA	0	0
worth	worth	16	2	NA	NA	0	0
my	my	16	2	NA	NA	0	0
while	while	16	1	5	1	1	0
i	i	16	1	NA	NA	0	0
said	said	16	2	NA	NA	0	0
woof	woof	16	2	NA	NA	0	0
woof	woof	16	2	NA	NA	0	0
woof	woof	16	2	NA	NA	0	0
woof	woof	16	2	NA	NA	0	0
doggy	dog-	16	2	NA	NA	0	0
doggy	gy	16	1	NA	NA	0	0
style	style	16	3	5	1	1	1
cause	cause	16	1	NA	NA	0	0
you're	you're	16	1	NA	NA	0	0
on	on	16	2	NA	NA	0	0
my	my	16	1	NA	NA	0	0
mind	mind	16	5	NA	NA	0	1
on	on	16	2	NA	NA	0	0
my	my	16	1	NA	NA	0	0
thoughts	thoughts	16	5	6	1	1	1
let	let	16	2	NA	NA	0	0
me	me	16	2	NA	NA	0	0
see	see	16	2	NA	NA	0	0
your	your	16	2	NA	NA	0	0
body	bo-	16	2	NA	NA	0	0
body	dy	16	2	NA	NA	0	0
talk	talk	16	5	6	1	1	1
i'm	i'm	16	1	NA	NA	0	0
making	mak-	16	1	NA	NA	0	0
making	in	16	1	NA	NA	0	0
love	love	16	2	NA	NA	0	0
on	on	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
whole	whole	16	2	NA	NA	0	0
nother	no-	16	1	NA	NA	0	0
nother	ther	16	1	NA	NA	0	0
level	le-	16	2	7	1	0	0
level	vel	16	4	7	2	1	1
have	have	16	1	NA	NA	0	0
you	you	16	1	NA	NA	0	0
ever	e-	16	1	NA	NA	0	0
ever	ver	16	2	NA	NA	0	0
danced	danced	16	3	NA	NA	0	0
with	with	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
devil	de-	16	2	7	1	0	0
devil	vil	16	3	7	2	1	1
when	when	16	1	NA	NA	0	0
i'm	i'm	16	1	NA	NA	0	0
around	a-	16	1	NA	NA	0	0
around	round	16	2	NA	NA	0	0
you	you	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
feel	feel	16	2	NA	NA	0	0
like	like	16	2	NA	NA	0	0
this	this	16	5	8	1	1	1
a	a	16	1	NA	NA	0	0
kiss	kiss	16	4	8	1	0	0
is	is	16	3	NA	NA	0	0
just	just	16	2	NA	NA	0	0
a	a	16	1	NA	NA	0	0
kiss	kiss	16	1	8	1	1	1
