word	syllable	quant	duration	rhymeClass	rhymeIndex	lineEnding	breathEnding
i	i	16	1	NA	NA	0	0
cant	cant	16	1	NA	NA	0	0
believe	be-	16	1	NA	NA	0	0
believe	lieve	16	1	NA	NA	0	0
this	this	16	1	NA	NA	0	0
nigga	nig-	16	1	NA	NA	0	0
nigga	ga	16	1	NA	NA	0	0
use	use	16	1	NA	NA	0	0
my	my	16	1	NA	NA	0	0
name	name	16	1	NA	NA	0	0
for	for	16	1	NA	NA	0	0
picking	pick-	16	1	NA	NA	0	0
picking	ing	16	1	NA	NA	0	0
up	up	16	1	NA	NA	0	0
dimes	dimes	16	7	NA	NA	1	0
need	need	16	1	NA	NA	0	0
some	some	16	1	NA	NA	0	0
tracks	tracks	16	2	1	1	0	0
tryna	try-	16	1	NA	NA	0	0
tryna	na	16	1	NA	NA	0	0
pull	pull	16	1	NA	NA	0	0
tracks	tracks	16	2	1	1	0	0
out	out	16	3	NA	NA	1	1
and	and	16	1	NA	NA	0	0
my	my	16	1	NA	NA	0	0
rhymes	rhymes	16	1	NA	NA	0	0
is	is	16	1	NA	NA	0	0
finna	fin-	16	1	NA	NA	0	0
finna	na	16	1	NA	NA	0	0
blow	blow	16	1	NA	NA	0	0
you	you	16	1	NA	NA	0	0
trying	trying	16	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
blow	blow	16	1	NA	NA	0	0
backs	backs	16	2	1	1	0	0
out	out	16	6	NA	NA	1	1
twisted	twis-	16	1	2	1	0	0
twisted	ted	16	1	2	2	0	0
my	my	16	1	2	3	0	0
arm	arm	16	2	2	4	0	0
ill	ill	16	1	NA	NA	0	0
assist	ass-	16	1	NA	NA	0	0
assist	ist	16	1	2	1	0	0
with	with	16	1	2	2	0	0
the	the	16	1	2	3	0	0
charm	charm	16	2	2	4	0	0
ayo	a-	16	1	NA	NA	0	0
ayo	yo	16	2	NA	NA	1	1
aint	aint	16	1	NA	NA	0	0
you	you	16	1	NA	NA	0	0
meet	meet	16	1	NA	NA	0	0
that	that	16	1	NA	NA	0	0
chick	chick	16	1	NA	NA	0	0
at	at	16	1	NA	NA	0	0
that	that	16	1	NA	NA	0	0
conference	con-	16	1	NA	NA	0	0
conference	ference	16	1	2	1	0	0
with	with	16	1	2	2	0	0
your	your	16	1	2	3	0	0
moms	moms	16	9	2	4	1	1
but	but	16	1	NA	NA	0	0
she	she	16	1	NA	NA	0	0
got	got	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
bougie	boug-	16	1	NA	NA	0	0
bougie	ie	16	1	NA	NA	0	0
behavior	be-	16	1	3	1	0	0
behavior	ha-	16	1	3	2	0	0
behavior	vior	16	2	3	3	1	0
always	al-	16	1	NA	NA	0	0
always	ways	16	1	NA	NA	0	0
got	got	16	1	NA	NA	0	0
something	some-	16	1	NA	NA	0	0
something	thing	16	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
say	say	16	2	NA	NA	0	0
like	like	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
okay	o-	16	1	NA	NA	0	0
okay	kay	16	1	NA	NA	0	0
playa	play-	16	1	NA	NA	0	0
playa	a	16	1	3	1	0	0
hater	ha-	16	1	3	2	0	0
hater	ter	16	5	3	3	1	1
i	i	16	1	NA	NA	0	0
dont	dont	16	1	NA	NA	0	0
usually	u-	16	1	NA	NA	0	0
usually	sually	16	1	NA	NA	0	0
fuck	fuck	16	2	NA	NA	0	0
with	with	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
internet	in-	16	1	4	1	0	0
internet	ter-	16	1	4	2	0	0
internet	net	16	1	4	3	1	0
or	or	16	1	NA	NA	0	0
chicks	chicks	16	1	NA	NA	0	0
with	with	16	1	NA	NA	0	0
birth	birth	16	1	NA	NA	0	0
control	con-	16	1	NA	NA	0	0
control	trol	16	2	NA	NA	0	0
stuck	stuck	16	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
they	they	16	1	NA	NA	0	0
arm	arm	16	2	NA	NA	0	0
like	like	16	1	NA	NA	0	0
nicorette	ni-	16	1	4	1	0	0
nicorette	co-	16	1	4	2	0	0
nicorette	rette	16	2	4	3	1	1
you	you	16	1	NA	NA	0	0
really	real-	16	1	NA	NA	0	0
really	ly	16	1	NA	NA	0	0
fuckin	fuck-	16	1	NA	NA	0	0
fuckin	in	16	1	NA	NA	0	0
that	that	16	1	NA	NA	0	0
much	much	16	1	NA	NA	0	0
or	or	16	1	NA	NA	0	0
trying	trying	16	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
get	get	16	1	NA	NA	0	0
off	off	16	1	NA	NA	0	0
cigarettes	ci-	16	1	4	1	0	0
cigarettes	ga-	16	1	4	2	0	0
cigarettes	rettes	16	2	4	3	1	1
if	if	16	1	NA	NA	0	0
she	she	16	1	NA	NA	0	0
think	think	16	1	NA	NA	0	0
its	its	16	1	NA	NA	0	0
fly	fly	16	2	NA	NA	0	0
she	she	16	1	NA	NA	0	0
aint	aint	16	1	NA	NA	0	0
met	met	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
real	real	16	2	NA	NA	0	0
nigga	nig-	16	1	4	1	0	0
nigga	ga	16	1	4	2	0	0
yet	yet	16	1	4	3	1	1
now	now	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
apologize	a-	16	1	NA	NA	0	0
apologize	po-	16	1	NA	NA	0	0
apologize	lo-	16	1	NA	NA	0	0
apologize	gize	16	1	NA	NA	0	0
if	if	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
come	come	16	1	NA	NA	0	0
off	off	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
little	lit-	16	1	NA	NA	0	0
little	tle	16	1	NA	NA	0	0
inconsiderate	in-	16	1	NA	NA	0	0
inconsiderate	con-	16	1	NA	NA	0	0
inconsiderate	sid-	16	1	4	1	0	0
inconsiderate	er-	16	1	4	2	0	0
inconsiderate	ate	16	1	4	3	1	0
i	i	16	1	NA	NA	0	0
got	got	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
bubba	bub-	16	1	NA	NA	0	0
bubba	ba	16	1	NA	NA	0	0
kush	kush	16	1	NA	NA	0	0
and	and	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
sister	sis-	16	1	NA	NA	0	0
sister	ter	16	1	NA	NA	0	0
could	could	16	1	NA	NA	0	0
get	get	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
hit	hit	16	1	4	1	0	0
of	of	16	1	4	2	0	0
it	it	16	2	4	3	1	1
