word	syllable	quant	duration	rhymeClass	rhymeIndex	lineEnding	breathEnding
locked	locked	8	1	NA	NA	0	0
in	in	16	1	NA	NA	0	0
mariahs	ma-	16	1	NA	NA	0	0
mariahs	ri-	16	1	NA	NA	0	0
mariahs	ahs	16	1	NA	NA	0	0
wine	wine	8	1	NA	NA	0	0
cellar	cel-	16	1	NA	NA	0	0
cellar	lar	16	1	NA	NA	0	0
all	all	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
had	had	8	1	1	1	0	0
for	for	16	1	1	2	0	0
lunch	lunch	8	1	1	3	1	1
was	was	16	1	NA	NA	0	0
red	red	8	1	NA	NA	0	0
wine	wine	8	1	2	1	0	0
more	more	16	1	NA	NA	0	0
red	red	8	1	NA	NA	0	0
wine	wine	8	1	2	1	0	0
and	and	16	1	NA	NA	0	0
captain	cap-	8	1	1	1	0	0
captain	tain	16	1	1	2	0	0
crunch	crunch	16	3	1	3	1	1
red	red	8	1	NA	NA	0	0
wine	wine	16	1	2	1	0	0
for	for	16	1	NA	NA	0	0
breakfast	break-	16	1	NA	NA	0	0
breakfast	fast	16	1	NA	NA	0	0
and	and	8	1	1	1	0	0
for	for	16	1	1	2	0	0
brunch	brunch	16	2	1	3	0	1
and	and	8	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
soak	soak	16	1	NA	NA	0	0
it	it	16	1	NA	NA	0	0
up	up	16	1	NA	NA	0	0
an	an	16	1	NA	NA	1	0
in	in	16	1	NA	NA	0	0
between	bet-	16	1	NA	NA	0	0
between	ween	8	1	NA	NA	0	0
snack	snack	8	1	NA	NA	0	0
crackers	crack-	8	1	NA	NA	0	0
crackers	ers	8	1	1	1	0	0
to	to	16	1	1	2	0	0
munch	munch	8	1	1	3	1	1
mariah	ma-	16	1	NA	NA	0	0
mariah	ri-	16	1	NA	NA	0	0
mariah	ah	16	1	NA	NA	0	0
what	what	16	1	NA	NA	0	0
ever	e-	16	1	NA	NA	0	0
ever	ver	16	1	NA	NA	0	0
happened	hap-	8	1	NA	NA	0	0
happened	pened	16	1	1	1	0	0
to	to	16	1	1	2	0	0
us	us	8	1	1	3	0	1
why	why	16	1	NA	NA	0	0
did	did	16	1	NA	NA	0	0
we	we	16	1	NA	NA	0	0
have	have	16	1	NA	NA	0	0
to	to	16	1	1	1	0	0
break	break	16	1	1	2	0	0
up	up	16	3	1	3	1	1
all	all	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
asked	asked	16	1	NA	NA	0	0
for	for	16	1	NA	NA	0	0
was	was	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
glass	glass	8	1	1	1	0	0
of	of	16	1	1	2	0	0
punch	punch	8	1	1	3	1	1
you	you	16	1	NA	NA	0	0
see	see	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
never	ne-	16	1	NA	NA	0	0
never	ver	16	1	NA	NA	0	0
really	real-	16	1	NA	NA	0	0
really	ly	16	1	NA	NA	0	0
asked	asked	8	1	1	1	0	0
for	for	16	1	1	2	0	0
much	much	8	1	1	3	0	1
i	i	16	1	NA	NA	0	0
cant	cant	16	1	NA	NA	0	0
imagine	i-	16	1	NA	NA	0	0
imagine	mag-	8	1	1	1	0	0
imagine	ine	16	1	1	2	0	0
whats	whats	16	3	1	3	1	1
going	go-	16	1	NA	NA	0	0
going	ing	16	1	NA	NA	0	0
through	through	16	1	NA	NA	0	0
your	your	16	1	NA	NA	0	0
mind	mind	8	1	NA	NA	0	0
after	af-	8	1	NA	NA	0	0
after	ter	16	1	NA	NA	0	0
such	such	8	1	NA	NA	1	1
a	a	16	1	NA	NA	0	0
nasty	nas-	8	1	NA	NA	0	0
nasty	ty	8	1	NA	NA	0	0
breakup	break-	16	2	NA	NA	0	0
breakup	up	16	1	NA	NA	0	0
with	with	16	1	NA	NA	0	0
that	that	8	1	NA	NA	0	0
latin	la-	8	1	1	1	0	0
latin	tin	16	1	1	2	0	0
hunk	hunk	8	1	1	3	1	1
louis	lou-	16	1	NA	NA	0	0
louis	is	8	1	NA	NA	0	0
miguel	mi-	16	1	NA	NA	0	0
miguel	guel	8	1	NA	NA	0	0
nick	nick	16	1	NA	NA	0	0
cannon	can-	16	1	NA	NA	0	0
cannon	non	16	1	NA	NA	0	0
better	bet-	16	1	NA	NA	0	0
better	ter	16	1	NA	NA	0	0
back	back	8	1	1	1	0	0
the	the	16	1	1	2	0	0
fuck	fuck	16	3	1	3	0	1
up	up	8	1	NA	NA	1	0
im	im	16	1	NA	NA	0	0
not	not	8	1	NA	NA	0	0
playing	play-	16	1	NA	NA	0	0
playing	ing	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
want	want	16	1	NA	NA	0	0
her	her	16	1	NA	NA	0	0
back	back	8	1	1	1	0	0
