word	syllable	quant	duration	rhymeClass	rhymeIndex	lineEnding	breathEnding
they	they	16	2	NA	NA	0	0
done	done	16	2	NA	NA	0	0
fucked	fucked	16	3	NA	NA	0	0
up	up	16	5	NA	NA	0	0
fetch	fetch	16	2	1	1	0	0
the	the	16	1	1	2	0	0
bong	bong	16	5	1	3	0	1
remix	re-	16	2	NA	NA	0	0
remix	mix	16	2	NA	NA	0	0
bitch	bitch	16	2	NA	NA	0	0
i'm	i'm	16	2	NA	NA	0	0
extra	ex-	16	2	1	1	0	0
extra	tra	16	1	1	2	0	0
on	on	16	3	1	3	1	0
i'm	i'm	16	2	NA	NA	0	0
rolling	rol-	16	1	NA	NA	0	0
rolling	lin'	16	2	NA	NA	0	0
weed	weed	16	5	2	1	0	1
overseas	o-	16	1	NA	NA	0	0
overseas	ver-	16	2	NA	NA	0	0
overseas	seas	16	3	2	1	0	0
funk	funk	16	2	NA	NA	0	0
volume	vol-	16	1	NA	NA	0	0
volume	ume	16	1	NA	NA	0	0
bitch	bitch	16	2	NA	NA	0	0
we	we	16	2	NA	NA	0	0
finna	fin-	16	1	NA	NA	0	0
finna	na	16	1	NA	NA	0	0
set	set	16	2	1	1	0	0
the	the	16	1	1	2	0	0
tone	tone	16	3	1	3	1	1
can't	can't	16	2	NA	NA	0	0
trust	trust	16	1	NA	NA	0	0
em	em	16	3	NA	NA	0	1
fuck	fuck	16	1	3	1	0	0
it	it	16	3	3	2	0	1
put	put	16	1	NA	NA	0	0
em'	em'	16	1	NA	NA	0	0
in	in	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
bucket	buc-	16	1	3	1	0	0
bucket	ket	16	3	3	2	0	1
wanna	wan-	16	1	NA	NA	0	0
wanna	na	16	1	NA	NA	0	0
see	see	16	1	NA	NA	0	0
my	my	16	1	NA	NA	0	0
dick	dick	16	1	NA	NA	0	0
so	so	16	1	NA	NA	0	0
you	you	16	1	NA	NA	0	0
could	could	16	1	NA	NA	0	0
hug	hug	16	1	3	1	0	0
it	it	16	3	3	2	1	1
came	came	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
long	long	16	2	4	1	0	0
way	way	16	2	4	2	0	0
for	for	16	1	NA	NA	0	0
niggas	nig-	16	1	NA	NA	0	0
niggas	gas	16	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
fuck	fuck	16	1	NA	NA	0	0
with	with	16	1	NA	NA	0	0
me	me	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
long	long	16	2	4	1	0	0
way	way	16	2	4	2	0	0
independent	in-	16	1	NA	NA	0	0
independent	de-	16	1	NA	NA	0	0
independent	pen-	16	1	NA	NA	0	0
independent	dent	16	1	NA	NA	0	0
on	on	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
motherfucking	mo-	16	1	NA	NA	0	0
motherfucking	ther-	16	1	NA	NA	0	0
motherfucking	fuck-	16	1	NA	NA	0	0
