word	syllable	quant	duration	rhymeClass	rhymeIndex	lineEnding	breathEnding
have	have	16	1	NA	NA	0	0
you	you	16	1	NA	NA	0	0
ever	e-	16	1	NA	NA	0	0
ever	ver	16	1	NA	NA	0	0
had	had	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
feeling	feel-	16	1	NA	NA	0	0
feeling	ing	16	1	NA	NA	0	0
that	that	16	2	1	1	0	1
you	you	16	1	NA	NA	0	0
was	was	16	1	NA	NA	0	0
being	be-	16	1	NA	NA	0	0
being	ing	16	1	NA	NA	0	0
had	had	16	2	1	1	1	1
don't	don't	16	1	NA	NA	0	0
that	that	16	1	NA	NA	0	0
shit	shit	16	1	NA	NA	0	0
there	there	16	1	NA	NA	0	0
make	make	16	1	NA	NA	0	0
you	you	16	1	NA	NA	0	0
mad	mad	16	3	1	1	0	1
they	they	16	1	NA	NA	0	0
treat	treat	16	1	NA	NA	0	0
you	you	16	1	NA	NA	0	0
like	like	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
slave	slave	16	3	NA	NA	1	1
put	put	16	1	NA	NA	0	0
chains	chains	16	1	NA	NA	0	0
all	all	16	1	NA	NA	0	0
on	on	16	1	NA	NA	0	0
your	your	16	1	NA	NA	0	0
soul	soul	16	2	NA	NA	0	0
and	and	16	1	NA	NA	0	0
put	put	16	1	NA	NA	0	0
whips	whips	16	1	NA	NA	0	0
up	up	16	1	NA	NA	0	0
on	on	16	1	NA	NA	0	0
your	your	16	1	NA	NA	0	0
back	back	16	2	1	1	1	1
they	they	16	1	NA	NA	0	0
be	be	16	1	NA	NA	0	0
lying	ly-	16	1	NA	NA	0	0
lying	ing	16	1	NA	NA	0	0
through	through	16	1	NA	NA	0	0
they	they	16	1	NA	NA	0	0
teeth	teeth	16	2	NA	NA	0	1
hope	hope	16	1	NA	NA	0	0
you	you	16	1	NA	NA	0	0
slip	slip	16	1	NA	NA	0	0
up	up	16	1	NA	NA	0	0
off	off	16	1	NA	NA	0	0
your	your	16	1	NA	NA	0	0
path	path	16	2	1	1	1	1
i	i	16	1	NA	NA	0	0
don't	don't	16	1	NA	NA	0	0
switch	switch	16	1	NA	NA	0	0
up	up	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
just	just	16	1	NA	NA	0	0
laugh	laugh	16	2	1	1	0	1
put	put	16	1	NA	NA	0	0
my	my	16	1	NA	NA	0	0
kicks	kicks	16	1	NA	NA	0	0
up	up	16	1	NA	NA	0	0
on	on	16	1	NA	NA	0	0
they	they	16	1	NA	NA	0	0
desk	desk	16	2	2	1	1	1
unaffected	un-	16	1	NA	NA	0	0
unaffected	af-	16	1	NA	NA	0	0
unaffected	fec-	16	1	NA	NA	0	0
unaffected	ted	16	1	NA	NA	0	0
by	by	16	1	NA	NA	0	0
they	they	16	1	NA	NA	0	0
threats	threats	16	2	2	1	0	1
then	then	16	1	NA	NA	0	0
get	get	16	1	NA	NA	0	0
busy	bu-	16	1	NA	NA	0	0
busy	sy	16	1	NA	NA	0	0
on	on	16	1	NA	NA	0	0
they	they	16	1	NA	NA	0	0
ass	ass	16	2	1	1	1	1
see	see	16	1	NA	NA	0	0
that's	that's	16	1	NA	NA	0	0
how	how	16	1	NA	NA	0	0
that	that	16	1	NA	NA	0	0
chi	chi	16	1	NA	NA	0	0
town	town	16	1	NA	NA	0	1
made	made	16	2	3	1	0	0
me	me	16	1	3	2	0	0
that's	that's	16	1	NA	NA	0	0
how	how	16	1	NA	NA	0	0
my	my	16	1	NA	NA	0	0
daddy	dad-	16	1	NA	NA	0	0
daddy	dy	16	1	NA	NA	0	0
raised	raised	16	2	3	1	0	0
me	me	16	1	3	2	1	1
that	that	16	1	NA	NA	0	0
glittering	glit-	16	1	NA	NA	0	0
glittering	ter-	16	1	NA	NA	0	0
glittering	in'	16	1	NA	NA	0	0
may	may	16	1	NA	NA	0	0
not	not	16	1	NA	NA	0	0
be	be	16	1	NA	NA	0	0
gold	gold	16	1	NA	NA	0	0
don't	don't	16	1	NA	NA	0	0
let	let	16	1	NA	NA	0	0
nobody	no-	16	1	NA	NA	0	0
nobody	bo-	16	1	NA	NA	0	0
nobody	dy	16	1	NA	NA	0	0
play	play	16	2	3	1	0	0
me	me	16	2	3	2	1	1
if	if	16	1	NA	NA	0	0
you	you	16	1	NA	NA	0	0
are	are	16	1	NA	NA	0	0
my	my	16	1	NA	NA	0	0
home	home	16	2	NA	NA	0	0
boy	boy	16	1	NA	NA	0	0
you	you	16	1	NA	NA	0	0
never	ne-	16	1	NA	NA	0	0
never	ver	16	1	NA	NA	0	0
have	have	16	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
pay	pay	16	2	3	1	0	0
me	me	16	2	3	2	1	1
go	go	16	1	NA	NA	0	0
in	in	32	1	NA	NA	0	0
and	and	32	1	NA	NA	0	0
put	put	16	1	NA	NA	0	0
your	your	16	1	NA	NA	0	0
hands	hands	16	2	4	1	0	0
up	up	16	1	4	2	0	1
when	when	16	1	NA	NA	0	0
times	times	16	1	NA	NA	0	0
is	is	16	1	NA	NA	0	0
hard	hard	16	1	NA	NA	0	0
you	you	16	1	NA	NA	0	0
stand	stand	16	2	4	1	0	0
up	up	16	2	4	2	1	1
l	l	16	1	NA	NA	0	0
u	u	16	1	NA	NA	0	0
p	p	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
man	man	16	2	NA	NA	0	0
cuz	cuz	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
brand	brand	16	2	4	1	0	0
that	that	16	1	4	2	0	0
the	the	16	1	NA	NA	0	0
fans	fans	16	2	4	1	0	0
trust	trust	16	1	4	2	1	0
so	so	16	1	NA	NA	0	0
even	e-	16	1	NA	NA	0	0
even	ven	16	1	NA	NA	0	0
if	if	16	1	NA	NA	0	0
they	they	16	1	NA	NA	0	0
ban	ban	16	2	4	1	0	0
us	us	16	1	4	2	0	0
they'll	they'll	16	1	NA	NA	0	0
never	ne-	16	1	NA	NA	0	0
never	ver	16	1	NA	NA	0	0
slow	slow	16	1	NA	NA	0	0
