word	syllable	quant	duration	rhymeClass	rhymeIndex	lineEnding	breathEnding
i	i	16	1	NA	NA	0	0
walked	walked	8	1	NA	NA	0	0
into	in-	24	1	NA	NA	0	0
into	to	24	1	NA	NA	0	0
a	a	24	1	NA	NA	0	0
gunfight	gun-	12	1	NA	NA	0	0
gunfight	fight	12	1	NA	NA	0	0
with	with	24	1	NA	NA	0	0
a	a	24	1	NA	NA	0	0
knife	knife	8	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
kill	kill	16	1	1	1	0	0
you	you	16	3	1	2	1	1
and	and	16	1	NA	NA	0	0
cut	cut	16	1	NA	NA	0	0
you	you	16	1	NA	NA	0	0
so	so	8	1	NA	NA	0	0
fast	fast	6	1	NA	NA	0	0
when	when	24	1	NA	NA	0	0
your	your	24	1	NA	NA	0	0
blood	blood	12	1	NA	NA	0	0
spilled	spilled	12	1	NA	NA	0	0
it	it	24	1	NA	NA	0	0
was	was	24	1	NA	NA	0	0
still	still	16	1	1	1	0	0
blue	blue	16	5	1	2	1	1
ill	ill	16	1	NA	NA	0	0
hang	hang	16	2	2	1	0	0
you	you	16	1	2	2	0	0
til	til	16	1	NA	NA	0	0
you	you	16	1	NA	NA	0	0
dangle	dan-	16	1	2	1	0	0
dangle	gle	16	1	2	2	0	0
and	and	16	1	NA	NA	0	0
chain	chain	16	1	2	1	0	0
you	you	16	1	2	2	0	0
with	with	16	1	NA	NA	0	0
both	both	16	2	NA	NA	0	0
ankles	an-	16	1	2	1	0	0
ankles	kles	16	2	2	2	1	1
and	and	16	1	NA	NA	0	0
pull	pull	16	1	NA	NA	0	0
you	you	16	1	NA	NA	0	0
apart	a-	16	1	NA	NA	0	0
apart	part	16	2	NA	NA	0	0
from	from	16	1	NA	NA	0	0
both	both	16	2	NA	NA	0	0
angles	an-	16	1	2	1	0	0
angles	gles	4	1	2	2	1	1
i	i	16	1	NA	NA	0	0
wanna	wan-	16	1	NA	NA	0	0
wanna	na	16	1	NA	NA	0	0
crush	crush	16	1	NA	NA	0	0
your	your	16	1	NA	NA	0	0
skull	skull	8	1	NA	NA	0	0
til	til	16	1	NA	NA	0	0
your	your	16	1	NA	NA	0	0
brains	brains	8	1	3	1	0	0
leaks	leaks	16	1	NA	NA	0	0
out	out	16	1	NA	NA	0	0
of	of	16	1	NA	NA	0	0
your	your	16	1	NA	NA	0	0
veins	veins	16	3	3	1	1	0
and	and	16	1	NA	NA	0	0
bust	bust	16	1	NA	NA	0	0
open	o-	16	1	NA	NA	0	0
open	pen	16	1	NA	NA	0	0
like	like	16	1	NA	NA	0	0
broken	bro-	16	1	NA	NA	0	0
broken	ken	16	1	NA	NA	0	0
water	wa-	16	1	NA	NA	0	0
water	ter	16	1	NA	NA	0	0
mains	mains	16	5	3	1	1	1
so	so	16	1	NA	NA	0	0
tell	tell	16	1	NA	NA	0	0
saddam	sad-	16	1	4	1	0	0
saddam	dam	16	2	NA	NA	0	0
not	not	16	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
bother	bo-	16	1	4	1	0	0
bother	ther	16	1	NA	NA	0	0
with	with	16	1	NA	NA	0	0
making	mak-	16	1	NA	NA	0	0
making	ing	16	1	NA	NA	0	0
another	a-	16	1	NA	NA	0	0
another	no-	16	1	NA	NA	0	0
another	ther	16	1	NA	NA	0	0
bomb	bomb	16	2	4	1	1	0
cause	cause	16	1	NA	NA	0	0
im	im	16	1	NA	NA	0	0
crushing	crush-	16	1	NA	NA	0	0
crushing	ing	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
whole	whole	16	1	NA	NA	0	0
world	world	16	2	NA	NA	0	0
in	in	16	1	NA	NA	0	0
my	my	16	1	NA	NA	0	0
palm	palm	4	1	4	1	1	1
got	got	24	1	NA	NA	0	0
your	your	24	1	NA	NA	0	0
girl	girl	12	1	NA	NA	0	0
on	on	24	1	NA	NA	0	0
my	my	24	1	NA	NA	0	0
arm	arm	8	1	4	1	0	0
and	and	32	1	NA	NA	0	0
im	im	32	1	NA	NA	0	0
armed	armed	8	1	4	1	0	0
with	with	32	1	NA	NA	0	0
a	a	32	1	NA	NA	0	0
firearm	fi-	16	1	NA	NA	0	0
firearm	re-	16	1	NA	NA	0	0
firearm	arm	16	3	4	1	1	0
so	so	16	1	NA	NA	0	0
big	big	8	1	NA	NA	0	0
my	my	16	1	NA	NA	0	0
entire	en-	16	1	NA	NA	0	0
entire	ti-	24	1	NA	NA	0	0
entire	re	24	1	NA	NA	0	0
arm	arm	12	1	4	1	0	0
is	is	24	1	NA	NA	0	0
a	a	24	1	NA	NA	0	0
giant	gi-	16	1	NA	NA	0	0
giant	ant	16	1	NA	NA	0	0
firebomb	fi-	16	1	NA	NA	0	0
firebomb	re-	16	1	NA	NA	0	0
firebomb	bomb	4	1	4	1	1	1
buy	buy	16	1	NA	NA	0	0
your	your	16	1	NA	NA	0	0
mom	mom	16	1	4	1	0	0
a	a	16	1	NA	NA	0	0
shirt	shirt	6	1	NA	NA	0	0
with	with	24	1	NA	NA	0	0
a	a	24	1	NA	NA	0	0
slim	slim	8	1	NA	NA	0	0
shady	sha-	16	1	NA	NA	0	0
shady	dy	16	1	NA	NA	0	0
iron	i-	16	1	NA	NA	0	0
iron	ron	16	1	NA	NA	0	0
on	on	16	3	4	1	1	1
and	and	32	1	NA	NA	0	0
the	the	32	1	NA	NA	0	0
pants	pants	8	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
match	match	16	3	NA	NA	0	1
here	here	8	1	NA	NA	0	0
momma	mom-	16	1	NA	NA	0	0
momma	ma	16	1	NA	NA	0	0
try	try	16	1	NA	NA	0	0
em	em	16	1	NA	NA	0	0
on	on	16	3	4	1	1	1
i	i	16	1	NA	NA	0	0
get	get	16	1	NA	NA	0	0
imaginative	i-	16	1	NA	NA	0	0
imaginative	mag-	8	1	NA	NA	0	0
imaginative	i-	32	1	5	1	0	0
imaginative	na-	32	1	5	2	0	0
imaginative	tive	8	1	5	3	0	0
with	with	32	1	NA	NA	0	0
a	a	32	1	NA	NA	0	0
mouth	mouth	16	1	NA	NA	0	0
full	full	32	1	NA	NA	0	0
of	of	32	1	NA	NA	0	0
adjectives	ad-	8	1	5	1	0	0
adjectives	jec-	16	1	5	2	0	0
adjectives	tives	8	1	5	3	1	0
a	a	16	1	NA	NA	0	0
brain	brain	16	1	NA	NA	0	0
full	full	32	1	NA	NA	0	0
of	of	32	1	NA	NA	0	0
adverbs	ad-	12	1	NA	NA	0	0
adverbs	verbs	12	1	NA	NA	0	0
and	and	24	1	NA	NA	0	0
a	a	24	1	NA	NA	0	0
box	box	8	1	NA	NA	0	0
full	full	32	1	NA	NA	0	0
of	of	32	1	NA	NA	0	0
laxatives	lax-	8	1	5	1	0	0
laxatives	a-	16	1	5	2	0	0
laxatives	tives	8	3	5	3	1	1
causing	caus-	24	1	NA	NA	0	0
causing	ing	24	1	NA	NA	0	0
hospital	hos-	12	1	NA	NA	0	0
hospital	pi-	24	1	NA	NA	0	0
hospital	tal	24	1	NA	NA	0	0
accidents	ac-	8	1	5	1	0	0
accidents	cid-	16	1	5	2	0	0
accidents	ents	16	3	5	3	1	1
god	god	8	1	NA	NA	0	0
help	help	16	1	NA	NA	0	0
me	me	16	1	NA	NA	0	0
