word	syllable	quant	duration	rhymeClass	rhymeIndex	lineEnding	breathEnding
e	e	8	1	NA	NA	0	0
is	is	8	1	NA	NA	0	0
chillin	chi-	16	1	1	1	0	0
chillin	llin	16	3	1	2	0	1
kwe	kwe	16	2	NA	NA	0	0
is	is	16	2	NA	NA	0	0
chillin	chi-	16	1	1	1	0	0
chillin	llin	16	3	1	2	1	1
whip	whip	16	2	NA	NA	0	0
in	in	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
house	house	16	2	NA	NA	0	0
brooklyn	brook-	16	2	NA	NA	0	0
brooklyn	lyn	16	2	NA	NA	0	0
in	in	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
building	build-	16	1	1	1	0	0
building	ing	16	3	1	2	1	1
blood	blood	16	2	NA	NA	0	0
on	on	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
dance	dance	16	2	NA	NA	0	0
floor	floor	16	2	NA	NA	0	0
sweat	sweat	16	2	NA	NA	0	0
on	on	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
ceiling	ceil-	16	1	1	1	0	0
ceiling	ing	16	1	1	2	1	0
when	when	16	1	NA	NA	0	0
you	you	16	1	NA	NA	0	0
get	get	16	2	NA	NA	0	0
that	that	16	2	NA	NA	0	0
feeling	feel-	16	1	1	1	0	0
feeling	ing	16	1	1	2	0	0
that	that	16	2	NA	NA	0	1
gun	gun	16	2	NA	NA	0	0
concealing	con-	16	2	NA	NA	0	0
concealing	ceal-	16	1	1	1	0	0
concealing	ing	16	1	1	2	0	0
is	is	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
hobby	hob-	16	2	2	1	0	0
hobby	by	16	1	2	2	1	1
nobody	no-	16	1	NA	NA	0	0
nobody	bo-	16	1	NA	NA	0	0
nobody	dy	16	1	NA	NA	0	0
stealing	steal-	16	1	NA	NA	0	0
stealing	ing	16	1	NA	NA	0	0
shows	shows	16	2	NA	NA	0	0
like	like	16	2	NA	NA	0	0
kweli	kwe-	16	1	2	1	0	0
kweli	li	16	1	2	2	1	0
working	work-	16	1	NA	NA	0	0
working	ing	16	1	NA	NA	0	0
on	on	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
new	new	16	2	NA	NA	0	0
project	pro-	16	1	NA	NA	0	0
project	ject	16	1	NA	NA	0	0
while	while	16	1	NA	NA	0	0
you	you	16	1	NA	NA	0	0
chillin	chi-	16	1	NA	NA	0	0
chillin	llin	16	1	NA	NA	0	0
in	in	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
lobby	lob-	16	1	2	1	0	0
lobby	by	16	1	2	2	1	0
keep	keep	16	1	NA	NA	0	0
it	it	16	1	NA	NA	0	0
through	through	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
way	way	16	2	NA	NA	0	0
real	real	16	4	3	1	0	1
guns	guns	16	2	NA	NA	0	0
dont	dont	16	2	NA	NA	0	0
kill	kill	16	4	3	1	1	1
people	peo-	16	1	NA	NA	0	0
people	ple	16	1	NA	NA	0	0
kill	kill	16	2	NA	NA	0	0
people	peo-	16	1	NA	NA	0	0
people	ple	16	1	NA	NA	0	0
but	but	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
sun	sun	16	2	NA	NA	0	0
dont	dont	16	2	NA	NA	0	0
chill	chill	16	3	3	1	1	1
but	but	16	1	NA	NA	0	0
still	still	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
stand	stand	16	2	NA	NA	0	0
cooler	cool-	16	1	NA	NA	0	0
cooler	er	16	1	NA	NA	0	0
than	than	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
minnesota	min-	16	1	NA	NA	0	0
minnesota	ne-	16	1	NA	NA	0	0
minnesota	so-	16	1	NA	NA	0	0
minnesota	ta	16	1	NA	NA	0	0
winter	win-	16	1	4	1	0	0
winter	ter	16	1	4	2	1	0
nigga	nig-	16	1	4	1	0	0
nigga	ga	16	1	4	2	0	0
hotter	hot-	16	1	NA	NA	0	0
hotter	ter	16	1	NA	NA	0	0
than	than	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
blocks	blocks	16	1	NA	NA	0	0
where	where	16	1	NA	NA	0	0
guns	guns	16	2	NA	NA	0	0
bust	bust	16	2	NA	NA	0	0
over	o-	16	1	NA	NA	0	0
over	ver	16	1	NA	NA	0	0
dinners	din-	16	1	4	1	0	0
dinners	ners	16	3	4	2	1	1
plus	plus	16	2	NA	NA	0	0
all	all	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
sinners	sin-	16	1	4	1	0	0
sinners	ners	16	1	4	2	0	0
got	got	16	2	NA	NA	0	0
dreams	dreams	16	1	NA	NA	0	0
they	they	16	1	NA	NA	0	0
running	run-	16	1	NA	NA	0	0
running	ning	16	1	NA	NA	0	0
after	af-	16	1	5	1	0	0
after	ter	16	1	5	2	1	0
