word	syllable	quant	duration	rhymeClass	rhymeIndex	lineEnding	breathEnding
i	i	16	1	NA	NA	0	0
live	live	8	1	NA	NA	0	0
in	in	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
bubble	bub-	16	1	1	1	0	0
bubble	ble	16	1	1	2	0	0
i	i	16	1	NA	NA	0	0
struggle	strug-	16	1	1	1	0	0
struggle	gle	32	1	1	2	0	0
with	with	32	1	1	3	0	0
the	the	16	1	1	4	0	0
fame	fame	8	1	1	5	1	1
trouble	troub-	16	1	1	1	0	0
trouble	le	16	1	1	2	0	0
as	as	16	1	1	3	0	0
the	the	16	1	1	4	0	0
pain	pain	8	1	1	5	0	1
grows	grows	8	1	NA	NA	0	1
double	doub-	16	1	1	1	0	0
double	le	16	1	1	2	0	0
give	give	32	1	NA	NA	0	0
a	a	32	1	1	1	0	0
fuck	fuck	16	1	1	2	0	0
what	what	16	1	1	3	0	0
you	you	16	1	1	4	0	0
say	say	32	3	1	5	1	1
when	when	32	1	NA	NA	0	0
my	my	16	1	NA	NA	0	0
music	mu-	16	1	NA	NA	0	0
music	sic	16	1	NA	NA	0	0
you	you	16	1	NA	NA	0	0
take	take	8	1	NA	NA	0	1
so	so	8	1	NA	NA	0	1
subtle	sub-	16	1	1	1	0	0
subtle	tle	16	1	1	2	0	0
just	just	32	1	NA	NA	0	0
to	to	32	1	1	1	0	0
give	give	16	1	1	2	0	0
it	it	16	1	1	3	0	0
away	a-	16	1	1	4	0	0
away	way	16	1	1	5	1	0
to	to	32	1	NA	NA	0	0
people	peo-	32	1	NA	NA	0	0
people	ple	32	1	NA	NA	0	0
who	who	32	1	NA	NA	0	0
dont	dont	16	1	NA	NA	0	0
even	e-	48	1	NA	NA	0	0
even	ven	48	1	NA	NA	0	0
appreciate	ap-	48	1	NA	NA	0	0
appreciate	pre-	32	1	NA	NA	0	0
appreciate	ci-	32	1	NA	NA	0	0
appreciate	ate	8	1	NA	NA	0	0
flows	flows	16	1	NA	NA	0	0
mothafucka	mo-	32	1	NA	NA	0	0
mothafucka	tha-	32	1	NA	NA	0	0
mothafucka	fuck-	16	1	1	1	0	0
mothafucka	a	16	1	1	2	0	0
im	im	16	1	1	1	0	0
livid	li-	16	1	1	2	0	0
livid	vid	16	1	1	3	0	0
today	to-	16	1	1	4	0	0
today	day	16	1	1	5	0	1
cause	cause	32	1	NA	NA	0	0
i	i	32	1	NA	NA	0	0
break	break	16	1	NA	NA	0	0
my	my	16	1	NA	NA	0	0
back	back	16	1	NA	NA	1	0
to	to	32	1	NA	NA	0	0
give	give	32	1	NA	NA	0	0
you	you	16	1	NA	NA	0	0
my	my	16	1	2	1	0	0
all	all	16	1	2	2	0	0
you	you	16	1	NA	NA	0	0
steal	steal	16	1	NA	NA	0	0
my	my	16	1	2	1	0	0
thoughts	thoughts	16	1	2	2	0	0
its	its	32	1	NA	NA	0	0
like	like	32	3	NA	NA	0	0
driving	dri-	32	1	NA	NA	0	0
driving	ving	32	1	NA	NA	0	0
a	a	32	1	NA	NA	0	0
spike	spike	32	3	NA	NA	0	0
through	through	16	1	NA	NA	0	0
my	my	16	1	2	1	0	0
heart	heart	8	1	2	2	1	1
you	you	16	1	NA	NA	0	0
might	might	16	1	NA	NA	0	0
not	not	16	1	NA	NA	0	0
think	think	32	1	NA	NA	0	0
its	its	32	1	NA	NA	0	0
that	that	16	1	NA	NA	0	0
big	big	32	1	NA	NA	0	0
of	of	32	1	NA	NA	0	0
a	a	32	1	NA	NA	0	0
deal	deal	16	1	3	1	0	0
to	to	32	1	NA	NA	0	0
steal	steal	16	1	3	1	0	0
from	from	32	1	NA	NA	0	0
me	me	32	1	NA	NA	0	0
but	but	32	1	NA	NA	0	0
music	mu-	32	1	NA	NA	0	0
music	sic	32	1	NA	NA	0	0
is	is	32	1	NA	NA	0	0
all	all	16	1	NA	NA	0	0
i	i	16	1	2	1	0	0
got	got	32	3	2	2	1	1
aside	a-	32	1	NA	NA	0	0
aside	side	16	1	NA	NA	0	0
from	from	32	1	NA	NA	0	0
my	my	32	1	NA	NA	0	0
daughters	daugh-	16	1	4	1	0	0
daughters	ters	32	1	4	2	0	0
not	not	32	1	NA	NA	0	0
to	to	32	1	NA	NA	0	0
sound	sound	32	1	NA	NA	0	0
like	like	32	1	NA	NA	0	0
a	a	32	1	NA	NA	0	0
martyr	mar-	32	1	4	1	0	0
martyr	tyr	32	1	4	2	0	0
but	but	16	1	NA	NA	0	0
its	its	16	1	NA	NA	0	0
getting	get-	32	1	NA	NA	0	0
getting	ting	32	1	NA	NA	0	0
harder	hard-	16	1	4	1	0	0
harder	er	16	1	4	2	0	0
than	than	16	1	NA	NA	0	0
i	i	16	1	2	1	0	0
thought	thought	32	3	2	2	1	1
to	to	32	1	NA	NA	0	0
not	not	16	1	NA	NA	0	0
just	just	16	1	NA	NA	0	0
go	go	16	1	NA	NA	0	0
crazy	cra-	16	1	NA	NA	0	0
crazy	zy	16	1	NA	NA	0	0
trapped	trapped	16	1	5	1	0	0
in	in	32	1	NA	NA	0	0
this	this	32	1	NA	NA	0	0
house	house	16	1	NA	NA	0	0
im	im	32	1	NA	NA	0	0
about	a-	32	1	NA	NA	0	0
about	bout	16	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
just	just	32	1	NA	NA	0	0
snap	snap	32	1	5	1	1	0
am	am	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
not	not	32	3	NA	NA	0	0
deserving	de-	32	1	NA	NA	0	0
deserving	serv-	16	1	NA	NA	0	0
deserving	ing	32	1	NA	NA	0	0
of	of	32	1	NA	NA	0	0
what	what	32	1	NA	NA	0	0
i	i	32	1	2	1	0	0
got	got	16	1	2	2	0	0
did	did	32	1	NA	NA	0	0
i	i	32	1	NA	NA	0	0
not	not	16	1	NA	NA	0	0
work	work	16	1	NA	NA	0	0
for	for	32	1	NA	NA	0	0
it	it	16	1	NA	NA	0	1
put	put	32	1	NA	NA	0	0
it	it	32	1	NA	NA	0	0
all	all	16	1	6	1	0	0
in	in	32	1	NA	NA	0	0
every	ev-	32	1	NA	NA	0	0
every	e-	32	1	NA	NA	0	0
every	ry	32	1	NA	NA	0	0
record	re-	32	1	NA	NA	0	0
record	cord	32	1	NA	NA	0	0
i	i	32	1	NA	NA	0	0
record	re-	16	1	NA	NA	0	0
record	cord	16	2	6	1	1	0
well	well	32	1	NA	NA	0	0
then	then	32	1	NA	NA	0	0
please	please	16	1	NA	NA	0	0
tell	tell	32	1	NA	NA	0	0
me	me	32	1	NA	NA	0	0
why	why	16	1	NA	NA	0	0
on	on	32	1	NA	NA	0	0
this	this	32	1	NA	NA	0	0
earth	earth	16	1	NA	NA	0	0
lord	lord	16	1	6	1	0	0
does	does	32	1	NA	NA	0	0
it	it	32	1	NA	NA	0	0
keep	keep	16	1	NA	NA	0	0
happening	hap-	48	1	NA	NA	0	0
happening	pen-	48	1	NA	NA	0	0
happening	ing	48	1	NA	NA	0	0
i	i	32	1	NA	NA	0	0
keep	keep	32	1	NA	NA	0	0
rapping	rap-	32	1	NA	NA	0	0
rapping	ping	32	1	NA	NA	1	0
but	but	16	1	NA	NA	0	0
i	i	32	1	NA	NA	0	0
wonder	won-	32	1	NA	NA	0	0
wonder	der	32	1	NA	NA	0	0
sometimes	some-	32	1	NA	NA	0	0
sometimes	times	16	1	NA	NA	0	0
is	is	32	1	NA	NA	0	0
it	it	32	1	NA	NA	0	0
worth	worth	16	1	NA	NA	0	0
all	all	32	3	6	1	0	0
the	the	32	1	NA	NA	0	0
bullshit	bull-	16	1	NA	NA	0	0
bullshit	shit	16	1	NA	NA	0	0
cause	cause	32	1	NA	NA	0	0
it	it	32	1	NA	NA	0	0
feels	feels	16	1	NA	NA	0	0
like	like	32	1	NA	NA	0	0
a	a	32	1	NA	NA	0	0
down	down	16	1	NA	NA	0	0
there	there	32	1	NA	NA	0	0
aint	aint	32	1	NA	NA	0	0
no	no	16	1	NA	NA	0	0
getting	get-	32	1	NA	NA	0	0
getting	ting	32	1	NA	NA	0	0
up	up	16	1	7	1	0	0
from	from	16	1	7	2	1	0
but	but	32	1	NA	NA	0	0
i	i	32	1	NA	NA	0	0
wont	wont	16	1	NA	NA	0	0
let	let	32	1	NA	NA	0	0
it	it	32	1	NA	NA	0	0
get	get	32	1	NA	NA	0	0
me	me	32	1	NA	NA	0	0
down	down	16	1	NA	NA	0	0
i	i	32	1	NA	NA	0	0
wont	wont	32	1	NA	NA	0	0
succumb	suc-	16	1	7	1	0	0
succumb	cumb	16	1	7	2	0	0
im	im	16	1	NA	NA	0	0
anything	an-	32	1	NA	NA	0	0
anything	y-	32	1	NA	NA	0	0
anything	thing	16	1	NA	NA	0	0
but	but	16	1	7	1	0	0
glum	glum	16	1	7	2	0	0
so	so	16	1	NA	NA	0	0
fuck	fuck	16	1	7	1	0	0
em	em	32	4	7	2	1	1
theyll	theyll	32	1	NA	NA	0	0
appreciate	ap-	32	1	NA	NA	0	0
appreciate	pre-	32	1	NA	NA	0	0
appreciate	ci-	32	1	NA	NA	0	0
appreciate	ate	16	1	NA	NA	0	0
me	me	32	1	NA	NA	0	0
when	when	32	1	NA	NA	0	0
im	im	16	1	NA	NA	0	0
gone	gone	32	3	NA	NA	0	0
theyll	theyll	32	1	NA	NA	0	0
say	say	32	1	NA	NA	0	0
it	it	32	1	NA	NA	0	0
was	was	32	1	NA	NA	0	0
ill	ill	16	1	8	1	0	0
right	right	16	1	8	2	0	0
the	the	32	1	NA	NA	0	0
way	way	32	1	NA	NA	0	0
i	i	32	1	NA	NA	0	0
kill	kill	16	1	8	1	0	0
mics	mics	16	1	8	2	0	0
but	but	32	1	NA	NA	0	0
the	the	32	1	NA	NA	0	0
way	way	32	1	NA	NA	0	0
i	i	32	1	NA	NA	0	0
feel	feel	16	1	NA	NA	0	0
right	right	16	1	NA	NA	0	0
now	now	16	1	NA	NA	1	0
it	it	32	1	NA	NA	0	0
just	just	32	1	NA	NA	0	0
feels	feels	16	1	8	1	0	0
like	like	16	1	8	2	0	0
im	im	32	1	NA	NA	0	0
so	so	32	1	NA	NA	0	0
done	done	32	1	NA	NA	0	0
with	with	32	1	NA	NA	0	0
this	this	32	1	NA	NA	0	0
shit	shit	8	1	NA	NA	0	0
i	i	32	1	NA	NA	0	0
might	might	32	1	NA	NA	0	0
as	as	32	1	NA	NA	0	0
well	well	16	1	8	1	0	0
wipe	wipe	16	3	8	2	1	1
i	i	32	1	NA	NA	0	0
have	have	32	1	NA	NA	0	0
nothing	no-	32	1	NA	NA	0	0
nothing	thing	32	1	NA	NA	0	0
else	else	32	1	NA	NA	0	0
to	to	32	1	NA	NA	0	0
give	give	16	1	9	1	0	0
you	you	16	1	9	2	0	0
nothing	no-	32	1	NA	NA	0	0
nothing	thing	32	1	NA	NA	0	0
left	left	32	1	NA	NA	0	0
to	to	32	1	NA	NA	0	0
contribute	con-	16	1	NA	NA	0	0
contribute	tri-	16	1	9	1	0	0
contribute	bute	16	1	9	2	0	0
farewell	fare-	16	1	NA	NA	0	0
farewell	well	16	1	NA	NA	0	0
i	i	16	1	9	1	0	0
bid	bid	16	1	9	2	0	0
you	you	16	1	NA	NA	1	0
but	but	32	1	NA	NA	0	1
before	be-	32	1	NA	NA	0	0
before	fore	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
go	go	16	1	NA	NA	0	0
my	my	16	1	NA	NA	0	0
last	last	16	1	NA	NA	0	0
gift	gift	32	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
you	you	16	1	NA	NA	0	0
ladies	lad-	32	1	NA	NA	0	0
ladies	ies	32	1	NA	NA	0	0
and	and	32	1	NA	NA	0	0
gentlemen	gen-	48	1	NA	NA	0	0
gentlemen	tl-	48	1	NA	NA	0	0
gentlemen	emen	48	1	NA	NA	0	0
slaughterhouse	slaugh-	32	1	NA	NA	0	0
slaughterhouse	ter-	32	1	NA	NA	0	0
slaughterhouse	house	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
give	give	16	1	9	1	0	0
you	you	16	1	9	2	1	1
