word	syllable	quant	duration	rhymeClass	rhymeIndex	lineEnding	breathEnding
who	who	16	1	NA	NA	0	0
tryna	try-	16	1	NA	NA	0	0
tryna	na	16	1	NA	NA	0	0
be	be	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
first	first	16	1	NA	NA	0	0
one	one	16	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
catch	catch	16	1	NA	NA	0	0
this	this	16	1	NA	NA	0	0
blade	blade	16	1	NA	NA	0	0
in	in	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
throat	throat	16	3	1	1	1	1
you	you	16	1	NA	NA	0	0
know	know	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
po	po	16	1	NA	NA	0	0
po	po	16	1	NA	NA	0	0
dont	dont	16	1	NA	NA	0	0
let	let	16	1	NA	NA	0	0
me	me	16	1	NA	NA	0	0
hold	hold	16	1	NA	NA	0	0
them	them	16	1	NA	NA	0	0
toasters	toast-	16	1	NA	NA	0	0
toasters	ers	16	1	NA	NA	0	0
no	no	16	1	NA	NA	0	0
mo	mo	16	4	1	1	1	1
i	i	16	1	NA	NA	0	0
just	just	16	1	NA	NA	0	0
cut	cut	16	1	NA	NA	0	0
three	three	16	1	NA	NA	0	0
people	peo-	16	1	NA	NA	0	0
people	ple	16	1	NA	NA	0	0
you	you	16	1	NA	NA	0	0
gon	gon	16	2	NA	NA	0	0
be	be	16	1	NA	NA	0	0
number	num-	16	1	NA	NA	0	0
number	ber	16	1	NA	NA	0	0
four	four	16	3	1	1	1	1
if	if	16	1	NA	NA	0	0
you	you	16	1	NA	NA	0	0
dont	dont	16	1	NA	NA	0	0
back	back	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
fuck	fuck	16	1	NA	NA	0	0
up	up	16	1	NA	NA	0	0
and	and	16	1	NA	NA	0	0
get	get	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
fuck	fuck	16	1	NA	NA	0	0
off	off	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
flow	flow	16	3	1	1	1	1
my	my	16	1	NA	NA	0	0
crew	crew	16	1	NA	NA	0	0
is	is	16	1	NA	NA	0	0
taking	tak-	16	1	NA	NA	0	0
taking	ing	16	1	NA	NA	0	0
over	o-	16	1	NA	NA	0	0
over	ver	16	1	NA	NA	0	0
as	as	16	1	NA	NA	0	0
soon	soon	16	1	NA	NA	0	0
as	as	16	1	NA	NA	0	0
we	we	16	1	NA	NA	0	0
hit	hit	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
do	do	16	3	1	1	1	1
you	you	16	1	NA	NA	0	0
hit	hit	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
door	door	16	1	NA	NA	0	0
then	then	16	1	NA	NA	0	0
we	we	16	1	NA	NA	0	0
coming	com-	16	1	NA	NA	0	0
coming	ing	16	1	NA	NA	0	0
in	in	16	1	NA	NA	0	0
and	and	16	1	NA	NA	0	0
you	you	16	1	NA	NA	0	0
going	go-	16	1	NA	NA	0	0
going	ing	16	1	NA	NA	0	0
home	home	16	3	1	1	1	1
security	se-	16	1	NA	NA	0	0
security	cur-	16	1	NA	NA	0	0
security	i-	16	1	NA	NA	0	0
security	ty	16	1	NA	NA	0	0
that	that	16	1	NA	NA	0	0
cant	cant	16	1	NA	NA	0	0
even	e-	16	1	NA	NA	0	0
even	ven	16	1	NA	NA	0	0
stop	stop	16	1	NA	NA	0	0
us	us	16	1	NA	NA	0	0
because	be-	16	1	NA	NA	0	0
because	cause	16	1	NA	NA	0	0
they	they	16	1	NA	NA	0	0
know	know	16	2	1	1	1	1
runyan	run-	16	1	NA	NA	0	0
runyan	yan	16	1	NA	NA	0	0
avenue	av-	16	1	NA	NA	0	0
avenue	e-	16	1	NA	NA	0	0
avenue	nue	16	1	NA	NA	0	0
soldiers	sol-	16	1	NA	NA	0	0
soldiers	diers	16	1	NA	NA	0	0
hold	hold	16	1	NA	NA	0	0
it	it	16	1	NA	NA	0	0
down	down	16	1	NA	NA	0	0
wherever	wher-	16	1	NA	NA	0	0
wherever	e-	16	1	NA	NA	0	0
wherever	ver	16	1	NA	NA	0	0
we	we	16	1	NA	NA	0	0
go	go	16	4	1	1	1	1
sucking	suck-	16	1	NA	NA	0	0
sucking	ing	16	1	NA	NA	0	0
on	on	16	1	NA	NA	0	0
our	o-	32	1	NA	NA	0	0
our	ur	32	1	NA	NA	0	0
forties	for-	16	1	NA	NA	0	0
forties	ties	16	1	NA	NA	0	0
and	and	16	1	NA	NA	0	0
holding	hold-	16	1	NA	NA	0	0
holding	ing	16	1	NA	NA	0	0
up	up	16	1	NA	NA	0	0
forty	for-	16	1	NA	NA	0	0
forty	ty	16	1	NA	NA	0	0
fours	fours	16	3	1	1	1	1
we	we	16	1	NA	NA	0	0
come	come	16	1	NA	NA	0	0
with	with	16	1	NA	NA	0	0
toasters	toast-	16	1	NA	NA	0	0
toasters	ers	16	1	NA	NA	0	0
like	like	16	1	NA	NA	0	0
we	we	16	1	NA	NA	0	0
just	just	16	1	NA	NA	0	0
opened	o-	16	1	NA	NA	0	0
opened	pened	16	1	NA	NA	0	0
savings	sa-	16	1	NA	NA	0	0
savings	vings	16	1	NA	NA	0	0
and	and	16	1	NA	NA	0	0
loans	loans	16	3	1	1	1	1
and	and	16	1	NA	NA	0	0
we	we	16	1	NA	NA	0	0
dont	dont	16	1	NA	NA	0	0
need	need	16	1	NA	NA	0	0
your	your	16	1	NA	NA	0	0
brew	brew	16	1	NA	NA	0	0
tonight	to-	16	1	NA	NA	0	0
tonight	night	16	1	NA	NA	0	0
homie	ho-	16	1	NA	NA	0	0
homie	mie	16	1	NA	NA	0	0
we	we	16	1	NA	NA	0	0
brought	brought	16	1	NA	NA	0	0
our	o-	32	1	NA	NA	0	0
our	ur	32	1	NA	NA	0	0
own	own	16	3	1	1	1	1
so	so	16	1	NA	NA	0	0
grab	grab	16	1	NA	NA	0	0
whatever	what-	16	1	NA	NA	0	0
whatever	ev-	16	1	NA	NA	0	0
