word	syllable	quant	duration	rhymeClass	rhymeIndex	lineEnding	breathEnding
oh	oh	16	1	NA	NA	0	0
yes	yes	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
love	love	16	1	NA	NA	0	0
her	her	16	1	NA	NA	0	0
like	like	16	1	NA	NA	0	0
egyptian	e-	16	1	1	1	0	0
egyptian	gyp-	16	1	1	2	0	0
egyptian	tian	16	2	1	3	0	0
want	want	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
description	des-	16	1	1	1	0	0
description	cript-	16	1	1	2	0	0
description	ion	16	2	1	3	0	0
my	my	16	1	NA	NA	0	0
royal	ro-	16	1	NA	NA	0	0
royal	yal	16	1	NA	NA	0	0
highness	high-	16	1	2	1	0	0
highness	ness	16	2	2	2	1	1
so	so	16	1	NA	NA	0	0
many	ma-	16	1	NA	NA	0	0
many	ny	16	1	NA	NA	0	0
plusses	plus-	16	1	3	1	0	0
plusses	ses	16	1	NA	NA	0	0
when	when	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
bust	bust	16	1	3	1	0	0
that	that	16	1	NA	NA	0	0
there	there	16	1	NA	NA	0	0
can't	can't	16	1	NA	NA	0	0
be	be	16	1	NA	NA	0	0
no	no	16	1	NA	NA	0	0
minus	mi-	16	1	2	1	0	0
minus	nus	16	3	2	2	1	1
went	went	16	1	NA	NA	0	0
from	from	16	1	NA	NA	0	0
yellin	yel-	16	1	NA	NA	0	0
yellin	lin	16	1	NA	NA	0	0
crickets	cric-	24	1	4	1	0	0
crickets	kets	24	1	4	2	0	0
and	and	24	1	4	3	0	0
crows	crows	16	2	4	4	0	0
bitches	bitch-	24	1	4	1	0	0
bitches	es	24	1	4	2	0	0
and	and	24	1	4	3	0	0
hoes	hoes	16	1	4	4	0	0
to	to	16	1	NA	NA	0	0
queen	queen	16	1	5	1	0	0
thangs	thangs	16	3	5	2	1	1
over	o-	24	1	NA	NA	0	0
over	ver	24	1	NA	NA	0	0
the	the	24	1	NA	NA	0	0
years	years	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
been	been	16	1	NA	NA	0	0
up	up	16	1	NA	NA	0	0
on	on	16	1	NA	NA	0	0
my	my	16	1	NA	NA	0	0
toes	toes	16	1	4	4	0	0
and	and	16	1	NA	NA	0	0
yes	yes	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
seen	seen	16	1	5	1	0	0
thangs	thangs	16	2	5	2	1	0
like	like	16	1	NA	NA	0	0
kilroy	kil-	16	1	6	1	0	0
kilroy	roy	16	2	6	2	0	1
chill	chill	16	1	6	1	0	0
boi	boi	16	1	6	2	0	0
because	be-	16	1	NA	NA	0	0
because	cause	16	1	NA	NA	0	0
them	them	16	1	NA	NA	0	0
folks	folks	16	1	NA	NA	0	0
might	might	16	1	NA	NA	0	0
think	think	16	1	NA	NA	0	0
you	you	16	1	NA	NA	0	0
soft	soft	16	2	8	1	1	0
talkin	talk-	16	1	8	3	0	0
talkin	in	16	1	8	4	0	0
like	like	16	1	8	5	0	0
that	that	16	3	8	6	0	0
man	man	16	2	NA	NA	0	1
fuck	fuck	16	1	NA	NA	0	0
them	them	16	1	NA	NA	0	0
niggaz	nig-	24	1	NA	NA	0	0
niggaz	gaz	24	1	NA	NA	0	0
i'm	i'm	24	1	NA	NA	0	0
goin	go-	16	1	NA	NA	0	0
goin	in	16	1	NA	NA	0	0
off	off	16	1	8	1	1	0
and	and	16	1	8	2	0	0
comin	com-	16	1	8	3	0	0
comin	in	16	1	8	4	0	0
right	right	16	1	8	5	0	0
back	back	16	2	8	6	0	0
like	like	16	1	NA	NA	0	0
boomerangs	boom-	16	1	NA	NA	0	0
boomerangs	er-	16	1	NA	NA	0	0
boomerangs	angs	16	1	NA	NA	0	0
when	when	16	1	9	1	0	0
you	you	16	1	9	2	0	0
throw	throw	16	1	9	3	0	0
em	em	16	2	9	4	1	1
with	with	16	1	NA	NA	0	0
these	these	16	1	NA	NA	0	0
old	old	16	1	NA	NA	0	0
ghetto	ghet-	16	1	9	1	0	0
ghetto	to	16	1	9	2	0	0
poems	poems	16	3	9	3	0	1
