word	syllable	quant	duration	rhymeClass	rhymeIndex	lineEnding	breathEnding
it	it	16	1	NA	NA	0	0
seems	seems	16	2	NA	NA	0	0
like	like	16	4	NA	NA	0	1
for	for	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
while	while	16	1	NA	NA	0	0
i've	i've	16	1	NA	NA	0	0
know	know	16	1	1	1	0	0
ya	ya	16	4	1	2	1	1
nostalgic	nos-	16	1	NA	NA	0	0
nostalgic	tal-	16	1	NA	NA	0	0
nostalgic	gic	16	1	NA	NA	0	0
moments	mo-	16	1	1	1	0	0
moments	ments	16	3	1	2	0	1
feels	feels	16	1	NA	NA	0	0
like	like	16	1	NA	NA	0	0
magic	ma-	16	1	NA	NA	0	0
magic	gic	16	1	NA	NA	0	0
don't	don't	16	1	1	1	0	0
it	it	16	3	1	2	1	1
girl	girl	16	1	NA	NA	0	0
you	you	16	1	NA	NA	0	0
killing	kil-	16	1	NA	NA	0	0
killing	lin'	16	1	NA	NA	0	0
em	em	16	6	NA	NA	0	1
my	my	16	1	NA	NA	0	0
condolence	con-	16	1	NA	NA	0	0
condolence	dol-	16	1	1	1	0	0
condolence	ence	16	4	1	2	1	1
that's	that's	16	1	NA	NA	0	0
how	how	16	1	NA	NA	0	0
you	you	16	1	NA	NA	0	0
on	on	16	1	1	1	0	0
it	it	16	2	1	2	0	1
yea	yea	16	2	NA	NA	0	0
that's	that's	16	1	NA	NA	0	0
how	how	16	1	NA	NA	0	0
you	you	16	1	NA	NA	0	0
on	on	16	1	1	1	0	0
it	it	16	2	1	2	1	1
and	and	16	1	NA	NA	0	0
i'm	i'm	16	1	NA	NA	0	0
gonna	gon-	32	1	NA	NA	0	0
gonna	na	32	1	NA	NA	0	0
be	be	16	1	NA	NA	0	0
with	with	16	1	NA	NA	0	0
you	you	16	1	NA	NA	0	0
no	no	16	1	NA	NA	0	0
matter	mat-	16	1	NA	NA	0	0
matter	ter	16	1	NA	NA	0	0
what	what	16	1	NA	NA	0	0
it	it	16	1	NA	NA	0	0
takes	takes	16	2	2	1	1	1
running	run-	32	1	NA	NA	0	0
running	ning	32	1	NA	NA	0	0
with	with	16	1	NA	NA	0	0
scissors	scis-	16	1	NA	NA	0	0
scissors	sors	16	1	NA	NA	0	0
in	in	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
traffic	traf-	16	1	NA	NA	0	0
traffic	fic	16	1	NA	NA	0	0
tryna	try-	16	1	NA	NA	0	0
tryna	na	16	1	NA	NA	0	0
cut	cut	16	1	NA	NA	0	0
straight	straight	16	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
chase	chase	16	2	2	1	1	1
wanna	wan-	16	1	NA	NA	0	0
wanna	na	16	1	NA	NA	0	0
be	be	16	1	NA	NA	0	0
there	there	16	1	NA	NA	0	0
when	when	16	1	NA	NA	0	0
you	you	16	1	NA	NA	0	0
wake	wake	16	2	2	1	0	1
with	with	16	1	NA	NA	0	0
no	no	16	1	NA	NA	0	0
make	make	16	1	2	1	0	0
up	up	16	1	NA	NA	0	0
on	on	16	1	NA	NA	0	0
your	your	16	1	NA	NA	0	0
face	face	16	2	2	1	1	1
not	not	32	1	NA	NA	0	0
even	e-	32	1	NA	NA	0	0
even	ven	16	1	NA	NA	0	0
gloss	gloss	16	1	NA	NA	0	0
before	be-	16	1	NA	NA	0	0
before	fore	16	1	NA	NA	0	0
you	you	16	1	NA	NA	0	0
brush	brush	16	2	3	1	0	1
love	love	16	1	NA	NA	0	0
your	your	16	1	NA	NA	0	0
dimples	dimp-	16	1	NA	NA	0	0
dimples	les	16	1	NA	NA	0	0
when	when	16	1	NA	NA	0	0
you	you	16	1	NA	NA	0	0
blush	blush	16	2	3	1	1	1
it's	it's	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
simple	sim-	16	1	NA	NA	0	0
simple	ple	16	1	NA	NA	0	0
things	things	16	1	NA	NA	0	0
in	in	16	1	NA	NA	0	0
life	life	16	1	NA	NA	0	0
we	we	16	1	NA	NA	0	0
take	take	16	1	NA	NA	0	0
for	for	16	1	NA	NA	0	0
granted	grant-	16	1	NA	NA	0	0
granted	ed	16	1	NA	NA	0	0
cause	cause	16	1	NA	NA	0	0
we	we	16	1	NA	NA	0	0
rush	rush	16	2	3	1	1	1
i	i	16	1	NA	NA	0	0
just	just	16	1	NA	NA	0	0
wanna	wan-	16	1	NA	NA	0	0
wanna	na	16	1	NA	NA	0	0
gain	gain	16	1	NA	NA	0	0
your	your	16	1	NA	NA	0	0
trust	trust	16	1	3	1	0	0
as	as	16	1	NA	NA	0	0
well	well	16	1	NA	NA	0	0
