word	syllable	quant	duration	rhymeClass	rhymeIndex	lineEnding	breathEnding
when	when	16	1	NA	NA	0	0
i'm	i'm	16	1	NA	NA	0	0
alone	a-	16	1	NA	NA	0	0
alone	lone	16	1	NA	NA	0	0
in	in	16	1	NA	NA	0	0
my	my	16	1	NA	NA	0	0
room	room	16	2	NA	NA	0	0
sometime	some-	16	1	NA	NA	0	0
sometime	time	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
stare	stare	16	1	NA	NA	0	0
at	at	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
wall	wall	16	3	1	1	1	1
automatic	au-	16	1	NA	NA	0	0
automatic	to-	16	1	NA	NA	0	0
automatic	ma-	16	1	NA	NA	0	0
automatic	tic	16	1	NA	NA	0	0
weapons	wea-	16	1	NA	NA	0	0
weapons	pons	16	1	NA	NA	0	0
on	on	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
floor	floor	16	1	NA	NA	0	0
but	but	16	1	NA	NA	0	0
who	who	16	1	NA	NA	0	0
can	can	16	1	NA	NA	0	0
you	you	16	1	NA	NA	0	0
call	call	16	4	1	1	1	1
my	my	16	1	NA	NA	0	0
down	down	16	2	NA	NA	0	0
bitch	bitch	16	4	NA	NA	0	1
one	one	16	1	NA	NA	0	0
that	that	16	1	NA	NA	0	0
live	live	16	1	NA	NA	0	0
by	by	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
code	code	16	3	2	1	1	1
put	put	16	1	NA	NA	0	0
this	this	16	1	NA	NA	0	0
music	mu-	16	1	NA	NA	0	0
music	sic	16	1	NA	NA	0	0
shit	shit	16	1	NA	NA	0	0
aside	a-	16	1	NA	NA	0	0
aside	side	16	2	NA	NA	0	0
get	get	16	1	NA	NA	0	0
it	it	16	1	NA	NA	0	0
in	in	16	1	NA	NA	0	0
on	on	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
road	road	16	2	2	1	1	1
a	a	16	1	NA	NA	0	0
lot	lot	16	1	NA	NA	0	0
of	of	16	1	NA	NA	0	0
quiet	qui-	16	1	NA	NA	0	0
