word	syllable	quant	duration	rhymeClass	rhymeIndex	lineEnding	breathEnding
sometimes	some-	16	1	NA	NA	0	0
sometimes	times	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
just	just	16	1	NA	NA	0	0
feel	feel	16	2	1	1	0	0
like	like	16	3	1	2	0	1
quitting	quit-	16	1	NA	NA	0	0
quitting	ting	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
still	still	16	2	1	1	0	0
might	might	16	3	1	2	1	1
why	why	16	1	NA	NA	0	0
do	do	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
put	put	16	1	NA	NA	0	0
up	up	16	1	NA	NA	0	0
this	this	16	1	1	1	0	0
fight	fight	16	2	1	2	0	0
why	why	16	1	NA	NA	0	0
do	do	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
still	still	16	2	1	1	0	0
write	write	16	4	1	2	1	1
sometimes	some-	16	1	NA	NA	0	0
sometimes	times	16	1	NA	NA	0	0
it's	it's	16	1	NA	NA	0	0
hard	hard	16	1	NA	NA	0	0
enough	e-	16	1	NA	NA	0	0
enough	nough	16	1	NA	NA	0	0
just	just	16	1	NA	NA	0	0
dealing	deal-	16	1	NA	NA	0	0
dealing	ing	16	1	NA	NA	0	0
with	with	16	1	NA	NA	0	0
real	real	16	2	1	1	0	0
life	life	16	4	1	2	1	1
sometimes	some-	16	1	NA	NA	0	0
sometimes	times	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
wanna	wan-	16	1	NA	NA	0	0
wanna	na	16	1	NA	NA	0	0
jump	jump	16	1	NA	NA	0	0
on	on	16	1	NA	NA	0	0
stage	stage	16	1	NA	NA	0	0
and	and	16	1	NA	NA	0	0
just	just	16	1	NA	NA	0	0
kill	kill	16	2	1	1	0	0
mics	mics	16	4	1	2	1	1
and	and	16	1	NA	NA	0	0
show	show	16	1	NA	NA	0	0
these	these	16	1	NA	NA	0	0
people	peo-	16	1	NA	NA	0	0
people	ple	16	1	NA	NA	0	0
what	what	16	1	NA	NA	0	0
my	my	16	1	NA	NA	0	0
level	le-	16	1	NA	NA	0	0
level	vel	16	1	NA	NA	0	0
of	of	16	1	NA	NA	0	0
skills	skills	16	2	1	1	0	0
like	like	16	4	1	2	1	1
but	but	16	1	NA	NA	0	0
i'm	i'm	16	1	NA	NA	0	0
still	still	16	2	1	1	0	0
white	white	16	2	1	2	0	0
sometimes	some-	16	1	NA	NA	0	0
sometimes	times	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
just	just	16	1	NA	NA	0	0
hate	hate	16	2	1	1	0	0
life	life	16	4	1	2	1	1
something	some-	16	1	NA	NA	0	0
something	thing	16	1	NA	NA	0	0
ain't	ain't	16	2	1	1	0	0
right	right	16	4	1	2	0	1
hit	hit	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
brake	brake	16	2	1	1	0	0
lights	lights	16	3	1	2	1	1
case	case	16	1	NA	NA	0	0
of	of	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
stage	stage	16	2	1	1	0	0
fright	fright	16	3	1	2	0	1
drawing	dra-	16	1	NA	NA	0	0
drawing	wing	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
blank	blank	16	2	1	1	0	0
like	like	16	2	1	2	1	0
da	da	16	3	NA	NA	0	0
duh	duh	16	1	NA	NA	0	0
