word	syllable	quant	duration	rhymeClass	rhymeIndex	lineEnding	breathEnding
missy	mis-	16	1	NA	NA	0	0
missy	sy	16	1	NA	NA	0	0
be	be	16	1	NA	NA	0	0
putting	put-	32	1	NA	NA	0	0
putting	tin'	32	1	NA	NA	0	0
it	it	16	1	NA	NA	0	0
down	down	4	1	1	1	0	1
i'm	i'm	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
hottest	hot-	16	1	NA	NA	0	0
hottest	test	16	1	NA	NA	0	0
round	round	16	3	1	1	1	1
i	i	16	1	NA	NA	0	0
told	told	16	1	NA	NA	0	0
y'all	y'all	16	1	NA	NA	0	0
motherfucker	mo-	16	1	NA	NA	0	0
motherfucker	ther-	16	1	NA	NA	0	0
motherfucker	fuck-	16	1	NA	NA	0	0
motherfucker	er	16	3	NA	NA	0	1
y'all	y'all	16	1	NA	NA	0	0
can't	can't	16	1	NA	NA	0	0
stop	stop	16	1	NA	NA	0	0
me	me	16	1	NA	NA	0	0
now	now	4	1	1	1	1	1
listen	list-	16	1	NA	NA	0	0
listen	en	16	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
me	me	16	1	NA	NA	0	0
now	now	16	3	1	1	0	1
i'm	i'm	16	1	NA	NA	0	0
lasting	last-	16	1	NA	NA	0	0
lasting	in'	16	1	NA	NA	0	0
twenty	twen-	16	1	NA	NA	0	0
twenty	ty	16	1	NA	NA	0	0
rounds	rounds	16	3	1	1	1	1
and	and	16	1	NA	NA	0	0
if	if	16	1	NA	NA	0	0
you	you	16	1	NA	NA	0	0
want	want	16	1	NA	NA	0	0
me	me	4	1	NA	NA	0	1
then	then	16	1	NA	NA	0	0
come	come	16	1	NA	NA	0	0
on	on	16	1	NA	NA	0	0
get	get	16	1	NA	NA	0	0
me	me	16	1	NA	NA	0	0
now	now	4	1	1	1	1	1
is	is	16	1	NA	NA	0	0
you	you	16	1	NA	NA	0	0
with	with	16	1	NA	NA	0	0
me	me	16	1	NA	NA	0	0
now	now	16	3	1	1	0	1
then	then	16	1	NA	NA	0	0
biggie	big-	16	1	NA	NA	0	0
biggie	gie	16	1	NA	NA	0	0
biggie	big-	16	1	NA	NA	0	0
biggie	gie	16	1	NA	NA	0	0
bounce	bounce	16	3	1	1	1	1
i	i	16	1	NA	NA	0	0
know	know	16	1	NA	NA	0	0
you	you	16	1	NA	NA	0	0
dig	dig	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
way	way	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
sw	sw	8	1	NA	NA	0	0
sw	sw	8	1	NA	NA	0	0
switch	switch	16	1	NA	NA	0	0
my	my	16	1	NA	NA	0	0
style	style	4	1	1	1	1	1
holla	hol-	16	1	NA	NA	0	0
holla	la	16	7	NA	NA	0	1
people	peo-	16	1	NA	NA	0	0
people	ple	16	1	NA	NA	0	0
sing	sing	16	1	NA	NA	0	0
around	a-	16	1	NA	NA	0	0
around	round	16	3	1	1	1	1
now	now	16	1	NA	NA	0	0
people	peo-	16	1	NA	NA	0	0
people	ple	16	1	NA	NA	0	0
gather	gat-	16	1	NA	NA	0	0
gather	her	16	1	NA	NA	0	0
round	round	16	3	1	1	0	1
now	now	16	1	NA	NA	0	0
people	peo-	16	1	NA	NA	0	0
people	ple	16	1	NA	NA	0	0
jump	jump	16	1	NA	NA	0	0
around	a-	16	1	NA	NA	0	0
around	round	16	1	1	1	1	1
