word	syllable	quant	duration	rhymeClass	rhymeIndex	lineEnding	breathEnding
i'm	i'm	16	1	NA	NA	0	0
on	on	16	1	NA	NA	0	0
that	that	16	1	NA	NA	0	0
homicide	hom-	16	1	NA	NA	0	0
homicide	i-	16	1	NA	NA	0	0
homicide	cide	8	1	1	1	0	0
suicide	su-	16	1	NA	NA	0	0
suicide	i-	16	1	NA	NA	0	0
suicide	cide	8	1	1	1	0	0
drama	dra-	16	1	NA	NA	0	0
drama	ma	16	1	NA	NA	0	0
like	like	16	1	1	1	0	0
islamabad	is-	16	1	NA	NA	0	0
islamabad	lam-	16	1	NA	NA	0	0
islamabad	a-	16	1	NA	NA	0	0
islamabad	bad	8	1	1	1	1	1
under	un-	16	1	NA	NA	0	0
under	der	16	1	NA	NA	0	0
god	god	8	1	1	1	0	0
going	go-	16	1	NA	NA	0	0
going	ing	16	1	NA	NA	0	0
overboard	o-	16	1	NA	NA	0	0
overboard	ver-	16	1	NA	NA	0	0
overboard	board	8	1	NA	NA	0	1
like	like	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
amistad	a-	16	1	NA	NA	0	0
amistad	mis-	16	1	NA	NA	0	0
amistad	tad	8	1	1	1	1	1
ringing	ring-	16	1	NA	NA	0	0
ringing	ing	16	1	NA	NA	0	0
bells	bells	8	1	2	1	0	0
it	it	16	1	NA	NA	0	0
was	was	16	1	NA	NA	0	0
twenty	twen-	16	1	NA	NA	0	0
twenty	ty	16	1	NA	NA	0	0
twelve	twelve	8	1	2	1	0	1
back	back	16	1	NA	NA	0	0
in	in	16	1	NA	NA	0	0
ninety	nine-	16	1	NA	NA	0	0
ninety	ty	16	1	NA	NA	0	0
five	five	16	3	1	1	1	1
i	i	16	1	NA	NA	0	0
made	made	16	1	NA	NA	0	0
it	it	16	1	NA	NA	0	0
out	out	16	1	NA	NA	0	0
alive	a-	16	1	NA	NA	0	0
alive	live	16	3	1	1	0	1
now	now	16	1	NA	NA	0	0
finally	fin-	24	1	NA	NA	0	0
finally	al-	24	1	NA	NA	0	0
finally	ly	24	1	NA	NA	0	0
i've	i've	16	1	NA	NA	0	0
arrived	ar-	16	1	NA	NA	0	0
arrived	rived	16	3	1	1	1	1
but	but	16	1	NA	NA	0	0
still	still	8	1	NA	NA	0	0
threw	threw	16	1	2	1	0	0
back	back	8	1	2	2	0	0
to	to	16	1	NA	NA	0	0
all	all	16	1	NA	NA	0	0
my	my	16	1	NA	NA	0	0
other	o-	16	1	NA	NA	0	0
other	ther	16	1	NA	NA	0	0
blue	blue	16	1	2	1	0	0
black	black	8	1	2	2	1	1
people	peo-	16	1	NA	NA	0	0
people	ple	16	1	NA	NA	0	0
that's	that's	16	1	NA	NA	0	0
sticking	stick-	16	1	NA	NA	0	0
sticking	ing	16	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
it	it	16	1	NA	NA	0	0
like	like	8	1	NA	NA	0	1
mice	mice	8	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
glue	glue	8	1	2	1	0	0
trap	trap	16	3	2	2	1	1
my	my	16	1	NA	NA	0	0
work	work	8	1	NA	NA	0	0
speak	speak	16	1	NA	NA	0	0
for	for	16	1	NA	NA	0	0
itself	it-	16	1	NA	NA	0	0
itself	self	8	1	NA	NA	0	0
so	so	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
don't	don't	16	1	NA	NA	0	0
interrupt	in-	16	1	3	1	0	0
interrupt	ter-	16	1	3	2	0	0
