word	syllable	quant	duration	rhymeClass	rhymeIndex	lineEnding	breathEnding
i	i	16	1	NA	NA	0	0
had	had	16	1	NA	NA	0	0
this	this	16	1	NA	NA	0	0
bad	bad	16	2	NA	NA	0	0
bitch	bitch	16	1	NA	NA	0	0
uptown	up-	16	1	NA	NA	0	0
uptown	town	16	2	NA	NA	0	0
she	she	16	1	NA	NA	0	0
was	was	16	1	NA	NA	0	0
whoa	whoa	16	4	1	1	1	1
had	had	16	1	NA	NA	0	0
me	me	16	1	NA	NA	0	0
fucked	fucked	16	2	NA	NA	0	0
up	up	16	2	NA	NA	0	0
in	in	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
head	head	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
mean	mean	16	2	NA	NA	0	0
whoa	whoa	16	4	1	1	1	1
bought	bought	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
bitch	bitch	16	2	NA	NA	0	0
diamonds	dia-	16	1	NA	NA	0	0
diamonds	monds	16	1	NA	NA	0	0
and	and	16	1	NA	NA	0	0
pearls	pearls	16	2	NA	NA	0	0
i	i	16	1	NA	NA	0	0
mean	mean	16	2	NA	NA	0	0
whoa	whoa	16	4	1	1	1	1
shoulda	should-	16	1	NA	NA	0	0
shoulda	a	16	1	NA	NA	0	0
seen	seen	16	1	NA	NA	0	0
them	them	16	1	NA	NA	0	0
shits	shits	16	2	NA	NA	0	0
shining	shi-	16	1	NA	NA	0	0
shining	ning	16	1	NA	NA	0	0
on	on	16	1	NA	NA	0	0
her	her	16	1	NA	NA	0	0
wrist	wrist	16	2	NA	NA	0	0
whoa	whoa	16	3	1	1	1	1
now	now	16	1	NA	NA	0	0
money	mon-	16	1	NA	NA	0	0
money	ey	16	1	NA	NA	0	0
ain't	ain't	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
problem	pro-	16	1	NA	NA	0	0
problem	blem	16	1	NA	NA	0	0
see	see	16	1	NA	NA	0	0
my	my	16	1	NA	NA	0	0
dough	dough	16	1	1	1	0	0
is	is	16	1	NA	NA	0	0
like	like	16	2	NA	NA	0	0
whoa	whoa	16	3	1	1	1	1
pulled	pulled	16	1	NA	NA	0	0
out	out	16	1	NA	NA	0	0
my	my	16	1	NA	NA	0	0
bankroll	bank-	16	2	NA	NA	0	0
bankroll	roll	12	1	NA	NA	0	0
on	on	12	1	NA	NA	0	0
y'all	y'all	12	1	NA	NA	0	0
niggas	nig-	16	1	NA	NA	0	0
niggas	gas	16	1	NA	NA	0	0
like	like	16	2	NA	NA	0	0
whoa	whoa	16	4	1	1	1	1
floss	floss	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
blue	blue	16	2	NA	NA	0	0
shrimp	shrimp	12	1	NA	NA	0	0
from	from	12	1	NA	NA	0	0
two	two	12	1	2	1	0	0
tenth	tenth	16	2	2	2	0	0
like	like	16	2	NA	NA	0	0
whoa	whoa	16	4	1	1	1	1
faggot	fag-	16	1	NA	NA	0	0
faggot	got	16	1	NA	NA	0	0
wanna	wan-	16	1	NA	NA	0	0
wanna	na	16	1	NA	NA	0	0
peep	peep	12	1	NA	NA	0	0
my	my	12	1	NA	NA	0	0
blueprints	blue-	12	1	2	1	0	0
blueprints	prints	12	1	2	2	0	0
i'm	i'm	12	1	NA	NA	0	0
like	like	12	1	NA	NA	0	0
whoa	whoa	16	4	1	1	1	1
had	had	16	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
hit	hit	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
brakes	brakes	16	2	NA	NA	0	0
on	on	16	1	NA	NA	0	0
y'all	y'all	16	1	NA	NA	0	0
niggas	nig-	16	1	NA	NA	0	0
niggas	gas	16	1	NA	NA	0	0
like	like	16	2	NA	NA	0	0
whoa	whoa	16	4	1	1	1	1
niggas	nig-	16	1	NA	NA	0	0
niggas	gas	16	1	NA	NA	0	0
getting	get-	16	1	NA	NA	0	0
getting	ting	16	1	NA	NA	0	0
pulled	pulled	12	1	NA	NA	0	0
on	on	12	1	NA	NA	0	0
my	my	12	1	NA	NA	0	0
block	block	16	2	NA	NA	0	0
like	like	16	2	NA	NA	0	0
whoa	whoa	16	4	1	1	1	1
coming	com-	16	1	NA	NA	0	0
coming	ing	16	1	NA	NA	0	0
home	home	16	1	NA	NA	0	0
within	with-	16	1	NA	NA	0	0
within	in	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
half	half	16	1	NA	NA	0	0
an	an	16	1	NA	NA	0	0
hour	ho-	16	1	3	1	0	0
hour	ur	16	1	3	2	0	0
like	like	16	2	NA	NA	0	0
whoa	whoa	16	4	1	1	1	1
fronting	front-	16	1	NA	NA	0	0
fronting	ing	16	1	NA	NA	0	0
like	like	16	1	NA	NA	0	0
they	they	16	1	NA	NA	0	0
had	had	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
manpower	man-	16	2	NA	NA	0	0
manpower	po-	16	1	3	1	0	0
manpower	wer	16	1	3	2	0	0
like	like	16	2	NA	NA	0	0
whoa	whoa	16	4	1	1	1	1
