word	syllable	quant	duration	rhymeClass	rhymeIndex	lineEnding	breathEnding
to	to	16	1	NA	NA	0	0
be	be	16	1	NA	NA	0	0
continued	con-	16	1	1	1	0	0
continued	tin-	16	1	1	2	0	0
continued	ued	4	1	1	3	0	1
lets	lets	16	1	NA	NA	0	0
see	see	16	1	NA	NA	0	0
whats	whats	16	1	NA	NA	0	0
next	next	16	1	NA	NA	0	0
up	up	16	1	NA	NA	0	0
on	on	16	1	NA	NA	0	0
the	the	16	1	1	1	0	0
menu	me-	16	1	1	2	0	0
menu	nu	16	1	1	3	1	0
run	run	16	1	NA	NA	0	0
up	up	16	1	1	1	0	0
in	in	16	1	1	2	0	0
you	you	16	3	1	3	0	1
lyrics	ly-	16	1	NA	NA	0	0
lyrics	rics	16	1	NA	NA	0	0
that	that	16	1	NA	NA	0	0
be	be	16	1	NA	NA	0	0
fuckin	fuck-	16	1	NA	NA	0	0
fuckin	in	16	1	1	1	0	0
with	with	16	1	1	2	0	0
you	you	16	3	1	3	1	1
in	in	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
mental	men-	16	1	2	1	0	0
mental	tal	16	3	2	2	0	1
pick	pick	16	2	NA	NA	0	0
any	a-	16	1	NA	NA	0	0
any	ny	16	1	NA	NA	0	0
mental	men-	16	1	2	1	0	0
mental	tal	16	3	2	2	1	1
instru	in-	16	1	NA	NA	0	0
instru	stru	16	3	NA	NA	0	1
funda	fun-	16	1	NA	NA	0	0
funda	da	16	3	NA	NA	0	1
detri	de-	16	1	3	1	0	0
detri	tri	16	3	3	2	0	1
extra	ex-	16	1	3	1	0	0
extra	tra	16	1	3	2	0	0
extra	ex-	16	1	3	1	0	0
extra	tra	16	1	3	2	0	0
large	large	16	2	NA	NA	1	0
like	like	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
borough	bo-	16	1	NA	NA	0	0
borough	rough	16	1	NA	NA	0	0
of	of	16	1	NA	NA	0	0
brooklyn	brook-	16	1	NA	NA	0	0
brooklyn	lyn	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
residential	re-	16	1	NA	NA	0	0
residential	si-	16	1	NA	NA	0	0
residential	den-	16	1	2	1	0	0
residential	tial	16	3	2	2	1	1
existentialist	ex-	16	1	NA	NA	0	0
existentialist	ist-	16	3	NA	NA	0	0
existentialist	en-	16	1	2	1	0	0
existentialist	tial-	16	3	2	2	0	0
existentialist	ist	16	2	4	1	0	0
specialist	spe-	16	1	NA	NA	0	0
specialist	cial-	16	1	NA	NA	0	0
specialist	ist	16	2	4	1	0	0
like	like	16	1	NA	NA	0	0
sly	sly	16	2	5	1	0	0
stone	stone	16	2	5	2	1	0
wit	wit	16	1	NA	NA	0	0
my	my	16	2	5	1	0	0
poem	po-	16	1	5	2	0	0
poem	em	16	1	NA	NA	0	0
and	and	16	1	NA	NA	0	0
fly	fly	16	2	5	1	0	0
song	song	16	3	5	2	1	1
ride	ride	16	1	5	1	0	0
along	a-	16	1	NA	NA	0	0
along	long	16	1	5	2	0	0
with	with	16	1	NA	NA	0	0
cats	cats	16	1	NA	NA	0	0
who	who	16	1	NA	NA	0	0
live	live	16	2	NA	NA	0	0
great	great	16	2	NA	NA	0	0
and	and	16	1	NA	NA	0	0
die	die	16	2	5	1	0	0
