word	syllable	quant	duration	rhymeClass	rhymeIndex	lineEnding	breathEnding
just	just	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
other	o-	16	1	NA	NA	0	0
other	ther	16	1	NA	NA	0	0
day	day	16	1	NA	NA	0	0
i'm	i'm	16	1	NA	NA	0	0
riding	ri-	16	1	NA	NA	0	0
riding	ding	16	1	NA	NA	0	0
on	on	16	1	NA	NA	0	0
my	my	16	1	NA	NA	0	0
high	high	8	1	1	1	0	0
horse	horse	4	1	1	2	1	1
custom	cus-	16	1	NA	NA	0	0
custom	tom	16	1	NA	NA	0	0
leather	lea-	16	1	NA	NA	0	0
leather	ther	16	1	NA	NA	0	0
seats	seats	16	1	NA	NA	0	0
in	in	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
porsche	por-	16	1	NA	NA	0	0
porsche	sche	16	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
die	die	8	1	1	1	0	0
for	for	16	3	1	2	1	1
the	the	16	1	NA	NA	0	0
jewels	jew-	24	1	NA	NA	0	0
jewels	els'	24	1	NA	NA	0	0
alone	a-	24	1	NA	NA	0	0
alone	lone	16	1	NA	NA	0	0
made	made	16	1	NA	NA	0	0
him	him	16	1	NA	NA	0	0
sick	sick	8	1	NA	NA	0	1
i	i	16	1	NA	NA	0	0
am	am	16	1	NA	NA	0	0
an	an	16	1	NA	NA	0	0
eyesore	eye-	8	1	1	1	0	0
eyesore	sore	16	3	1	2	1	1
they	they	16	1	NA	NA	0	0
couldn't	could-	16	1	NA	NA	0	0
couldn't	n't	16	1	NA	NA	0	0
see	see	16	1	NA	NA	0	0
me	me	16	1	NA	NA	0	0
like	like	16	1	NA	NA	0	0
stevie	stev-	16	1	NA	NA	0	0
stevie	ie	8	1	NA	NA	0	1
mon	mon	16	1	NA	NA	0	0
cherie	che-	16	1	NA	NA	0	0
cherie	rie	16	1	NA	NA	0	0
amor	a-	16	1	1	1	0	0
amor	mor	16	5	1	2	1	1
with	with	16	1	NA	NA	0	0
three	three	16	1	NA	NA	0	0
or	or	16	1	NA	NA	0	0
four	four	8	1	NA	NA	0	0
baddest	bad-	16	1	NA	NA	0	0
baddest	dest	16	1	NA	NA	0	0
of	of	16	1	NA	NA	0	0
my	my	16	1	NA	NA	0	0
women	wo-	16	1	NA	NA	0	0
women	men	16	1	NA	NA	0	0
friends	friends	16	3	1	2	1	1
one	one	16	1	NA	NA	0	0
in	in	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
front	front	16	1	NA	NA	0	0
two	two	16	1	NA	NA	0	0
in	in	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
back	back	8	1	NA	NA	0	0
of	of	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
latest	lat-	16	1	NA	NA	0	0
latest	est	16	1	NA	NA	0	0
benz	benz	16	6	1	2	1	1
rims	rims	8	1	NA	NA	0	0
spinning	spin-	16	1	NA	NA	0	0
spinning	ning	16	4	NA	NA	0	1
tires	tir-	16	1	NA	NA	0	0
tires	es	16	1	NA	NA	0	0
pirelli	pi-	16	1	2	1	0	0
pirelli	rel-	16	1	2	2	0	0
pirelli	li	16	5	2	3	1	1
happy	hap-	16	1	NA	NA	0	0
happy	py	16	1	NA	NA	0	0
days	days	16	5	NA	NA	0	1
i'm	i'm	16	1	NA	NA	0	0
fonzerelli	fon-	16	1	NA	NA	0	0
fonzerelli	ze-	16	1	2	1	0	0
fonzerelli	rel-	16	1	2	2	0	0
fonzerelli	li	16	4	2	3	1	1
what	what	16	1	NA	NA	0	0
you	you	16	1	NA	NA	0	0
gonna	gon-	32	1	NA	NA	0	0
gonna	na	32	1	2	1	0	0
tell	tell	16	1	2	2	0	0
me	me	16	3	2	3	0	1
am	am	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
not	not	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
realest	real-	16	1	3	1	0	0
realest	est	16	3	3	2	1	1
thousand	thou-	16	1	NA	NA	0	0
thousand	sand	16	1	NA	NA	0	0
doller	dol-	16	1	NA	NA	0	0
doller	ler	16	1	NA	NA	0	0
bottles	bot-	16	1	NA	NA	0	0
bottles	tles	16	3	NA	NA	0	1
just	just	16	1	NA	NA	0	0
so	so	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
can	can	16	1	NA	NA	0	0
spill	spill	16	1	3	1	0	0
it	it	16	3	3	2	1	1
in	in	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
v	v	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
p	p	8	1	NA	NA	0	0
standing	stand-	16	1	NA	NA	0	0
standing	ing	16	1	NA	NA	0	0
on	on	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
couches	couch-	8	1	4	1	0	0
couches	es	8	1	4	2	1	0
talking	talk-	16	1	NA	NA	0	0
talking	in'	16	1	NA	NA	0	0
cash	cash	16	4	NA	NA	0	1
cause	cause	16	1	NA	NA	0	0
my	my	16	1	NA	NA	0	0
money's	mo-	16	1	NA	NA	0	0
money's	ney's	16	1	NA	NA	0	0
where	where	16	1	NA	NA	0	0
my	my	16	1	NA	NA	0	0
mouth	mouth	8	1	4	1	0	0
is	is	16	1	4	2	1	1
