word	syllable	quant	duration	rhymeClass	rhymeIndex	lineEnding	breathEnding
if	if	16	1	NA	NA	0	0
you	you	16	1	NA	NA	0	0
don't	don't	16	1	NA	NA	0	0
know	know	16	1	1	1	0	0
me	me	16	2	1	2	0	0
by	by	16	1	NA	NA	0	0
now	now	16	2	NA	NA	0	0
i	i	16	1	NA	NA	0	0
doubt	doubt	16	2	NA	NA	0	0
you'll	you'll	16	1	NA	NA	0	0
ever	e-	16	1	NA	NA	0	0
ever	ver	16	1	NA	NA	0	0
know	know	16	1	1	1	0	0
me	me	16	2	1	2	1	1
i	i	16	1	NA	NA	0	0
never	ne-	16	1	NA	NA	0	0
never	ver	16	1	NA	NA	0	0
won	won	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
grammy	gram-	16	1	NA	NA	0	0
grammy	my	16	2	NA	NA	0	1
i	i	16	1	NA	NA	0	0
won't	won't	16	2	NA	NA	0	0
wing	win	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
tony	to-	16	1	1	1	0	0
tony	ny	16	2	1	2	1	1
but	but	16	1	NA	NA	0	0
i'm	i'm	16	2	NA	NA	0	0
not	not	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
only	on-	16	1	1	1	0	0
only	ly	16	1	1	2	0	0
mc	mc	16	1	NA	NA	0	0
mc	mc	16	2	NA	NA	0	0
keeping	keep-	16	1	NA	NA	0	0
keeping	in'	16	1	NA	NA	0	0
it	it	16	1	NA	NA	0	0
real	real	16	2	2	1	1	1
when	when	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
grab	grab	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
mic	mic	16	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
smash	smash	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
rapper	rap-	16	1	NA	NA	0	0
rapper	per	16	1	NA	NA	0	0
girls	girls	16	2	NA	NA	0	0
go	go	16	2	NA	NA	0	0
ill	ill	16	6	2	1	1	1
check	check	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
time	time	16	2	3	1	0	0
as	as	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
rhyme	rhyme	16	1	3	1	0	0
it's	it's	16	1	NA	NA	0	0
nineteen	nine-	16	1	NA	NA	0	0
nineteen	teen	16	1	NA	NA	0	0
ninety	nine-	16	1	NA	NA	0	0
ninety	ty	16	1	NA	NA	0	0
five	five	16	1	3	1	1	0
whenever	when-	16	1	NA	NA	0	0
whenever	e-	16	1	NA	NA	0	0
whenever	ver	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
arrive	ar-	16	1	NA	NA	0	0
arrive	rive	16	3	3	1	0	1
the	the	16	1	NA	NA	0	0
party	par-	16	1	NA	NA	0	0
party	ty	16	1	NA	NA	0	0
gets	gets	16	2	NA	NA	0	0
liver	li-	16	2	3	1	0	0
liver	ver	16	2	NA	NA	1	1
flow	flow	16	2	NA	NA	0	0
with	with	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
master	mas-	16	2	4	1	0	0
master	ter	16	1	4	2	0	0
rhymer	rhym-	16	1	3	1	0	0
rhymer	er	16	2	NA	NA	0	1
as	as	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
leave	leave	16	1	NA	NA	0	0
behind	be-	16	1	NA	NA	0	0
behind	hind	16	1	3	1	1	0
the	the	16	1	NA	NA	0	0
video	vi-	16	1	NA	NA	0	0
video	de-	16	1	NA	NA	0	0
video	o	16	2	NA	NA	0	0
rapper	rap-	16	1	4	1	0	0
rapper	per	16	2	4	2	0	1
you	you	16	1	NA	NA	0	0
know	know	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
chart	chart	16	2	NA	NA	0	0
climber	climb-	16	1	3	1	0	0
climber	er	16	3	NA	NA	1	1
clapper	clapp-	16	1	4	1	0	0
clapper	er	16	3	4	2	0	1
down	down	16	2	NA	NA	0	0
goes	goes	16	1	NA	NA	0	0
another	a-	16	1	NA	NA	0	0
another	no-	16	1	NA	NA	0	0
another	ther	16	1	NA	NA	0	0
rapper	rap-	16	1	4	1	0	0
rapper	per	16	1	4	2	1	0
onto	on-	16	2	NA	NA	0	0
onto	to	16	1	NA	NA	0	0
another	a-	16	1	NA	NA	0	0
another	no-	16	1	NA	NA	0	0
another	ther	16	1	NA	NA	0	0
matter	mat-	16	1	4	1	0	0
matter	ter	16	1	4	2	0	1
punch	punch	16	1	NA	NA	0	0
up	up	16	2	NA	NA	0	0
the	the	16	1	NA	NA	0	0
data	da-	16	1	4	1	0	0
data	ta	16	1	4	2	0	0
blast	blast	16	2	NA	NA	0	0
master	mas-	16	1	4	1	0	0
master	ter	16	3	4	2	1	1
knowledge	know-	16	1	NA	NA	0	0
knowledge	ledge	16	1	NA	NA	0	0
reigns	reigns	16	1	NA	NA	0	0
supreme	sup-	16	1	NA	NA	0	0
supreme	reme	16	2	NA	NA	0	0
over	o-	16	1	NA	NA	0	0
over	ver	16	1	NA	NA	0	0
nearly	near-	16	1	NA	NA	0	0
nearly	ly	16	1	NA	NA	0	0
everybody	eve-	16	1	NA	NA	0	0
everybody	ry-	16	1	NA	NA	0	0
everybody	bo-	16	1	5	1	0	0
everybody	dy	16	3	5	2	1	1
call	call	16	1	NA	NA	0	0
up	up	16	1	NA	NA	0	0
k	k	16	1	NA	NA	0	0
r	r	16	1	NA	NA	0	0
s	s	16	1	NA	NA	0	0
i'm	i'm	16	1	NA	NA	0	0
guaranteed	guar-	16	1	NA	NA	0	0
guaranteed	an-	16	1	NA	NA	0	0
guaranteed	teed	16	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
rip	rip	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
party	par-	16	1	5	1	0	0
party	ty	16	3	5	2	1	1
flat	flat	16	2	NA	NA	0	0
top	top	16	2	NA	NA	0	0
braids	braids	16	2	NA	NA	0	0
bald	bald	16	1	NA	NA	0	0
heads	heads	16	2	6	1	0	0
or	or	16	1	NA	NA	0	0
knotty	knot-	16	2	NA	NA	0	0
knotty	ty	16	1	NA	NA	0	0
dreads	dreads	16	2	6	1	1	1
there	there	16	1	NA	NA	0	0
once	once	16	2	NA	NA	0	0
was	was	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
story	sto-	24	1	NA	NA	0	0
story	ry	24	1	NA	NA	0	0
about	a-	24	1	NA	NA	0	0
about	bout	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
man	man	16	2	NA	NA	0	0
named	named	16	2	NA	NA	0	0
jed	jed	16	3	6	1	1	1
but	but	16	1	NA	NA	0	0
now	now	16	2	NA	NA	0	0
jed	jed	16	2	6	1	0	0
is	is	16	1	NA	NA	0	0
dead	dead	16	3	6	1	0	1
all	all	16	1	NA	NA	0	0
his	his	16	1	NA	NA	0	0
kids	kids	16	2	NA	NA	0	0
instead	in-	16	1	NA	NA	0	0
instead	stead	16	3	6	1	1	1
want	want	16	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
kick	kick	16	2	NA	NA	0	0
rhymes	rhymes	16	2	NA	NA	0	0
off	off	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
top	top	16	2	NA	NA	0	0
of	of	16	1	NA	NA	0	0
they	they	16	1	NA	NA	0	0
head	head	16	4	6	1	1	1
word	word	16	3	NA	NA	0	1
what	what	16	1	NA	NA	0	0
go	go	16	1	NA	NA	0	0
around	a-	16	1	NA	NA	0	0
around	round	16	2	7	1	0	0
come	come	16	1	NA	NA	0	0
around	a-	16	1	NA	NA	0	0
around	round	16	1	7	1	0	0
i	i	16	1	NA	NA	0	0
figure	fi-	16	1	8	1	0	0
figure	gure	16	3	8	2	1	1
now	now	16	1	NA	NA	0	0
we	we	16	1	NA	NA	0	0
got	got	16	1	NA	NA	0	0
white	white	16	2	NA	NA	0	0
kids	kids	16	1	NA	NA	0	0
calling	call-	16	1	NA	NA	0	0
calling	in'	16	1	NA	NA	0	0
themselves	them-	16	2	NA	NA	0	0
themselves	selves	16	2	NA	NA	0	0
niggas	nig-	16	1	8	1	0	0
niggas	gas	16	2	8	2	1	1
the	the	16	1	NA	NA	0	0
tables	tab-	16	2	NA	NA	0	0
tables	les	16	1	NA	NA	0	0
turned	turned	16	3	9	1	0	1
as	as	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
crosses	cross-	16	2	NA	NA	0	0
crosses	es	16	1	NA	NA	0	0
burned	burned	16	2	9	1	1	0
remember	re-	16	1	NA	NA	0	0
remember	mem-	16	1	NA	NA	0	0
remember	ber	16	1	NA	NA	0	0
you	you	16	4	NA	NA	0	1
must	must	16	4	NA	NA	0	1
learn	learn	16	5	9	1	1	1
about	a-	16	1	NA	NA	0	0
about	bout	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
styles	styles	16	2	10	1	0	0
i	i	16	1	10	2	0	0
flip	flip	16	2	10	3	0	0
and	and	16	1	NA	NA	0	0
how	how	16	2	NA	NA	0	0
wild	wild	16	2	10	1	0	0
i	i	16	1	10	2	0	0
get	get	16	2	10	3	1	1
i	i	16	1	NA	NA	0	0
go	go	16	2	NA	NA	0	0
on	on	16	2	NA	NA	0	0
like	like	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
space	space	16	2	NA	NA	0	0
age	age	16	2	NA	NA	0	0
rocket	roc-	16	2	10	1	0	0
rocket	ket	16	1	10	2	0	0
ship	ship	16	3	10	3	1	1
you	you	16	1	NA	NA	0	0
could	could	16	1	NA	NA	0	0
be	be	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
mack	mack	16	2	NA	NA	0	1
a	a	16	1	NA	NA	0	0
pimp	pimp	16	3	NA	NA	0	0
hustler	hus-	16	1	NA	NA	0	0
hustler	tl-	16	1	NA	NA	0	0
hustler	er	16	1	NA	NA	0	0
or	or	16	1	NA	NA	0	0
player	play-	16	1	11	1	0	0
player	er	16	2	11	2	1	1
but	but	16	1	NA	NA	0	0
make	make	16	1	NA	NA	0	0
sure	sure	16	2	NA	NA	0	0
live	live	16	2	NA	NA	0	0
you	you	16	1	NA	NA	0	0
is	is	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
dope	dope	16	2	NA	NA	0	0
rhyme	rhyme	16	2	NA	NA	0	0
sayer	say-	16	1	11	1	0	0
sayer	er	16	1	11	2	1	1
