word	syllable	quant	duration	rhymeClass	rhymeIndex	lineEnding	breathEnding
if	if	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
was	was	16	1	NA	NA	0	0
froze	froze	16	2	1	1	0	0
inside	in-	16	1	1	2	0	0
inside	side	16	1	NA	NA	0	0
of	of	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
moment	mo-	16	2	1	1	0	0
moment	ment	16	1	1	2	1	1
if	if	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
could	could	16	1	NA	NA	0	0
capture	cap-	16	2	1	1	0	0
capture	ture	16	1	1	2	0	0
time	time	16	2	NA	NA	0	0
inside	in-	16	1	NA	NA	0	0
inside	side	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
capsule	cap-	16	2	1	1	0	0
capsule	sule	16	1	1	2	1	1
an	an	16	1	NA	NA	0	0
hourglass	ho-	16	1	NA	NA	0	0
hourglass	ur-	16	1	NA	NA	0	0
hourglass	glass	16	1	2	1	0	0
full	full	16	1	2	2	0	0
of	of	16	1	2	3	0	0
sand	sand	16	2	2	4	0	0
in	in	32	1	NA	NA	0	0
the	the	32	1	NA	NA	0	0
palm	palm	16	1	2	1	0	0
of	of	16	1	2	2	0	0
my	my	16	1	2	3	0	0
hand	hand	16	2	2	4	0	0
it	it	16	1	NA	NA	0	0
passes	pas-	16	2	3	1	0	0
passes	ses	16	1	3	2	0	0
through	through	16	1	3	3	0	0
it	it	16	1	3	4	1	1
if	if	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
can	can	16	1	NA	NA	0	0
grasp	grasp	16	1	3	1	0	0
it	it	16	2	3	2	0	1
and	and	16	1	NA	NA	0	0
just	just	16	1	NA	NA	0	0
control	con-	16	1	NA	NA	0	0
control	trol	16	1	NA	NA	0	0
what	what	16	1	NA	NA	0	0
happens	hap-	16	2	3	1	0	0
happens	pens	16	1	3	2	0	0
to	to	16	1	3	3	0	0
it	it	16	1	3	4	1	1
then	then	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
can	can	16	1	NA	NA	0	0
trap	trap	16	2	3	1	0	0
it	it	16	1	3	2	0	1
so	so	16	1	NA	NA	0	0
no	no	16	1	NA	NA	0	0
more	more	16	1	NA	NA	0	0
time	time	16	1	NA	NA	0	0
elapses	e-	16	1	NA	NA	0	0
elapses	lap-	16	2	3	1	0	0
elapses	ses	16	1	3	2	0	0
through	through	16	1	3	3	0	0
it	it	16	1	3	4	1	1
if	if	16	1	NA	NA	0	0
raps	raps	16	2	3	1	0	0
could	could	16	1	3	2	0	0
do	do	16	1	3	3	0	0
it	it	16	2	3	4	0	1
maybe	may-	16	1	NA	NA	0	0
maybe	be	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
could	could	16	1	NA	NA	0	0
tap	tap	16	2	3	1	0	0
into	in-	16	1	3	2	0	0
into	to	16	1	3	3	0	0
it	it	16	1	3	4	1	1
then	then	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
could	could	16	1	NA	NA	0	0
try	try	16	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
channel	chan-	16	1	NA	NA	0	0
channel	nel	16	1	NA	NA	0	0
it	it	16	1	NA	NA	0	0
through	through	16	1	NA	NA	0	0
cadillacs	ca-	16	1	NA	NA	0	0
cadillacs	dil-	16	1	NA	NA	0	0
cadillacs	lacs	16	2	3	1	0	0
and	and	16	1	3	2	0	0
buicks	bu-	16	1	3	3	0	0
buicks	icks	16	1	3	4	1	0
to	to	16	1	NA	NA	0	0
transmit	trans-	16	2	3	1	0	0
transmit	mit	16	1	3	2	0	0
through	through	16	1	3	3	0	0
'em	'em	16	1	3	4	0	0
to	to	16	1	NA	NA	0	0
make	make	16	1	NA	NA	0	0
you	you	16	1	NA	NA	0	0
put	put	16	1	NA	NA	0	0
your	your	16	1	NA	NA	0	0
ass	ass	16	2	3	1	0	0
into	in-	16	1	3	2	0	0
into	to	16	1	3	3	0	0
it	it	16	1	3	4	1	1
and	and	16	1	NA	NA	0	0
that's	that's	16	2	NA	NA	0	0
when	when	16	1	NA	NA	0	0
you	you	16	1	NA	NA	0	0
hit	hit	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
roof	roof	16	1	NA	NA	0	0
because	be-	16	1	NA	NA	0	0
because	cause	16	1	NA	NA	0	0
you	you	16	1	NA	NA	0	0
can't	can't	16	2	3	1	0	0
sit	sit	16	1	3	2	0	0
through	through	16	1	3	3	0	0
it	it	16	1	3	4	1	0
your	your	16	1	NA	NA	0	0
passions	pas-	16	2	NA	NA	0	0
passions	sions	16	1	NA	NA	0	0
too	too	16	1	NA	NA	0	0
much	much	16	1	NA	NA	0	0
for	for	16	1	NA	NA	0	0
you	you	16	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
not	not	16	1	NA	NA	0	0
be	be	16	1	NA	NA	0	0
dancing	dan-	16	2	3	1	0	0
dancing	cing	16	1	3	2	0	0
to	to	16	1	3	3	0	0
it	it	16	1	3	4	1	1
and	and	16	1	NA	NA	0	0
as	as	16	2	3	1	0	0
you	you	16	1	3	2	0	0
do	do	16	1	3	3	0	0
it	it	16	1	3	4	0	0
your	your	16	1	NA	NA	0	0
movements	move-	16	1	NA	NA	0	0
movements	ments	16	1	NA	NA	0	0
become	be-	16	1	NA	NA	0	0
become	come	16	1	NA	NA	0	0
fast	fast	16	2	3	1	0	0
and	and	16	1	3	2	0	0
fluent	flu-	16	1	3	3	0	0
fluent	ent	16	1	3	4	1	0
you're	you're	16	1	NA	NA	0	0
mashin'	mash-	16	2	3	1	0	0
mashin'	in'	16	1	3	2	0	0
to	to	16	1	3	3	0	0
it	it	16	2	3	4	0	1
moshing	mosh-	16	1	NA	NA	0	0
moshing	ing	16	1	NA	NA	0	0
til	til	16	1	NA	NA	0	0
you're	you're	16	1	NA	NA	0	0
black	black	16	2	3	1	0	0
and	and	16	1	3	2	0	0
bluish	blu-	16	1	3	3	0	0
bluish	ish	16	1	3	4	1	0
you're	you're	16	1	NA	NA	0	0
acting	act-	16	2	3	1	0	0
acting	ing	16	1	3	2	0	0
foolish	fool-	16	1	3	3	0	0
foolish	ish	16	2	3	4	0	1
this	this	16	1	NA	NA	0	0
music	mu-	16	1	NA	NA	0	0
music	sic	16	1	NA	NA	0	0
it	it	16	1	NA	NA	0	0
has	has	16	2	3	1	0	0
influenced	in-	16	1	3	2	0	0
influenced	flu-	16	1	3	3	0	0
influenced	enced	16	1	3	4	0	0
you	you	16	1	NA	NA	1	0
to	to	16	1	NA	NA	0	0
be	be	16	1	NA	NA	0	0
rowdy	row-	16	1	NA	NA	0	0
rowdy	dy	16	1	NA	NA	0	0
but	but	16	1	NA	NA	0	0
in	in	16	1	NA	NA	0	0
an	an	16	1	NA	NA	0	0
orderly	or-	16	1	NA	NA	0	0
orderly	der-	16	1	NA	NA	0	0
orderly	ly	16	1	NA	NA	0	0
fashion	fash-	16	2	3	1	0	0
fashion	ion	16	1	3	2	1	0
true	true	16	1	3	3	0	0
it's	it's	16	1	3	4	0	0
chaotic	cha-	16	1	NA	NA	0	0
