word	syllable	quant	duration	rhymeClass	rhymeIndex	lineEnding	breathEnding
when	when	16	1	NA	NA	0	0
at	at	16	1	NA	NA	0	0
first	first	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
caught	caught	16	1	NA	NA	0	0
ya	ya	16	1	NA	NA	0	0
creeping	creep-	16	1	1	1	0	0
creeping	in'	16	3	1	2	0	1
wasn't	was-	16	1	NA	NA	0	0
wasn't	n't	16	1	NA	NA	0	0
even	e-	16	1	NA	NA	0	0
even	ven	16	1	NA	NA	0	0
sleeping	sleep-	16	1	1	1	0	0
sleeping	in'	16	1	1	2	1	0
she	she	16	1	NA	NA	0	0
hit	hit	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
speaker	speak-	16	1	NA	NA	0	0
speaker	er	16	1	NA	NA	0	0
and	and	16	1	NA	NA	0	0
bleeped	bleeped	16	1	1	1	0	0
him	him	16	3	1	2	0	1
peeped	peeped	16	1	1	1	0	0
him	him	16	2	1	2	1	1
my	my	16	1	NA	NA	0	0
nigga	nig-	16	1	NA	NA	0	0
nigga	ga	16	1	NA	NA	0	0
baseball	base-	16	1	NA	NA	0	0
baseball	ball	16	1	NA	NA	0	0
was	was	16	1	NA	NA	0	0
ready	read-	16	1	NA	NA	0	0
ready	y	16	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
beat	beat	16	1	1	1	0	0
him	him	16	3	1	2	0	1
leak	leak	16	1	1	1	0	0
him	him	16	2	1	2	1	1
i	i	16	1	NA	NA	0	0
told	told	16	1	NA	NA	0	0
my	my	16	1	NA	NA	0	0
nigga	nig-	16	1	NA	NA	0	0
nigga	ga	16	1	NA	NA	0	0
chill	chill	16	1	NA	NA	0	0
that	that	16	1	NA	NA	0	0
they	they	16	1	NA	NA	0	0
be	be	16	1	NA	NA	0	0
cheating	cheat-	16	1	1	1	0	0
cheating	in'	16	9	1	2	1	1
used	used	16	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
spend	spend	16	1	NA	NA	0	0
and	and	16	1	NA	NA	0	0
give	give	16	1	NA	NA	0	0
you	you	16	1	NA	NA	0	0
money	mon-	16	1	2	1	0	0
money	ey	16	2	2	2	0	1
we	we	16	1	NA	NA	0	0
used	used	16	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
make	make	16	2	NA	NA	0	0
love	love	16	1	NA	NA	0	0
let	let	16	1	NA	NA	0	0
me	me	16	1	NA	NA	0	0
lick	lick	16	1	NA	NA	0	0
and	and	16	1	NA	NA	0	0
dip	dip	16	1	NA	NA	0	0
in	in	16	1	NA	NA	0	0
ya	ya	16	1	NA	NA	0	0
honey	hon-	16	1	2	1	0	0
honey	ey	16	2	2	2	0	1
it's	it's	16	1	NA	NA	0	0
funny	fun-	16	1	2	1	0	0
funny	ny	16	2	2	2	1	1
because	be-	16	1	NA	NA	0	0
because	cause	16	1	NA	NA	0	0
before	be-	16	1	NA	NA	0	0
before	fore	16	1	NA	NA	0	0
you	you	16	2	NA	NA	0	0
it	it	16	1	NA	NA	0	0
was	was	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
bunny	bun-	16	1	2	1	0	0
bunny	ny	16	2	2	2	0	1
she	she	16	1	NA	NA	0	0
want	want	16	1	NA	NA	0	0
me	me	16	3	NA	NA	1	1
told	told	16	1	NA	NA	0	0
me	me	16	1	NA	NA	0	0
pull	pull	16	1	NA	NA	0	0
it	it	16	1	NA	NA	0	0
out	out	24	1	NA	NA	0	0
and	and	24	1	NA	NA	0	0
don't	don't	24	1	NA	NA	0	0
even	e-	16	1	NA	NA	0	0
even	ven	16	1	NA	NA	0	0
come	come	16	1	2	1	0	0
in	in	16	1	2	2	1	1
