word	syllable	quant	duration	rhymeClass	rhymeIndex	lineEnding	breathEnding
just	just	16	2	NA	NA	0	0
waking	wa-	16	1	NA	NA	0	0
waking	king	16	1	NA	NA	0	0
up	up	16	2	NA	NA	0	0
in	in	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
morning	morn-	16	1	NA	NA	0	0
morning	ing	16	1	NA	NA	0	0
gotta	got-	16	1	NA	NA	0	0
gotta	ta	16	1	NA	NA	0	0
thank	thank	16	2	NA	NA	0	0
god	god	16	4	1	1	1	1
i	i	16	1	NA	NA	0	0
don't	don't	16	1	NA	NA	0	0
know	know	16	2	NA	NA	0	0
but	but	16	1	NA	NA	0	0
today	to-	16	1	NA	NA	0	0
today	day	16	2	NA	NA	0	0
seems	seems	16	2	NA	NA	0	0
kinda	kind-	16	1	NA	NA	0	0
kinda	a	16	1	NA	NA	0	0
odd	odd	16	4	1	1	1	1
no	no	16	2	NA	NA	0	0
barking	bar-	16	1	NA	NA	0	0
barking	king	16	1	NA	NA	0	0
from	from	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
dog	dog	16	4	1	1	0	1
no	no	16	2	NA	NA	0	0
smog	smog	16	5	1	1	1	1
and	and	16	1	NA	NA	0	0
momma	mom-	16	1	NA	NA	0	0
momma	ma	16	1	NA	NA	0	0
cooked	cooked	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
breakfast	break-	16	1	NA	NA	0	0
breakfast	fast	16	1	NA	NA	0	0
with	with	16	1	NA	NA	0	0
no	no	16	2	NA	NA	0	0
hog	hog	16	4	1	1	1	1
i	i	16	1	NA	NA	0	0
got	got	16	1	NA	NA	0	0
my	my	16	1	NA	NA	0	0
grub	grub	16	2	NA	NA	0	0
on	on	16	3	NA	NA	0	1
but	but	16	1	NA	NA	0	0
didn't	did-	16	1	NA	NA	0	0
didn't	n't	16	1	NA	NA	0	0
pig	pig	16	2	2	1	0	0
out	out	16	2	2	2	1	1
finally	fin-	24	1	NA	NA	0	0
finally	al-	24	1	NA	NA	0	0
finally	ly	24	1	NA	NA	0	0
got	got	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
call	call	16	2	NA	NA	0	0
from	from	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
girl	girl	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
wanna	wan-	16	1	NA	NA	0	0
wanna	na	16	1	NA	NA	0	0
dig	dig	16	2	2	1	0	0
out	out	16	4	2	2	1	1
hooked	hooked	16	1	NA	NA	0	0
it	it	16	1	NA	NA	0	0
up	up	16	2	NA	NA	0	0
for	for	16	1	NA	NA	0	0
later	lat-	16	2	NA	NA	0	0
later	er	16	1	NA	NA	0	0
as	as	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
hit	hit	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
door	door	16	2	3	1	1	1
thinking	think-	16	1	NA	NA	0	0
thinking	ing	16	1	NA	NA	0	0
will	will	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
live	live	16	3	NA	NA	0	1
another	a-	16	1	NA	NA	0	0
another	no-	16	1	NA	NA	0	0
another	ther	16	1	NA	NA	0	0
twenty	twen-	16	1	NA	NA	0	0
twenty	ty	16	1	NA	NA	0	0
four	four	16	4	3	1	1	1
i	i	16	2	NA	NA	0	0
gotta	got-	16	1	NA	NA	0	0
gotta	ta	16	1	NA	NA	0	0
go	go	16	2	NA	NA	0	0
cause	cause	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
got	got	16	2	NA	NA	0	0
me	me	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
drop	drop	16	2	NA	NA	0	0
top	top	16	1	4	1	1	0
and	and	16	1	NA	NA	0	0
