word	syllable	quant	duration	rhymeClass	rhymeIndex	lineEnding	breathEnding
they	they	16	1	NA	NA	0	0
can't	can't	16	2	NA	NA	0	0
stop	stop	16	2	1	1	0	0
this	this	16	3	1	2	0	1
i	i	16	1	NA	NA	0	0
want	want	16	1	NA	NA	0	0
my	my	16	1	NA	NA	0	0
peoples	peop-	16	1	NA	NA	0	0
peoples	les	16	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
rock	rock	16	2	1	1	0	0
this	this	16	4	1	2	1	1
bang	bang	16	2	2	1	0	0
this	this	16	1	2	2	0	0
music	mu-	16	1	2	3	0	0
music	sic	16	1	2	4	0	0
in	in	16	1	NA	NA	0	0
your	your	16	1	NA	NA	0	0
speakers	speak-	16	1	NA	NA	0	0
speakers	ers	16	1	NA	NA	0	0
and	and	16	1	NA	NA	0	0
boxes	box-	16	2	1	1	0	0
boxes	es	16	4	1	2	1	1
langston	lang-	16	2	2	1	0	0
langston	ston	16	1	2	2	0	0
hughes	hughes	16	1	2	3	0	0
is	is	16	1	2	4	0	0
bout	bout	16	1	NA	NA	0	0
as	as	16	1	NA	NA	0	0
deep	deep	16	1	NA	NA	0	0
as	as	16	1	NA	NA	0	0
my	my	16	1	NA	NA	0	0
thoughts	thoughts	16	2	1	1	0	0
is	is	16	2	1	2	1	1
sit	sit	16	1	NA	NA	0	0
back	back	16	1	NA	NA	0	0
and	and	16	1	NA	NA	0	0
i'mma	i'm-	16	1	NA	NA	0	0
i'mma	ma	16	1	NA	NA	0	0
paint	paint	16	1	NA	NA	0	0
you	you	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
portrait	port-	16	2	1	1	0	0
portrait	rait	16	2	1	2	1	1
disgust	dis-	16	1	NA	NA	0	0
disgust	gust	16	1	NA	NA	0	0
can	can	16	1	NA	NA	0	0
make	make	16	1	NA	NA	0	0
you	you	16	1	NA	NA	0	0
think	think	16	1	NA	NA	0	0
you	you	16	1	NA	NA	0	0
had	had	16	1	NA	NA	0	0
lost	lost	16	2	1	1	1	0
this	this	16	1	1	2	0	0
shit	shit	16	1	NA	NA	0	0
can	can	16	1	NA	NA	0	0
have	have	16	1	NA	NA	0	0
you	you	16	1	NA	NA	0	0
exhausted	ex-	16	1	NA	NA	0	0
exhausted	haus-	16	2	1	1	0	0
exhausted	ted	16	1	1	2	1	0
just	just	16	3	NA	NA	0	1
picture	pic-	16	1	NA	NA	0	0
picture	ture	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
planet	plan-	16	1	NA	NA	0	0
planet	et	16	1	NA	NA	0	0
and	and	16	1	NA	NA	0	0
imagine	i-	16	1	NA	NA	0	0
imagine	mag-	16	1	NA	NA	0	0
imagine	ine	16	1	NA	NA	0	0
it's	it's	16	1	NA	NA	0	0
yours	yours	16	2	1	1	0	0
kid	kid	16	2	1	2	1	1
don't	don't	16	1	NA	NA	0	0
ever	e-	16	1	NA	NA	0	0
ever	ver	16	1	NA	NA	0	0
let	let	16	1	NA	NA	0	0
nobody	no-	16	1	NA	NA	0	0
nobody	bo-	16	1	NA	NA	0	0
nobody	dy	16	1	NA	NA	0	0
knock	knock	16	1	NA	NA	0	0
you	you	16	1	NA	NA	0	0
outta	out-	16	1	NA	NA	0	0
outta	ta	16	1	NA	NA	0	0
your	your	16	1	NA	NA	0	0
orbit	or-	16	2	1	1	0	0
orbit	bit	16	2	1	2	1	1
i	i	16	1	NA	NA	0	0
never	ne-	16	1	NA	NA	0	0
never	ver	16	1	NA	NA	0	0
seen	seen	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
bridge	bridge	16	1	NA	NA	0	0
we	we	16	1	NA	NA	0	0
couldn't	could-	16	1	NA	NA	0	0
couldn't	n't	16	1	NA	NA	0	0
shuffle	shuff-	16	1	NA	NA	0	0
shuffle	le	16	1	NA	NA	0	0
across	a-	16	1	NA	NA	0	0
across	cross	16	2	1	1	0	0
we	we	16	1	NA	NA	0	0
got	got	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
lotta	lot-	16	1	NA	NA	0	0
lotta	ta	16	1	NA	NA	0	0
people	peo-	16	1	NA	NA	0	0
people	ple	16	1	NA	NA	0	0
livin'	liv-	16	1	3	1	0	0
livin'	in'	16	1	3	2	0	0
a	a	16	1	3	3	0	0
life	life	16	2	NA	NA	0	1
that's	that's	16	1	NA	NA	0	0
pure	pure	16	2	NA	NA	0	0
trivia	tri-	16	1	3	1	0	0
trivia	vi-	16	1	3	2	0	0
trivia	a	16	2	3	3	1	1
real	real	16	2	NA	NA	0	0
hip	hip	16	2	NA	NA	0	0
hop	hop	16	1	NA	NA	0	0
and	and	16	1	NA	NA	0	0
they	they	16	1	NA	NA	0	0
tryna	try-	16	2	NA	NA	0	0
tryna	na	16	1	NA	NA	0	0
get	get	16	2	NA	NA	0	1
rid	rid	16	1	3	1	0	0
of	of	16	1	3	2	0	0
ya	ya	16	2	3	3	1	1
can't	can't	16	2	NA	NA	0	0
have	have	16	2	NA	NA	0	0
that	that	16	1	NA	NA	0	0
because	be-	16	1	NA	NA	0	0
because	cause	16	1	NA	NA	0	0
here	here	16	2	NA	NA	0	0
come	come	16	2	NA	NA	0	0
the	the	16	1	NA	NA	0	0
city	ci-	16	1	3	1	0	0
city	ty	16	1	3	2	0	0
of	of	16	1	3	3	0	0
philly	phil-	16	1	3	4	0	0
philly	ly	16	2	3	5	1	1
put	put	16	1	NA	NA	0	0
an	an	16	1	NA	NA	0	0
end	end	16	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
all	all	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
trivia	tri-	16	1	3	1	0	0
trivia	vi-	16	1	3	2	0	0
trivia	a	16	1	3	3	0	0
really	real-	16	1	3	4	0	0
really	ly	16	2	3	5	1	1
where	where	16	1	NA	NA	0	0
i'm	i'm	16	1	NA	NA	0	0
walkin'	walk-	16	1	NA	NA	0	0
walkin'	in'	16	1	NA	NA	0	0
evrybody	ev-	16	1	NA	NA	0	0
evrybody	ry-	16	1	NA	NA	0	0
evrybody	bo-	16	1	NA	NA	0	0
evrybody	dy	16	1	NA	NA	0	0
ain't	ain't	16	2	NA	NA	0	0
pretty	pret-	16	1	3	1	0	0
pretty	ty	16	1	3	2	0	0
or	or	16	1	3	3	0	0
friendly	friend-	16	1	3	4	0	0
friendly	ly	16	2	3	5	1	1
it's	it's	16	1	NA	NA	0	0
work	work	16	2	NA	NA	0	1
my	my	16	1	NA	NA	0	0
whole	whole	16	2	NA	NA	0	0
life	life	16	2	NA	NA	0	0
they	they	16	1	NA	NA	0	0
ain't	ain't	16	1	NA	NA	0	0
give	give	16	1	3	1	0	0
me	me	16	1	3	2	0	0
a	a	16	1	3	3	0	0
penny	pen-	16	1	3	4	0	0
penny	ny	16	2	3	5	1	1
comin'	com-	16	1	NA	NA	0	0
comin'	in'	16	1	NA	NA	0	0
up	up	16	1	NA	NA	0	0
between	bet-	16	1	NA	NA	0	0
between	ween	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
