word	syllable	quant	duration	rhymeClass	rhymeIndex	lineEnding	breathEnding
mi	mi	16	1	NA	NA	0	0
abuela	a-	16	1	NA	NA	0	0
abuela	bue-	16	1	4	1	0	0
abuela	la	16	1	NA	NA	0	0
raised	raised	16	2	NA	NA	0	0
three	three	16	2	NA	NA	0	0
daughters	daugh-	16	1	NA	NA	0	0
daughters	ters	16	1	NA	NA	0	0
all	all	16	1	5	1	0	0
by	by	16	1	5	2	0	0
herself	her-	16	1	5	3	0	0
herself	self	16	2	5	4	0	1
with	with	16	1	NA	NA	0	0
no	no	16	2	5	1	0	0
help	help	16	1	5	2	1	0
i	i	16	1	NA	NA	0	0
think	think	16	1	NA	NA	0	0
about	a-	16	1	NA	NA	0	0
about	bout	16	1	NA	NA	0	0
her	her	16	1	NA	NA	0	0
struggle	strug-	16	1	NA	NA	0	0
struggle	gle	16	1	NA	NA	0	0
and	and	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
find	find	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
strength	strength	16	1	5	1	0	0
in	in	16	1	5	2	0	0
myself	my-	16	1	5	3	0	0
myself	self	16	2	5	4	1	1
these	these	16	1	NA	NA	0	0
words	words	16	3	NA	NA	0	1
melt	melt	16	1	5	1	0	0
in	in	16	1	5	2	0	0
my	my	16	1	5	3	0	0
mouth	mouth	16	2	5	4	0	0
they	they	16	1	NA	NA	0	0
hot	hot	16	1	NA	NA	0	0
like	like	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
jail	jail	16	2	NA	NA	0	0
cell	cell	16	1	NA	5	0	0
in	in	16	1	NA	5	0	0
the	the	16	1	NA	5	0	0
south	south	16	2	NA	5	1	1
before	be-	16	1	NA	NA	0	0
before	fore	16	1	NA	NA	0	0
my	my	16	1	NA	NA	0	0
nigga	nig-	16	1	NA	NA	0	0
nigga	ga	16	1	NA	NA	0	0
core	core	16	2	NA	NA	0	0
bailed	bailed	16	2	NA	5	0	0
me	me	16	1	NA	5	0	0
out	out	16	2	NA	5	1	1
