word	syllable	quant	duration	rhymeClass	rhymeIndex	lineEnding	breathEnding
back	back	8	1	NA	NA	0	0
wit	wit	16	1	NA	NA	0	0
andre	an-	8	1	NA	NA	0	0
andre	dre	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
giant	gi-	16	1	NA	NA	0	0
giant	ant	16	1	NA	NA	0	0
mister	mist-	16	1	NA	NA	0	0
mister	er	16	1	NA	NA	0	0
elephant	e-	16	1	NA	NA	0	0
elephant	le-	16	1	1	1	0	0
elephant	phant	16	1	1	2	0	0
tusk	tusk	16	3	1	3	1	1
picture	pic-	16	1	1	1	0	0
picture	ture	16	1	1	2	0	0
us	us	8	1	1	3	0	1
you'll	you'll	16	1	1	1	0	0
be	be	16	1	1	2	0	0
just	just	16	1	1	3	0	0
another	a-	16	1	NA	NA	0	0
another	no-	16	1	NA	NA	0	0
another	ther	16	1	NA	NA	0	0
one	one	16	1	NA	NA	0	0
bit	bit	16	1	1	1	0	0
the	the	16	1	1	2	0	0
dust	dust	16	3	1	3	1	1
just	just	16	1	1	1	0	0
one	one	16	1	1	2	0	0
of	of	16	1	1	3	0	0
my	my	16	1	NA	NA	0	0
mothers	mo-	16	1	1	1	0	0
mothers	thers	16	1	1	2	0	0
sons	sons	16	1	1	3	0	0
who	who	16	1	NA	NA	0	0
got	got	16	1	NA	NA	0	0
thrown	thrown	16	1	NA	NA	0	0
under	un-	16	1	NA	NA	0	0
under	der	16	1	1	1	0	0
the	the	16	1	1	2	0	0
bus	bus	16	3	1	3	1	1
kiss	kiss	16	1	1	1	0	0
my	my	16	1	1	2	0	0
butt	butt	16	1	1	3	0	1
lick	lick	16	1	NA	NA	0	0
the	the	16	1	1	1	0	0
fumunda	fu-	16	1	1	2	0	0
fumunda	mun-	16	1	1	3	0	0
fumunda	da	16	1	NA	NA	0	0
cheese	cheese	16	1	NA	NA	0	0
from	from	16	1	NA	NA	0	0
under	un-	16	1	NA	NA	0	0
under	der	16	1	1	1	0	0
my	my	16	1	1	2	0	0
nuts	nuts	16	3	1	3	1	1
it	it	16	1	1	1	0	0
disgusts	dis-	16	1	1	2	0	0
disgusts	gusts	8	1	1	3	0	1
me	me	16	1	7	1	0	0
to	to	16	1	7	2	0	0
see	see	16	1	7	3	0	0
the	the	16	1	7	4	0	0
game	game	16	1	7	5	0	0
the	the	16	1	NA	NA	0	0
way	way	16	1	NA	NA	0	0
that	that	16	1	NA	NA	0	0
it	it	16	1	NA	NA	0	0
looks	looks	16	3	NA	NA	1	1
its	its	16	1	1	1	0	0
a	a	16	1	1	2	0	0
must	must	8	1	1	3	0	1
i	i	16	1	7	1	0	0
redeem	re-	16	1	7	2	0	0
redeem	deem	16	1	7	3	0	0
my	my	16	1	7	4	0	0
name	name	16	1	7	5	0	0
and	and	16	1	NA	NA	0	0
haters	ha-	16	1	NA	NA	0	0
haters	ters	16	1	1	1	0	0
get	get	16	1	1	2	0	0
mushed	mushed	16	3	1	3	1	1
bitches	bitch-	16	1	1	1	0	0
bitches	es	16	1	1	2	0	0
lust	lust	8	1	1	3	0	1
man	man	16	1	NA	NA	0	0
they	they	16	1	NA	NA	0	0
love	love	16	1	NA	NA	0	0
me	me	16	1	NA	NA	0	0
when	when	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
lay	lay	16	1	NA	NA	0	0
in	in	16	1	1	1	0	0
the	the	16	1	1	2	0	0
cut	cut	16	3	1	3	1	1
fist	fist	16	1	1	1	0	0
the	the	16	1	1	2	0	0
cup	cup	16	1	1	3	0	0
the	the	16	1	NA	NA	0	0
lady	lad-	16	1	NA	NA	0	0
lady	y	16	1	NA	NA	0	0
gave	gave	16	1	NA	NA	0	0
her	her	16	1	NA	NA	0	0
eighty	eigh-	16	1	NA	NA	0	0
eighty	ty	16	1	NA	NA	0	0
some	some	16	1	NA	NA	0	0
paper	pa-	16	1	1	1	0	0
paper	per	16	1	1	2	0	0
cut	cut	8	1	1	3	1	1
now	now	16	1	NA	NA	0	0
picture	pic-	16	1	1	1	0	0
picture	ture	16	1	1	2	0	0
us	us	8	1	1	3	0	1
its	its	16	1	NA	NA	0	0
ridiculous	ri-	16	1	NA	NA	0	0
ridiculous	di-	16	1	6	1	0	0
ridiculous	cu-	16	1	NA	NA	0	0
ridiculous	lous	16	1	NA	NA	0	0
you	you	16	1	NA	NA	0	0
curse	curse	16	1	2	1	0	0
at	at	16	1	2	2	0	0
the	the	16	1	2	3	0	0
thought	thought	8	1	2	4	1	1
cuz	cuz	16	1	NA	NA	0	0
when	when	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
spit	spit	16	1	6	1	0	0
the	the	16	1	NA	NA	0	0
verse	verse	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
shit	shit	16	1	6	1	0	0
gets	gets	16	1	NA	NA	0	0
worse	worse	16	1	NA	NA	0	0
then	then	16	1	NA	NA	0	0
worcestershire	worces-	16	1	2	1	0	0
worcestershire	ter-	16	1	2	2	0	0
worcestershire	shire	16	1	2	3	0	0
sauce	sauce	16	2	2	4	1	1
if	if	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
could	could	16	1	NA	NA	0	0
fit	fit	16	1	6	1	0	0
the	the	16	1	NA	NA	0	0
words	words	16	1	NA	NA	0	0
as	as	16	1	NA	NA	0	0
picture	pic-	16	1	NA	NA	0	0
picture	ture	16	1	NA	NA	0	0
perfect	per-	16	1	NA	NA	0	0
perfect	fect	16	1	NA	NA	0	0
works	works	16	1	NA	NA	0	0
every	ev-	16	1	3	1	0	0
every	ry	16	1	3	2	0	0
time	time	16	3	3	3	1	1
every	ev-	16	1	NA	NA	0	0
every	ry	16	1	NA	NA	0	0
verse	verse	16	2	NA	NA	0	0
every	ev-	16	1	3	1	0	0
every	ry	16	1	3	2	0	0
line	line	16	1	3	3	0	0
as	as	16	1	NA	NA	0	0
simple	sim-	16	1	NA	NA	0	0
simple	ple	16	1	NA	NA	0	0
as	as	16	1	NA	NA	0	0
nursery	nur-	16	1	3	1	0	0
nursery	sery	16	1	3	2	0	0
rhymes	rhymes	16	2	3	3	1	0
its	its	16	1	NA	NA	0	0
elementary	el-	16	1	NA	NA	0	0
elementary	e-	16	1	NA	NA	0	0
elementary	men-	16	2	NA	NA	0	0
elementary	tary	16	1	NA	NA	0	1
the	the	16	1	NA	NA	0	0
elephants	e-	16	1	NA	NA	0	0
elephants	le-	16	1	NA	NA	0	0
elephants	phants	16	1	NA	NA	0	0
have	have	16	1	NA	NA	0	0
entered	en-	16	1	4	1	0	0
entered	tered	16	1	4	2	0	0
the	the	16	1	4	3	0	0
room	room	16	2	4	4	1	1
i	i	16	1	NA	NA	0	0
venture	ven-	16	1	NA	NA	0	0
venture	ture	16	1	8	1	0	0
to	to	16	1	NA	NA	0	0
say	say	16	1	NA	NA	0	0
were	were	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
center	cen-	16	1	8	1	0	0
center	ter	16	1	NA	NA	0	0
