word	syllable	quant	duration	rhymeClass	rhymeIndex	lineEnding	breathEnding
there's	there's	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
certain	cer-	16	1	NA	NA	0	0
certain	tain	16	1	NA	NA	0	0
mystique	mys-	16	1	1	1	0	0
mystique	tique	16	2	1	2	0	0
when	when	16	1	NA	NA	0	0
i	i	16	1	1	1	0	0
speak	speak	16	2	1	2	0	1
that	that	16	1	NA	NA	0	0
you	you	16	1	NA	NA	0	0
notice	no-	16	1	NA	NA	0	0
notice	tice	16	1	NA	NA	0	0
that	that	16	1	NA	NA	0	0
sorta	sort-	16	1	NA	NA	0	0
sorta	a	16	1	NA	NA	1	0
unique	u-	16	1	1	1	0	0
unique	nique	16	2	1	2	0	1
cause	cause	16	1	NA	NA	0	0
you	you	16	1	NA	NA	0	0
know	know	16	1	NA	NA	0	0
it's	it's	16	1	1	1	0	0
me	me	16	2	1	2	0	1
my	my	16	1	NA	NA	0	0
poetry's	po-	16	1	NA	NA	0	0
poetry's	e-	16	1	NA	NA	0	0
poetry's	try's	16	1	1	1	0	0
deep	deep	16	2	1	2	0	0
and	and	16	1	NA	NA	0	0
i'm	i'm	16	1	NA	NA	0	0
still	still	16	1	NA	NA	1	0
matic	ma-	16	1	2	1	0	0
matic	tic	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
way	way	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
flow	flow	16	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
this	this	16	1	NA	NA	0	0
beat	beat	16	2	NA	NA	0	1
you	you	16	1	NA	NA	0	0
can't	can't	16	2	NA	NA	0	0
sit	sit	16	1	NA	NA	0	0
still	still	16	2	NA	NA	1	1
it's	it's	16	1	NA	NA	0	0
like	like	16	2	NA	NA	0	0
trying	try-	16	1	NA	NA	0	0
trying	ing	16	1	NA	NA	0	0
smoke	smoke	16	1	NA	NA	0	0
crack	crack	16	2	2	1	0	0
and	and	16	1	NA	NA	0	0
go	go	16	1	NA	NA	0	0
to	to	16	1	1	1	0	0
sleep	sleep	16	2	1	2	0	0
i'm	i'm	16	1	NA	NA	0	0
