word	syllable	quant	duration	rhymeClass	rhymeIndex	lineEnding	breathEnding
one	one	16	2	NA	NA	0	0
love	love	16	2	NA	NA	0	0
one	one	16	2	2	1	0	0
game	game	16	2	2	2	0	0
one	one	16	1	NA	NA	0	0
desire	de-	16	1	NA	NA	0	0
desire	si-	16	1	1	3	0	0
desire	re	16	1	1	4	1	0
one	one	16	2	2	1	0	0
flame	flame	16	2	2	2	0	0
one	one	16	2	NA	NA	0	0
bonfire	bon-	16	2	1	1	0	0
bonfire	fi-	16	1	1	3	0	0
bonfire	re	16	1	1	4	0	0
let	let	16	1	NA	NA	0	0
it	it	16	1	NA	NA	0	0
burn	burn	16	2	1	1	0	0
higher	high-	16	1	1	3	0	0
higher	er	16	2	1	4	1	1
i	i	16	1	NA	NA	0	0
never	nev-	16	1	NA	NA	0	0
never	er	16	1	NA	NA	0	0
show	show	16	2	NA	NA	0	0
signs	signs	16	1	NA	NA	0	0
of	of	16	1	NA	NA	0	0
fatigue	fa-	16	1	NA	NA	0	0
fatigue	tigue	16	2	NA	NA	0	1
or	or	16	1	NA	NA	0	0
turn	turn	16	2	1	1	0	0
tired	ti-	16	1	1	3	0	0
tired	red	16	2	1	4	1	1
cause	cause	16	1	NA	NA	0	0
i'm	i'm	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
definition	de-	16	1	NA	NA	0	0
definition	fi-	16	1	NA	NA	0	0
definition	ni-	16	1	NA	NA	0	0
definition	tion	16	1	NA	NA	0	0
of	of	16	1	NA	NA	0	0
tragedy	tra-	16	1	NA	NA	0	0
tragedy	ge-	16	1	NA	NA	0	0
tragedy	dy	16	1	NA	NA	0	0
turned	turned	16	2	1	1	0	0
triumph	tri-	16	1	1	3	0	0
triumph	umph	16	2	1	4	1	1
it's	it's	16	1	NA	NA	0	0
david	da-	16	1	NA	NA	0	0
david	vid	16	1	NA	NA	0	0
and	and	16	1	1	1	0	0
goliath	go-	16	1	1	2	0	0
