word	syllable	quant	duration	rhymeClass	rhymeIndex	lineEnding	breathEnding
i	i	16	1	NA	NA	0	0
walked	walked	16	1	NA	NA	0	0
in	in	16	2	NA	NA	0	0
and	and	16	1	NA	NA	0	0
they	they	16	1	NA	NA	0	0
stared	stared	16	2	NA	NA	0	0
see	see	16	1	NA	NA	0	0
how	how	16	2	NA	NA	0	0
they	they	16	1	NA	NA	0	0
screwin	screw-	16	1	1	1	0	0
screwin	in	16	1	1	2	0	0
me	me	16	2	1	3	1	0
break	break	16	1	NA	NA	0	0
you	you	16	1	NA	NA	0	0
down	down	16	2	NA	NA	0	0
til	til	16	1	NA	NA	0	0
you	you	16	1	NA	NA	0	0
aint	aint	16	2	NA	NA	0	0
the	the	16	1	NA	NA	0	0
man	man	16	2	NA	NA	0	0
you	you	16	1	NA	NA	0	0
used	used	16	1	1	1	0	0
to	to	16	1	1	2	0	0
be	be	16	2	1	3	1	1
domination	do-	16	1	NA	NA	0	0
domination	mi-	16	1	NA	NA	0	0
domination	na-	16	1	NA	NA	0	0
domination	tion	16	1	NA	NA	0	0
of	of	16	1	NA	NA	0	0
my	my	16	1	NA	NA	0	0
jurisdiction	jur-	16	1	NA	NA	0	0
jurisdiction	is-	16	1	NA	NA	0	0
jurisdiction	dic-	16	1	2	1	0	0
jurisdiction	tion	16	2	2	2	0	1
peoples	peop-	16	1	NA	NA	0	0
peoples	les	16	1	NA	NA	0	0
addiction	ad-	16	1	NA	NA	0	0
addiction	dict-	16	1	2	1	0	0
addiction	ion	16	1	2	2	0	0
to	to	16	1	NA	NA	0	0
lies	lies	16	2	4	1	1	0
it	it	16	1	NA	NA	0	0
blurs	blurs	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
lines	lines	16	1	4	1	0	0
between	bet-	16	1	NA	NA	0	0
between	ween	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
fact	fact	16	1	NA	NA	0	0
and	and	16	1	NA	NA	0	0
fiction	fic-	16	1	2	1	0	0
fiction	tion	16	3	2	2	1	1
now	now	16	1	NA	NA	0	0
we	we	16	1	NA	NA	0	0
back	back	16	1	NA	NA	0	0
omission	o-	16	1	NA	NA	0	0
omission	mis-	16	1	2	1	0	0
omission	sion	16	2	2	2	0	1
i	i	16	1	NA	NA	0	0
fix	fix	16	1	NA	NA	0	0
your	your	16	1	NA	NA	0	0
face	face	16	1	5	1	0	0
for	for	16	1	NA	NA	0	0
you	you	16	2	NA	NA	0	0
keep	keep	16	2	NA	NA	0	0
yappin	yap-	16	1	3	1	0	0
yappin	pin	16	2	3	2	1	1
you	you	16	1	NA	NA	0	0
start	start	16	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
hate	hate	16	1	5	1	0	0
the	the	16	1	NA	NA	0	0
man	man	16	1	NA	NA	0	0
in	in	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
mirror	mir-	16	1	NA	NA	0	0
mirror	ror	16	1	NA	NA	0	0
like	like	16	1	NA	NA	0	0
michael	mi-	16	1	NA	NA	0	0
michael	chael	16	1	NA	NA	0	0
jackson	jack-	16	1	3	1	0	0
jackson	son	16	1	3	2	1	1
