word	syllable	quant	duration	rhymeClass	rhymeIndex	lineEnding	breathEnding
lately	late-	16	1	NA	NA	0	0
lately	ly	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
really	real-	16	1	1	1	0	0
really	ly	16	3	1	2	0	1
feel	feel	16	2	NA	NA	0	0
like	like	16	2	NA	NA	0	0
im	im	16	1	NA	NA	0	0
rolling	rol-	16	1	2	1	0	0
rolling	ling	16	1	2	2	0	0
for	for	16	1	NA	NA	0	0
dough	dough	16	2	NA	NA	0	0
like	like	16	2	NA	NA	0	0
philly	phil-	16	1	1	1	0	0
philly	ly	16	2	1	2	1	1
i	i	16	1	NA	NA	0	0
feel	feel	16	1	1	1	0	0
im	im	16	1	1	2	0	0
losing	los-	16	1	NA	NA	0	0
losing	ing	16	1	NA	NA	0	0
control	con-	16	1	2	1	0	0
control	trol	16	1	2	2	0	0
of	of	16	1	NA	NA	0	0
myself	my-	16	1	NA	NA	0	0
myself	self	16	2	NA	NA	0	0
i	i	16	1	NA	NA	0	0
sincerely	sin-	16	1	NA	NA	0	0
sincerely	cere-	16	1	1	1	0	0
sincerely	ly	16	2	1	2	1	1
apologize	a-	16	1	NA	NA	0	0
apologize	po-	16	1	NA	NA	0	0
apologize	lo-	16	1	NA	NA	0	0
apologize	gize	16	2	3	1	0	0
if	if	16	2	NA	NA	0	1
all	all	16	1	NA	NA	0	0
that	that	16	1	NA	NA	0	0
i	i	16	2	NA	NA	0	0
sound	sound	16	1	NA	NA	0	0
like	like	16	2	3	1	0	1
is	is	16	1	NA	NA	0	0
im	im	16	1	NA	NA	0	0
complaining	com-	16	1	4	1	0	0
complaining	plain-	16	1	4	2	0	0
complaining	ing	16	1	4	3	1	0
but	but	16	1	NA	NA	0	0
life	life	16	2	3	1	0	1
keeps	keeps	16	1	NA	NA	0	0
on	on	16	2	NA	NA	0	0
complicating	com-	16	1	NA	NA	0	0
complicating	pli-	16	1	4	1	0	0
complicating	ca-	16	1	4	2	0	0
complicating	ting	16	1	4	3	0	0
an	an	16	2	NA	NA	1	1
im	im	16	1	NA	NA	0	0
debating	de-	16	1	4	1	0	0
debating	ba-	16	1	4	2	0	0
debating	ting	16	1	4	3	0	0
on	on	16	2	NA	NA	0	1
leaving	leav-	16	1	5	1	0	0
leaving	ing	16	1	5	2	0	0
this	this	16	1	NA	NA	0	0
world	world	16	2	NA	NA	0	0
this	this	16	1	NA	NA	0	0
evening	eve-	16	1	5	1	0	0
evening	ning	16	1	5	2	1	0
even	e-	16	1	NA	NA	0	0
even	ven	16	1	NA	NA	0	0
my	my	16	1	NA	NA	0	0
girls	girls	16	2	NA	NA	0	0
can	can	16	1	NA	NA	0	0
see	see	16	1	NA	NA	0	0
im	im	16	1	NA	NA	0	0
grieving	griev-	16	1	5	1	0	0
grieving	ing	16	2	5	2	0	1
i	i	16	1	NA	NA	0	0
try	try	16	1	NA	NA	0	0
and	and	16	1	NA	NA	0	0
hide	hide	16	1	6	1	0	0
it	it	16	1	NA	NA	1	0
but	but	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
cant	cant	16	2	6	1	0	1
why	why	16	1	NA	NA	0	0
do	do	16	1	NA	NA	0	0
i	i	16	1	6	1	0	0
act	act	16	1	NA	NA	0	0
like	like	16	1	NA	NA	0	0
im	im	16	1	NA	NA	0	0
all	all	16	2	NA	NA	0	1
high	high	16	1	6	1	0	0
and	and	16	1	NA	NA	0	0
mighty	migh-	16	1	NA	NA	0	0
mighty	ty	16	1	NA	NA	1	0
when	when	16	1	NA	NA	0	0
inside	in-	16	1	NA	NA	0	0
inside	side	16	1	6	1	0	0
im	im	16	1	NA	NA	0	0
dying	dy-	16	1	6	1	0	0
dying	ing	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
am	am	16	1	NA	NA	0	0
finally	fin-	16	1	6	1	0	0
finally	ly	16	1	NA	NA	0	0
realizing	real-	16	2	NA	NA	0	0
realizing	i-	16	1	6	1	0	0
realizing	zing	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
need	need	16	3	NA	NA	0	1
help	help	16	3	NA	NA	1	1
cant	cant	16	2	NA	NA	0	0
do	do	16	1	NA	NA	0	0
it	it	16	1	NA	NA	0	0
myself	my-	16	1	NA	NA	0	0
myself	self	16	2	NA	NA	0	1
too	too	16	1	7	1	0	0
weak	weak	16	2	7	2	1	1
two	two	16	1	7	1	0	0
weeks	weeks	16	2	7	2	0	0
ive	ive	16	1	NA	NA	0	0
been	been	16	1	NA	NA	0	0
having	hav-	16	1	NA	NA	0	0
having	ing	16	1	NA	NA	0	0
ups	ups	16	1	NA	NA	0	0
and	and	16	1	NA	NA	0	0
downs	downs	16	2	NA	NA	0	0
going	go-	16	1	NA	NA	0	0
going	ing	16	1	NA	NA	0	0
through	through	16	1	7	1	0	0
peaks	peaks	16	2	7	2	0	0
and	and	16	1	NA	NA	0	0
valleys	val-	16	1	8	1	0	0
valleys	leys	16	2	8	2	1	1
dilly	dil-	16	1	NA	NA	0	0
dilly	ly	16	1	NA	NA	0	0
dallying	dal-	16	1	8	1	0	0
dallying	ly-	16	1	8	2	0	0
dallying	ing	16	1	NA	NA	0	0
round	round	16	2	NA	NA	0	0
with	with	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
idea	i-	16	2	9	1	0	0
idea	de-	16	1	9	2	0	0
idea	a	16	1	NA	NA	1	0
of	of	16	1	NA	NA	0	0
ending	end-	16	1	NA	NA	0	0
ending	ing	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
shit	shit	16	2	NA	NA	0	0
right	right	16	2	9	1	0	0
here	here	16	3	9	2	1	1
im	im	16	1	NA	NA	0	0
hating	ha-	16	1	NA	NA	0	0
hating	ting	16	1	NA	NA	0	0
my	my	16	1	NA	NA	0	0
reflection	ref-	16	1	NA	NA	0	0
reflection	lect-	16	1	NA	NA	0	0
reflection	ion	16	2	NA	NA	0	1
i	i	16	1	NA	NA	0	0
walk	walk	16	1	NA	NA	0	0
around	a-	16	1	NA	NA	0	0
around	round	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
house	house	16	2	NA	NA	0	0
trying	try-	24	1	NA	NA	0	0
trying	ing	24	1	NA	NA	0	0
to	to	24	1	NA	NA	0	0
fight	fight	16	2	10	1	0	0
mirrors	mir-	16	1	NA	NA	0	0
mirrors	rors	16	1	NA	NA	1	0
i	i	16	1	NA	NA	0	0
cant	cant	16	2	NA	NA	0	0
stand	stand	16	2	NA	NA	0	0
what	what	32	1	NA	NA	0	0
i	i	32	1	NA	NA	0	0
look	look	16	2	NA	NA	0	0
like	like	16	2	10	1	0	1
yeah	yeah	16	3	NA	NA	0	1
i	i	16	1	NA	NA	0	0
look	look	16	2	NA	NA	0	0
fat	fat	16	1	NA	NA	1	0
but	but	16	1	NA	NA	0	0
what	what	16	1	NA	NA	0	0
do	do	16	1	NA	NA	0	0
i	i	16	2	NA	NA	0	0
care	care	16	2	11	1	0	1
i	i	16	1	NA	NA	0	0
give	give	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
fuck	fuck	16	2	NA	NA	1	1
only	on-	16	1	NA	NA	0	0
only	ly	16	1	NA	NA	0	0
thing	thing	16	1	NA	NA	0	0
i	i	16	2	NA	NA	0	0
fear	fear	16	1	11	1	0	0
is	is	16	1	NA	NA	0	0
hailie	hail-	16	1	NA	NA	0	0
hailie	ie	16	1	NA	NA	0	0
im	im	16	1	NA	NA	0	0
afraid	a-	16	1	NA	NA	0	0
afraid	fraid	16	1	NA	NA	0	0
if	if	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
close	close	16	1	NA	NA	0	0
my	my	16	1	NA	NA	0	0
eyes	eyes	8	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
might	might	8	1	NA	NA	0	0
see	see	16	1	NA	NA	0	0
her	her	3	1	11	1	0	1
shit	shit	16	1	NA	NA	1	1
