word	syllable	quant	duration	rhymeClass	rhymeIndex	lineEnding	breathEnding
once	once	16	1	NA	NA	0	0
upon	u-	16	1	NA	NA	0	0
upon	pon	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
time	time	16	2	NA	NA	0	0
not	not	16	2	NA	NA	0	0
long	long	16	2	NA	NA	0	0
ago	a-	16	1	NA	NA	0	0
ago	go	16	4	1	1	1	1
when	when	16	1	NA	NA	0	0
people	peo-	16	1	NA	NA	0	0
people	ple	16	1	NA	NA	0	0
wore	wore	16	1	NA	NA	0	0
pajamas	pa-	16	1	NA	NA	0	0
pajamas	ja-	16	1	NA	NA	0	0
pajamas	mas	16	1	NA	NA	0	0
and	and	16	1	NA	NA	0	0
lived	lived	16	2	NA	NA	0	0
life	life	16	2	NA	NA	0	0
slow	slow	16	4	1	1	1	1
when	when	16	1	NA	NA	0	0
laws	laws	16	2	NA	NA	0	0
were	were	16	1	NA	NA	0	0
stern	stern	16	3	NA	NA	0	0
and	and	16	2	NA	NA	0	0
justice	jus-	16	2	NA	NA	0	0
justice	tice	16	2	NA	NA	0	0
stood	stood	16	3	2	1	1	1
and	and	16	1	NA	NA	0	0
people	peo-	16	1	NA	NA	0	0
people	ple	16	1	NA	NA	0	0
were	were	16	1	NA	NA	0	0
behaving	be-	16	1	NA	NA	0	0
behaving	ha-	16	1	NA	NA	0	0
behaving	vin'	16	1	NA	NA	0	0
like	like	16	1	NA	NA	0	0
they	they	16	1	NA	NA	0	0
ought	ought	16	2	NA	NA	0	0
ta	ta	16	1	NA	NA	0	0
good	good	16	4	2	1	1	1
there	there	16	1	NA	NA	0	0
lived	lived	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
lil'	li-	16	1	NA	NA	0	0
lil'	l'	16	1	NA	NA	0	0
boy	boy	16	2	NA	NA	0	0
who	who	16	1	NA	NA	0	0
was	was	16	2	NA	NA	0	0
misled	mis-	16	2	NA	NA	0	0
misled	led	16	3	3	1	1	1
by	by	16	1	NA	NA	0	0
another	a-	16	1	NA	NA	0	0
another	no-	16	1	NA	NA	0	0
another	ther	16	1	NA	NA	0	0
lil'	li-	16	1	NA	NA	0	0
lil'	l'	16	1	NA	NA	0	0
boy	boy	16	1	NA	NA	0	0
and	and	16	1	NA	NA	0	0
this	this	16	1	NA	NA	0	0
is	is	16	1	NA	NA	0	0
what	what	16	1	NA	NA	0	0
he	he	16	2	NA	NA	0	0
said	said	16	5	3	1	1	1
me	me	16	1	NA	NA	0	0
and	and	16	1	NA	NA	0	0
you	you	16	2	NA	NA	0	0
ty	ty	16	1	NA	NA	0	0
we	we	16	1	NA	NA	0	0
gonna	gon-	16	1	NA	NA	0	0
gonna	na	16	1	NA	NA	0	0
make	make	16	2	NA	NA	0	0
some	some	16	1	NA	NA	0	0
cash	cash	16	5	4	1	1	0
robbing	rob-	16	1	NA	NA	0	0
robbing	bin'	16	1	NA	NA	0	0
old	old	16	2	NA	NA	0	0
folks	folks	16	2	NA	NA	0	0
and	and	16	2	NA	NA	0	0
making	ma-	16	1	NA	NA	0	0
making	kin'	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
dash	dash	16	6	4	1	1	1
they	they	16	1	NA	NA	0	0
did	did	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
job	job	16	4	NA	NA	0	1
money	mon-	16	1	NA	NA	0	0
money	ey	16	1	NA	NA	0	0
came	came	16	1	NA	NA	0	0
with	with	16	1	NA	NA	0	0
ease	ease	16	3	5	1	1	1
but	but	16	1	NA	NA	0	0
one	one	16	2	NA	NA	0	0
couldn't	could-	16	1	NA	NA	0	0
couldn't	n't	16	1	NA	NA	0	0
stop	stop	16	1	NA	NA	0	0
it's	it's	16	1	NA	NA	0	0
like	like	16	1	NA	NA	0	0
he	he	16	1	NA	NA	0	0
had	had	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
disease	di-	16	1	NA	NA	0	0
disease	sease	16	2	5	1	1	1
he	he	16	1	NA	NA	0	0
robbed	robbed	16	1	NA	NA	0	0
another	a-	16	1	NA	NA	0	0
another	no-	16	1	6	1	0	0
another	ther	16	1	NA	NA	0	0
and	and	16	1	NA	NA	0	0
another	a-	16	1	NA	NA	0	0
another	no-	16	1	6	1	0	0
another	ther	16	1	NA	NA	0	0
and	and	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
sista	sis-	16	1	NA	NA	0	0
sista	ta	16	1	NA	NA	0	0
and	and	16	1	NA	NA	0	0
her	her	16	1	NA	NA	0	0
brotha	bro-	16	1	6	1	0	0
brotha	tha	16	3	NA	NA	1	1
tried	tried	16	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
rob	rob	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
man	man	16	1	NA	NA	0	0
who	who	16	1	NA	NA	0	0
was	was	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
d	d	16	1	NA	NA	0	0
t	t	16	1	NA	NA	0	0
undercover	un-	16	1	NA	NA	0	0
undercover	der-	16	1	NA	NA	0	0
undercover	cov-	16	1	6	1	0	0
undercover	er	16	2	NA	NA	1	1
the	the	16	1	NA	NA	0	0
cop	cop	16	2	NA	NA	0	0
grabbed	grabbed	16	1	NA	NA	0	0
his	his	16	1	NA	NA	0	0
arm	arm	16	1	NA	NA	0	0
he	he	16	1	NA	NA	0	0
started	star-	16	1	NA	NA	0	0
started	ted	16	1	NA	NA	0	0
acting	act-	16	1	NA	NA	0	0
acting	ing	16	1	NA	NA	0	0
erratic	er-	16	2	NA	NA	0	0
erratic	ra-	16	1	7	1	0	0
erratic	tic	16	1	7	2	1	0
he	he	16	2	NA	NA	0	0
said	said	16	2	NA	NA	0	0
keep	keep	16	2	NA	NA	0	0
still	still	16	2	NA	NA	0	0
boy	boy	16	2	NA	NA	0	0
no	no	16	1	NA	NA	0	0
need	need	16	2	NA	NA	0	0
for	for	16	1	NA	NA	0	0
static	sta-	16	1	7	1	0	0
static	tic	16	3	7	2	1	1
punched	punched	16	1	NA	NA	0	0
him	him	16	1	NA	NA	0	0
in	in	16	1	NA	NA	0	0
his	his	16	1	NA	NA	0	0
belly	bell-	16	1	NA	NA	0	0
belly	y	16	1	NA	NA	0	0
and	and	16	1	NA	NA	0	0
he	he	16	1	NA	NA	0	0
gave	gave	16	1	NA	NA	0	0
him	him	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
slap	slap	16	4	8	1	1	1
but	but	16	1	NA	NA	0	0
little	lit-	16	1	NA	NA	0	0
little	tle	16	1	NA	NA	0	0
did	did	16	1	NA	NA	0	0
he	he	16	1	NA	NA	0	0
know	know	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
lil'	li-	16	1	NA	NA	0	0
lil'	l'	16	1	NA	NA	0	0
boy	boy	16	2	NA	NA	0	0
was	was	16	1	NA	NA	0	0
strapped	strapped	16	4	8	1	1	1
the	the	16	1	NA	NA	0	0
kid	kid	16	1	NA	NA	0	0
pulled	pulled	16	1	NA	NA	0	0
out	out	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
gun	gun	16	1	NA	NA	0	0
he	he	16	1	NA	NA	0	0
said	said	16	2	NA	NA	0	0
why	why	16	2	NA	NA	0	0
did	did	16	1	NA	NA	0	0
ya	ya	16	1	NA	NA	0	0
hit	hit	16	1	9	1	0	0
me	me	16	2	9	2	1	1
the	the	16	1	NA	NA	0	0
barrel	bar-	24	1	NA	NA	0	0
barrel	rel	24	1	NA	NA	0	0
was	was	24	1	NA	NA	0	0
set	set	16	2	NA	NA	0	0
straight	straight	16	1	NA	NA	0	0
for	for	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
cop's	cop's	16	2	NA	NA	0	0
kidney	kid-	16	1	9	1	0	0
kidney	ney	16	4	9	2	1	1
the	the	16	2	NA	NA	0	0
cop	cop	16	2	NA	NA	0	0
got	got	16	2	NA	NA	0	0
scared	scared	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
kid	kid	16	1	NA	NA	0	0
he	he	16	1	NA	NA	0	0
starts	starts	16	2	NA	NA	0	0
to	to	16	2	NA	NA	0	0
figure	fi-	16	1	10	1	0	0
figure	gure	16	3	10	2	1	1
