word	syllable	quant	duration	rhymeClass	rhymeIndex	lineEnding	breathEnding
i	i	16	1	NA	NA	0	0
had	had	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
queen	queen	8	1	NA	NA	0	0
named	named	16	1	NA	NA	0	0
amina	am-	16	1	NA	NA	0	0
amina	i-	16	1	NA	NA	0	0
amina	na	16	3	NA	NA	0	1
height	height	8	1	NA	NA	0	0
five	five	8	1	NA	NA	0	0
seven	se-	16	1	1	1	0	0
seven	ven	16	3	1	2	1	1
caramel	ca-	16	1	NA	NA	0	0
caramel	ra-	16	1	NA	NA	0	0
caramel	mel	16	1	NA	NA	0	0
complected	comp-	16	1	NA	NA	0	0
complected	lec-	16	1	1	1	0	0
complected	ted	16	3	1	2	0	1
body	bo-	16	1	NA	NA	0	0
body	dy	16	1	NA	NA	0	0
like	like	8	1	NA	NA	0	0
heaven	hea-	16	1	1	1	0	0
heaven	ven	16	3	1	2	1	1
met	met	16	1	NA	NA	0	0
her	her	16	1	NA	NA	0	0
through	through	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
sister	sis-	16	1	NA	NA	0	0
sister	ter	16	1	NA	NA	0	0
of	of	16	1	NA	NA	0	0
my	my	16	1	NA	NA	0	0
man	man	16	1	NA	NA	0	0
big	big	8	1	NA	NA	0	0
vince	vince	16	3	2	1	1	1
like	like	16	1	NA	NA	0	0
something	some-	16	1	NA	NA	0	0
something	thing	16	1	NA	NA	0	0
from	from	16	1	NA	NA	0	0
out	out	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
flicks	flicks	16	1	NA	NA	0	0
we	we	16	1	NA	NA	0	0
been	been	16	1	NA	NA	0	0
in	in	16	1	NA	NA	0	0
love	love	16	1	NA	NA	0	0
ever	e-	16	1	NA	NA	0	0
ever	ver	16	1	NA	NA	0	0
since	since	16	3	2	1	1	1
she	she	16	1	NA	NA	0	0
called	called	16	1	NA	NA	0	0
me	me	16	1	NA	NA	0	0
her	her	16	1	NA	NA	0	0
chocolate	choco-	16	1	NA	NA	0	0
chocolate	late	16	1	NA	NA	0	0
brother	bro-	16	1	NA	NA	0	0
brother	ther	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
call	call	16	1	NA	NA	0	0
her	her	16	1	NA	NA	0	0
my	my	16	1	NA	NA	0	0
sugar	su-	16	1	NA	NA	0	0
sugar	gar	16	1	NA	NA	0	0
sister	sis-	16	1	3	1	0	0
sister	ter	16	3	3	2	1	1
knew	knew	16	1	NA	NA	0	0
shorty	shor-	16	1	NA	NA	0	0
shorty	ty	16	1	NA	NA	0	0
could	could	16	1	NA	NA	0	0
work	work	16	1	NA	NA	0	0
it	it	16	1	NA	NA	0	0
since	since	16	1	NA	NA	0	0
before	be-	16	1	NA	NA	0	0
before	fore	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
ever	e-	16	1	NA	NA	0	0
ever	ver	16	1	NA	NA	0	0
kissed	kissed	16	1	3	1	0	0
her	her	8	1	3	2	1	1
i	i	16	1	NA	NA	0	0
never	ne-	16	1	NA	NA	0	0
never	ver	16	1	NA	NA	0	0
dissed	dissed	16	1	3	1	0	0
her	her	8	1	3	2	0	1
painted	paint-	16	1	NA	NA	0	0
painted	ed	16	1	NA	NA	0	0
my	my	16	1	NA	NA	0	0
picture	pic-	16	1	4	1	0	0
picture	ture	16	1	4	2	0	0
to	to	16	1	4	3	0	0
hit	hit	8	1	4	4	1	1
but	but	16	1	NA	NA	0	0
because	be-	16	1	NA	NA	0	0
because	cause	16	1	NA	NA	0	0
sex	sex	16	1	NA	NA	0	0
she	she	16	1	NA	NA	0	0
wasn't	was-	16	1	NA	NA	0	0
wasn't	n't	16	1	NA	NA	0	0
with	with	16	1	NA	NA	0	0
she	she	16	1	NA	NA	0	0
started	star-	16	1	NA	NA	0	0
started	ted	16	1	NA	NA	0	0
flipping	flip-	16	1	4	1	0	0
flipping	ping	16	1	4	2	0	0
the	the	16	1	4	3	0	0
script	script	8	1	4	4	1	1
like	like	16	1	NA	NA	0	0
listen	list-	16	1	NA	NA	0	0
listen	en	16	1	NA	NA	0	0
man	man	16	1	NA	NA	0	0
i'm	i'm	16	1	NA	NA	0	0
queen	queen	16	1	NA	NA	0	0
amina	am-	16	1	NA	NA	0	0
amina	i-	16	1	NA	NA	0	0
amina	na	8	1	NA	NA	0	1
amina's	a-	16	1	NA	NA	0	0
amina's	mi-	16	1	NA	NA	0	0
amina's	na's	16	1	NA	NA	0	0
not	not	16	1	NA	NA	0	0
no	no	16	1	NA	NA	0	0
freak	freak	16	1	5	1	0	0
and	and	8	1	5	2	1	1
that	that	16	1	NA	NA	0	0
game	game	16	1	NA	NA	0	0
is	is	16	1	NA	NA	0	0
weak	weak	16	1	NA	NA	0	0
and	and	8	1	NA	NA	0	1
keep	keep	16	1	NA	NA	0	0
trying	try-	24	1	NA	NA	0	0
trying	ing	24	1	NA	NA	0	0
to	to	24	1	NA	NA	0	0
hit	hit	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
could	could	16	1	NA	NA	0	0
quit	quit	16	1	NA	NA	0	0
speaking	speak-	16	1	5	1	0	0
speaking	ing	16	1	5	2	1	0
tariq	ta-	16	1	NA	NA	0	0
tariq	riq	16	1	5	1	0	0
in	in	16	1	5	2	0	0
fact	fact	8	1	NA	NA	0	1
you	you	16	1	NA	NA	0	0
being	be-	16	1	NA	NA	0	0
being	ing	16	1	NA	NA	0	0
black	black	16	1	NA	NA	0	0
thought	thought	8	1	NA	NA	0	1
don't	don't	16	1	NA	NA	0	0
get	get	16	1	NA	NA	0	0
you	you	16	1	NA	NA	0	0
closer	clo-	16	1	6	1	0	0
closer	ser	8	1	6	2	1	1
i	i	16	1	NA	NA	0	0
dig	dig	16	1	NA	NA	0	0
ya	ya	16	1	NA	NA	0	0
but	but	16	1	NA	NA	0	0
won't	won't	16	1	NA	NA	0	0
