word	syllable	quant	duration	rhymeClass	rhymeIndex	lineEnding	breathEnding
it's	it's	16	1	NA	NA	0	0
not	not	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
game	game	16	1	1	1	0	0
i'm	i'm	16	1	NA	NA	0	0
from	from	16	1	NA	NA	0	0
philly	phil-	16	1	2	1	0	0
philly	ly	16	1	2	2	1	0
go	go	16	1	NA	NA	0	0
by	by	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
name	name	16	2	1	1	0	1
p	p	16	2	NA	NA	0	0
prizzy	priz-	16	1	3	1	0	0
prizzy	zy	16	1	3	2	0	0
mac	mac	16	2	NA	NA	0	0
milly	mil-	16	1	2	1	0	0
milly	ly	16	1	2	2	1	0
used	used	16	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
be	be	16	1	NA	NA	0	0
with	with	16	1	NA	NA	0	1
young	young	16	2	NA	NA	0	0
crizzy	criz-	16	1	3	1	0	0
crizzy	zy	16	1	3	2	0	0
in	in	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
back	back	16	1	NA	NA	0	0
rolling	rol-	16	1	NA	NA	0	0
rolling	ling	16	1	NA	NA	0	0
on	on	16	1	NA	NA	0	1
twigs	twigs	16	2	NA	NA	1	0
people	peo-	16	1	NA	NA	0	0
people	ple	16	1	NA	NA	0	0
wanna	wan-	16	1	NA	NA	0	0
wanna	na	16	1	NA	NA	0	0
know	know	16	1	NA	NA	0	0
who	who	16	1	NA	NA	0	0
run	run	16	1	NA	NA	0	0
with	with	16	1	NA	NA	0	0
me	me	16	1	NA	NA	0	0
nobody	no-	16	1	NA	NA	0	0
nobody	bo-	16	1	NA	NA	0	0
nobody	dy	16	1	NA	NA	0	0
but	but	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
bang	bang	16	3	NA	NA	0	1
bang	bang	16	2	NA	NA	1	0
streets	streets	16	1	NA	NA	0	0
will	will	16	1	NA	NA	0	0
forgive	for-	16	1	NA	NA	0	0
forgive	give	16	1	3	1	0	0
me	me	16	1	3	2	0	0
street	street	16	1	NA	NA	0	0
vocals	vo-	16	1	NA	NA	0	0
vocals	cals	16	1	NA	NA	0	0
searching	search-	16	1	NA	NA	0	0
searching	ing	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
city	ci-	16	1	NA	NA	0	0
city	ty	16	1	NA	NA	0	1
sing	sing	16	4	4	1	1	0
peedi	peed-	16	1	NA	NA	0	0
peedi	i	16	1	NA	NA	0	0
peedi	peed-	16	1	NA	NA	0	0
peedi	i	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
heard	heard	16	1	NA	NA	0	0
that	that	16	1	NA	NA	0	0
they	they	16	1	NA	NA	0	0
got	got	16	1	NA	NA	0	0
your	your	16	1	NA	NA	0	0
number	num-	16	1	5	1	0	0
number	ber	16	1	5	2	1	0
alias	a-	16	1	NA	NA	0	0
alias	li-	16	1	NA	NA	0	0
alias	as	16	1	NA	NA	0	0
you've	you've	16	1	NA	NA	0	0
been	been	16	1	NA	NA	0	0
living	liv-	16	1	NA	NA	0	0
living	ing	16	1	NA	NA	0	0
under	un-	16	1	5	1	0	0
under	der	16	1	5	2	0	0
the	the	16	1	NA	NA	0	0
mack	mack	16	2	NA	NA	0	0
goes	goes	16	4	NA	NA	0	1
thring	thring	16	4	4	1	1	0
peedi	peed-	16	1	NA	NA	0	0
peedi	i	16	1	NA	NA	0	0
peedi	peed-	16	1	NA	NA	0	0
peedi	i	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
heard	heard	16	1	NA	NA	0	0
that	that	16	1	NA	NA	0	0
they	they	16	1	NA	NA	0	0
watch	watch	16	1	NA	NA	0	0
your	your	16	1	NA	NA	0	0
mother	mo-	16	1	5	1	0	0
mother	ther	16	1	5	2	1	0
got	got	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
hit	hit	16	1	NA	NA	0	0
