word	syllable	quant	duration	rhymeClass	rhymeIndex	lineEnding	breathEnding
i	i	16	1	NA	NA	0	0
drew	drew	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
two	two	16	1	NA	NA	0	0
of	of	16	1	NA	NA	0	0
hearts	hearts	16	2	NA	NA	0	0
from	from	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
deck	deck	16	1	1	1	0	0
of	of	16	1	1	2	0	0
cards	cards	16	5	1	3	1	1
a	a	16	1	NA	NA	0	0
stock	stock	16	2	NA	NA	0	0
trick	trick	16	2	NA	NA	0	0
from	from	16	1	NA	NA	0	0
my	my	16	1	NA	NA	0	0
empty	emp-	16	1	NA	NA	0	0
empty	ty	16	1	NA	NA	0	0
repertoire	re-	16	1	1	1	0	0
repertoire	per-	16	1	1	2	0	0
repertoire	toire	16	5	1	3	1	1
another	a-	16	1	NA	NA	0	0
another	no-	16	1	NA	NA	0	0
another	ther	16	1	NA	NA	0	0
hopeless	hope-	16	1	NA	NA	0	0
hopeless	less	16	1	NA	NA	0	0
story	sto-	16	1	NA	NA	0	0
story	ry	16	1	NA	NA	0	0
never	ne-	16	1	NA	NA	0	0
never	ver	16	1	NA	NA	0	0
read	read	16	1	1	1	0	0
at	at	16	1	1	2	0	0
all	all	16	1	1	3	1	0
i'm	i'm	16	1	NA	NA	0	0
better	bet-	16	1	1	1	0	0
better	ter	16	1	1	2	0	0
off	off	16	2	1	3	0	0
looking	look-	16	1	NA	NA	0	0
looking	ing	16	1	NA	NA	0	0
for	for	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
end	end	16	2	NA	NA	0	1
where	where	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
credits	cred-	16	1	1	1	0	0
credits	its	16	1	1	2	0	0
are	are	16	3	1	3	1	1
it's	it's	16	1	NA	NA	0	0
pain	pain	16	2	NA	NA	0	0
living	liv-	16	1	NA	NA	0	0
living	ing	16	1	NA	NA	0	0
life	life	16	1	NA	NA	0	0
against	a-	16	1	NA	NA	0	0
against	gainst	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
grain	grain	16	3	2	1	1	1
i'm	i'm	16	1	NA	NA	0	0
looking	look-	16	1	NA	NA	0	0
looking	ing	16	1	NA	NA	0	0
back	back	16	2	NA	NA	0	0
and	and	16	1	NA	NA	0	0
y'all	y'all	16	1	NA	NA	0	0
look	look	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
same	same	16	4	2	1	1	1
troy	troy	16	2	NA	NA	0	0
mark	mark	16	1	NA	NA	0	0
and	and	16	1	NA	NA	0	0
little	lit-	16	1	NA	NA	0	0
little	tle	16	1	NA	NA	0	0
what's	what's	16	1	NA	NA	0	0
his	his	16	1	NA	NA	0	0
name	name	16	4	2	1	1	1
memory	mem-	16	1	NA	NA	0	0
memory	o-	16	1	NA	NA	0	0
memory	ry	16	1	NA	NA	0	0
is	is	16	1	NA	NA	0	0
rerunning	re-	16	1	NA	NA	0	0
rerunning	run-	16	1	3	1	0	0
rerunning	ning	16	1	3	2	0	0
it	it	16	1	3	3	0	0
all	all	16	3	3	4	1	1
it's	it's	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
flight	flight	16	1	3	1	0	0
of	of	16	1	3	2	0	0
my	my	16	1	3	3	0	0
fall	fall	16	3	3	4	0	1
and	and	16	1	NA	NA	0	0
it's	it's	16	1	NA	NA	0	0
right	right	16	1	3	1	0	0
on	on	16	1	3	2	0	0
the	the	16	1	3	3	0	0
wall	wall	16	1	3	4	1	1
