word	syllable	quant	duration	rhymeClass	rhymeIndex	lineEnding	breathEnding
clap	clap	16	2	NA	NA	0	0
something	some-	16	1	NA	NA	0	0
something	thing	16	1	NA	NA	0	0
but	but	16	1	NA	NA	0	0
whatever	what-	16	1	NA	NA	0	0
whatever	ev-	16	1	1	1	0	0
whatever	er	16	1	1	2	0	0
you	you	16	1	1	3	0	0
clap	clap	16	3	1	4	1	1
clap	clap	16	2	NA	NA	0	0
to	to	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
record	re-	16	1	NA	NA	0	0
record	cord	16	1	NA	NA	0	0
spinning	spin-	16	1	NA	NA	0	0
spinning	ning	16	1	NA	NA	0	0
while	while	16	1	NA	NA	0	0
i'm	i'm	16	1	NA	NA	0	0
taking	tak-	16	1	1	1	0	0
taking	ing	16	1	1	2	0	0
you	you	16	1	1	3	0	0
back	back	16	3	1	4	1	1
to	to	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
top	top	16	2	NA	NA	0	0
paper	pa-	16	1	NA	NA	0	0
paper	per	16	1	NA	NA	0	0
era	e-	16	1	NA	NA	0	0
era	ra	16	1	NA	NA	0	0
baby	ba-	16	1	NA	NA	0	0
baby	by	16	1	NA	NA	0	0
dig	dig	16	1	1	1	0	0
on	on	16	2	1	2	0	0
that	that	16	2	1	4	1	1
picture	pic-	16	1	NA	NA	0	0
picture	ture	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
pool	pool	16	2	NA	NA	0	0
room	room	16	2	NA	NA	0	0
where	where	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
money	mo-	16	1	NA	NA	0	0
money	ney	16	1	NA	NA	0	0
getters	get-	16	1	1	1	0	0
getters	ters	16	1	1	2	0	0
was	was	16	1	1	3	0	0
at	at	16	2	1	4	1	1
and	and	16	1	NA	NA	0	0
street	street	16	2	NA	NA	0	0
people	peo-	16	1	2	3	0	0
people	ple	16	1	2	4	0	0
with	with	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
feathers	fea-	16	1	1	1	0	0
feathers	thers	16	1	NA	NA	0	0
in	in	16	1	1	2	0	0
the	the	16	1	1	3	0	0
cap	cap	16	1	1	4	0	0
of	of	16	1	NA	NA	0	0
their	their	16	1	NA	NA	0	0
borsalino	bor-	16	2	2	1	0	0
borsalino	sa-	16	1	2	2	0	0
borsalino	li-	16	1	2	3	0	0
borsalino	no	16	3	2	4	1	1
pulling	pul-	16	1	NA	NA	0	0
pulling	ling	16	1	NA	NA	0	0
paper	pa-	16	1	NA	NA	0	0
paper	per	16	1	NA	NA	0	0
in	in	16	1	NA	NA	0	0
as	as	16	1	NA	NA	0	0
if	if	16	1	NA	NA	0	0
it's	it's	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
small	small	16	2	2	1	0	0
casino	ca-	16	1	2	2	0	0
casino	si-	16	1	2	3	0	0
casino	no	16	2	2	4	1	1
i	i	16	1	NA	NA	0	0
was	was	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
young	young	16	2	NA	NA	0	0
boy	boy	16	2	NA	NA	0	0
sweeping	sweep-	16	1	3	1	0	0
sweeping	ing	16	1	3	2	0	0
the	the	16	1	3	3	0	0
floors	floors	16	2	3	4	1	0
and	and	16	1	NA	NA	0	0
runnin	run-	16	1	3	1	0	0
runnin	nin	16	1	3	2	0	0
to	to	16	1	3	3	0	0
stores	stores	16	2	3	4	1	1
but	but	16	1	NA	NA	0	0
all	all	16	1	NA	NA	0	0
those	those	16	1	NA	NA	0	0
old	old	16	2	NA	NA	0	0
heads	heads	16	2	NA	NA	0	0
would	would	16	1	NA	NA	0	0
talk	talk	16	2	2	1	0	0
to	to	16	1	2	2	0	0
me	me	16	1	2	3	0	0
though	though	16	2	2	4	1	1
about	a-	16	1	NA	NA	0	0
about	bout	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
way	way	16	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
clutch	clutch	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
eagle	ea-	16	1	NA	NA	0	0
eagle	gle	16	1	NA	NA	0	0
on	on	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
buck	buck	16	2	4	1	0	0
and	and	16	1	4	2	0	0
tuck	tuck	16	2	4	3	1	1
and	and	16	1	NA	NA	0	0
if	if	16	1	NA	NA	0	0
i'm	i'm	16	1	NA	NA	0	0
down	down	16	2	NA	NA	0	0
how	how	16	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
get	get	16	1	4	1	0	0
back	back	16	2	4	2	0	0
up	up	16	2	4	3	1	1
just	just	16	1	NA	NA	0	0
survival	sur-	16	1	NA	NA	0	0
survival	vi-	16	2	5	1	0	0
survival	val	16	1	5	2	0	0
kid	kid	16	3	5	3	0	1
and	and	16	1	NA	NA	0	0
it's	it's	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
struggle	strug-	16	1	NA	NA	0	0
struggle	gle	16	1	NA	NA	0	0
worldwide	world-	16	2	NA	NA	0	0
worldwide	wide	16	2	NA	NA	0	0
i'm	i'm	16	1	NA	NA	0	0
positive	pos-	16	2	5	1	0	0
positive	i-	16	1	5	2	0	0
positive	tive	16	3	5	3	1	1
shit	shit	16	2	NA	NA	0	0
the	the	16	1	NA	NA	0	0
ghetto	ghet-	16	1	NA	NA	0	0
ghetto	to	16	1	NA	NA	0	0
might	might	16	1	NA	NA	0	0
as	as	16	1	NA	NA	0	0
well	well	16	1	NA	NA	0	0
be	be	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
gaza	ga-	16	2	5	1	0	0
gaza	za	16	1	5	2	0	0
strip	strip	16	3	5	3	1	1
you	you	16	1	NA	NA	0	0
know	know	16	1	NA	NA	0	0
where	where	16	1	NA	NA	0	0
all	all	16	2	NA	NA	0	0
the	the	16	1	NA	NA	0	0
monsters	mon-	16	2	5	1	0	0
monsters	sters	16	1	5	2	0	0
is	is	16	4	5	3	1	1
street	street	16	2	NA	NA	0	0
walkers	wal-	16	1	NA	NA	0	0
walkers	kers	16	1	NA	NA	0	0
you	you	16	1	NA	NA	0	0
don't	don't	16	1	NA	NA	0	0
see	see	16	1	NA	NA	0	0
no	no	16	2	NA	NA	0	0
consciousness	cons-	16	2	5	1	0	0
consciousness	cious-	16	1	5	2	0	0
consciousness	ness	16	3	5	3	1	1
i'm	i'm	16	1	NA	NA	0	0
coming	com-	16	1	NA	NA	0	0
coming	ing	16	1	NA	NA	0	0
back	back	16	1	NA	NA	0	0
