word	syllable	quant	duration	rhymeClass	rhymeIndex	lineEnding	breathEnding
i'm	i'm	16	1	NA	NA	0	0
from	from	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
year	year	8	1	NA	NA	0	0
round	round	8	1	NA	NA	0	0
shootouts	shoot-	16	1	1	1	0	0
shootouts	outs	8	1	1	2	0	0
to	to	16	1	NA	NA	0	0
summertime	sum-	16	1	NA	NA	0	0
summertime	mer-	16	1	NA	NA	0	0
summertime	time	8	1	NA	NA	0	0
cookout	cook-	16	1	1	1	0	0
cookout	out	8	1	1	2	1	1
the	the	16	1	NA	NA	0	0
wintertime	win-	16	1	NA	NA	0	0
wintertime	ter-	16	1	NA	NA	0	0
wintertime	time	8	1	NA	NA	0	0
grind	grind	8	1	NA	NA	0	0
with	with	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
shorties	short-	16	1	NA	NA	0	0
shorties	ies	16	1	NA	NA	0	0
on	on	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
lookout	look-	16	1	1	1	0	0
lookout	out	8	1	1	2	1	1
a	a	16	1	NA	NA	0	0
chosen	cho-	16	1	NA	NA	0	0
chosen	sen	16	1	NA	NA	0	0
few	few	16	1	NA	NA	0	0
know	know	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
rule	rule	8	1	NA	NA	0	1
the	the	16	1	NA	NA	0	0
rest	rest	8	1	NA	NA	0	0
threw	threw	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
book	book	16	1	1	1	0	0
out	out	8	1	1	2	1	1
the	the	16	1	NA	NA	0	0
law	law	8	1	NA	NA	0	0
stay	stay	16	1	NA	NA	0	0
on	on	8	1	NA	NA	0	0
crews	crews	8	1	NA	NA	0	0
thirsty	thir-	8	1	NA	NA	0	0
thirsty	sty	16	1	NA	NA	0	0
with	with	16	1	NA	NA	0	0
they	they	16	1	NA	NA	0	0
hook	hook	16	1	1	1	0	0
out	out	8	1	1	2	1	1
that	that	16	1	NA	NA	0	0
old	old	8	1	NA	NA	0	0
school	school	8	1	NA	NA	0	0
bang	bang	16	1	2	1	0	0
out	out	8	1	2	2	0	1
money	mon-	16	1	NA	NA	0	0
money	ey	16	1	NA	NA	0	0
that	that	16	1	NA	NA	0	0
pulled	pulled	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
thang	thang	16	1	2	1	0	0
out	out	8	1	2	2	1	1
they	they	16	1	NA	NA	0	0
bit	bit	16	1	3	1	0	0
him	him	16	1	3	2	0	0
and	and	16	1	NA	NA	0	0
hit	hit	16	1	3	1	0	0
him	him	16	1	3	2	0	0
with	with	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
few	few	8	1	NA	NA	0	1
he	he	16	1	NA	NA	0	0
just	just	8	1	NA	NA	0	0
came	came	16	1	2	1	0	0
out	out	8	1	2	2	1	1
with	with	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
