word	syllable	quant	duration	rhymeClass	rhymeIndex	lineEnding	breathEnding
i'm	i'm	16	1	NA	NA	0	0
from	from	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
side	side	16	1	NA	NA	0	0
of	of	16	1	NA	NA	0	0
town	town	8	1	1	3	0	0
where	where	16	1	NA	NA	0	0
shots	shots	8	1	NA	NA	0	0
get	get	16	1	NA	NA	0	0
sprayed	sprayed	16	1	1	1	0	0
around	a-	16	1	1	2	0	0
around	round	8	1	1	3	1	0
so	so	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
expectancy	ex-	8	1	NA	NA	0	0
expectancy	pect-	16	1	NA	NA	0	0
expectancy	an-	16	1	NA	NA	0	0
expectancy	cy	16	1	NA	NA	0	0
rate	rate	8	1	NA	NA	0	1
be	be	16	1	NA	NA	0	0
twenty	twen-	16	1	NA	NA	0	0
twenty	ty	16	1	NA	NA	0	0
eight	eight	16	1	1	1	0	0
around	a-	16	1	1	2	0	0
around	round	8	1	1	3	1	0
downtown	down-	8	1	NA	NA	0	0
downtown	town	8	1	1	3	0	1
battleground	bat-	16	1	NA	NA	0	0
battleground	tle-	16	1	NA	NA	0	0
battleground	ground	8	1	1	3	0	0
where	where	16	1	NA	NA	0	0
cops	cops	8	1	NA	NA	0	1
parade	pa-	16	1	NA	NA	0	0
parade	rade	16	1	1	1	0	0
around	a-	16	1	1	2	0	0
around	round	8	1	1	3	1	0
have	have	16	1	NA	NA	0	0
your	your	16	1	NA	NA	0	0
whole	whole	8	1	NA	NA	0	0
view	view	16	1	NA	NA	0	0
of	of	8	1	NA	NA	0	0
life	life	8	1	NA	NA	0	1
beyond	be-	16	1	NA	NA	0	0
beyond	yond	8	1	NA	NA	0	0
jaded	ja-	16	1	1	1	0	0
jaded	ded	16	1	1	2	1	0
how	how	8	1	1	3	0	1
everybody	eve-	16	1	NA	NA	0	0
everybody	ry-	16	1	NA	NA	0	0
everybody	bo-	16	1	NA	NA	0	0
everybody	dy	16	1	NA	NA	0	0
sick	sick	16	1	NA	NA	0	0
of	of	16	1	NA	NA	0	0
breaking	break-	16	1	1	1	0	0
breaking	ing	16	1	1	2	0	0
down	down	8	1	1	3	0	0
tryin'	try-	24	1	NA	NA	0	0
tryin'	in'	24	1	NA	NA	0	0
a	a	24	1	NA	NA	0	0
make	make	16	1	1	1	0	0
it	it	16	1	1	2	0	0
out	out	8	1	1	3	1	1
hand	hand	16	1	NA	NA	0	0
over	o-	16	1	NA	NA	0	0
over	ver	16	1	NA	NA	0	0
fist	fist	8	1	NA	NA	0	1
the	the	16	1	NA	NA	0	0
only	on-	16	1	NA	NA	0	0
only	ly	16	1	NA	NA	0	0
way	way	16	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
get	get	16	1	NA	NA	0	0
