word	syllable	quant	duration	rhymeClass	rhymeIndex	lineEnding	breathEnding
yeah	yeah	16	2	NA	NA	0	1
where	where	16	1	NA	NA	0	0
i'ma	i'm-	16	1	NA	NA	0	0
i'ma	a	16	1	NA	NA	0	0
start	start	16	1	1	1	0	0
it	it	16	1	1	2	0	0
at	at	16	3	1	3	1	1
look	look	16	1	NA	NA	0	0
i'ma	i'm-	16	1	NA	NA	0	0
i'ma	a	16	1	NA	NA	0	0
part	part	16	1	1	1	0	0
of	of	16	1	1	2	0	0
that	that	16	2	1	3	1	1
downtown	down-	16	2	2	1	0	0
downtown	town	16	2	2	1	0	0
philly	phil-	16	1	NA	NA	0	0
philly	ly	16	1	NA	NA	0	0
where	where	16	1	NA	NA	0	0
it's	it's	16	1	NA	NA	0	0
realer	real-	16	1	NA	NA	0	0
realer	er	16	1	NA	NA	0	0
than	than	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
heart	heart	16	1	1	1	0	0
attack	at-	16	1	1	2	0	0
attack	tack	16	3	1	3	1	1
it	it	16	1	NA	NA	0	0
wasn't	was-	16	1	NA	NA	0	0
wasn't	n't	16	1	NA	NA	0	0
really	real-	16	1	1	1	0	0
really	ly	16	1	1	2	0	0
that	that	16	2	1	3	0	1
ill	ill	16	1	3	1	0	0
until	un-	16	1	NA	NA	0	0
until	til	16	1	3	1	0	0
the	the	16	1	NA	NA	0	0
start	start	16	1	1	1	0	0
of	of	16	1	1	2	0	0
crack	crack	16	3	1	3	1	1
now	now	16	1	NA	NA	0	0
it's	it's	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
body	bo-	16	1	NA	NA	0	0
body	dy	16	1	NA	NA	0	0
caught	caught	16	1	NA	NA	0	0
evry	ev-	16	1	NA	NA	0	0
evry	ry	16	1	NA	NA	0	0
night	night	16	1	NA	NA	0	0
on	on	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
almanac	al-	16	1	1	1	0	0
almanac	man-	16	1	1	2	0	0
almanac	ac	16	4	1	3	1	1
rock	rock	16	2	4	1	0	0
bottom	bot-	16	1	4	2	0	0
bottom	tom	16	1	4	3	0	0
where	where	16	1	NA	NA	0	0
them	them	16	1	NA	NA	0	0
cops	cops	16	2	4	1	0	0
gotta	got-	16	1	4	2	0	0
gotta	ta	16	1	4	3	0	0
problem	prob-	16	1	1	1	0	0
problem	lem	16	1	1	2	0	0
at	at	16	2	1	3	1	1
where	where	16	1	NA	NA	0	0
them	them	16	1	NA	NA	0	0
outsiders	out-	16	2	NA	NA	0	0
outsiders	si-	16	1	NA	NA	0	0
outsiders	ders	16	1	NA	NA	0	0
getting	get-	16	1	NA	NA	0	0
getting	ting	16	1	NA	NA	0	0
popped	popped	16	2	4	1	0	0
for	for	16	1	NA	NA	0	0
they	they	16	1	NA	NA	0	0
wallet	wal-	16	1	1	1	0	0
wallet	let	16	1	1	2	0	0
at	at	16	3	1	3	1	1
i	i	16	1	NA	NA	0	0
had	had	16	2	NA	NA	0	0
nothin	no-	16	1	NA	NA	0	0
nothin	thin	16	1	NA	NA	0	0
but	but	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
made	made	16	2	NA	NA	0	0
somethin	some-	16	1	NA	NA	0	0
somethin	thin	16	1	NA	NA	0	0
outta	out-	16	1	1	1	0	0
outta	ta	16	1	1	2	0	0
that	that	16	3	1	3	1	1
now	now	16	1	NA	NA	0	0
i'm	i'm	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
first	first	16	2	NA	NA	0	0
out	out	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
limo	li-	16	1	NA	NA	0	0
limo	mo	16	1	NA	NA	0	0
like	like	16	2	NA	NA	0	0
charlie	char-	16	2	1	1	0	0
charlie	lie	16	1	1	2	0	0
mack	mack	16	3	1	3	1	1
from	from	16	1	NA	NA	0	0
two	two	16	2	NA	NA	0	0
one	one	16	1	5	1	0	0
five	five	16	2	5	2	0	0
it's	it's	16	1	NA	NA	0	0
him	him	16	2	NA	NA	0	1
the	the	16	1	5	1	0	0
livest	liv-	16	2	5	2	0	0
livest	est	16	1	NA	NA	0	0
one	one	16	3	NA	NA	1	1
and	and	16	1	NA	NA	0	0
he's	he's	16	1	NA	NA	0	0
representin	re-	16	1	NA	NA	0	0
representin	pre-	16	1	NA	NA	0	0
representin	sen-	16	1	NA	NA	0	0
representin	tin	16	1	NA	NA	0	0
philly	phil-	16	1	NA	NA	0	0
philly	ly	16	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
fullest	full-	16	1	6	1	0	0
fullest	est	16	2	6	2	1	0
blacks	blacks	16	2	NA	NA	0	0
the	the	16	1	NA	NA	0	0
realest	real-	16	1	6	1	0	0
realest	est	16	2	6	2	1	1
you	you	16	1	NA	NA	0	0
can't	can't	16	2	NA	NA	0	0
touch	touch	16	1	7	1	0	0
him	him	16	2	7	2	0	1
and	and	16	1	NA	NA	0	0
not	not	16	2	NA	NA	0	0
for	for	16	1	NA	NA	0	0
nothin	no-	16	1	7	1	0	0
nothin	thin	16	2	7	2	1	1
if	if	16	1	NA	NA	0	0
you	you	16	1	NA	NA	0	0
bout	bout	16	2	NA	NA	0	0
hip	hip	16	2	NA	NA	0	0
hop	hop	16	2	NA	NA	0	1
you	you	16	1	NA	NA	0	0
gots	gots	16	2	NA	NA	0	0
to	to	16	1	NA	NA	0	0
love	love	16	1	7	1	0	0
it	it	16	1	7	2	0	0
if	if	16	1	NA	NA	0	0
not	not	16	2	NA	NA	0	0
then	then	16	1	NA	NA	0	0
fuck	fuck	16	1	7	1	0	0
it	it	16	3	7	2	1	1
i'm	i'm	16	2	NA	NA	0	0
still	still	16	2	NA	NA	0	0
handlin	hand-	16	2	8	1	0	0
handlin	lin	16	2	8	3	1	1
smokin	smok-	16	1	NA	NA	0	0
smokin	in	16	1	NA	NA	0	0
more	more	16	2	NA	NA	0	0
reefer	reef-	16	1	NA	NA	0	0
reefer	er	16	1	NA	NA	0	0
than	than	16	2	NA	NA	0	1
redman	red-	16	2	NA	NA	0	0
redman	man	16	1	8	1	0	0
and	and	16	1	8	2	0	0
them	them	16	2	8	3	0	1
damaging	dam-	16	1	8	1	0	0
damaging	a-	16	1	8	2	0	0
damaging	ging	16	1	8	3	0	0
em	em	16	2	9	1	0	0
sees	sees	16	2	9	2	1	0
and	and	16	1	NA	NA	0	0
my	my	16	1	NA	NA	0	0
name's	name's	16	3	NA	NA	0	0
rick	rick	16	2	9	1	0	0
gees	gees	16	3	9	2	0	1
you	you	16	1	NA	NA	0	0
endangered	en-	16	2	NA	NA	0	0
endangered	dan-	16	2	NA	NA	0	0
endangered	gered	16	1	NA	NA	0	0
species	spe-	16	2	9	1	0	0
species	cies	16	2	9	2	1	1
for	for	16	1	NA	NA	0	0
what	what	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
do	do	16	1	NA	NA	0	0
i'm	i'm	16	1	NA	NA	0	0
