word	syllable	quant	duration	rhymeClass	rhymeIndex	lineEnding	breathEnding
make	make	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
joyful	joy-	16	1	NA	NA	0	0
joyful	ful	16	1	NA	NA	0	0
noise	noise	16	2	NA	NA	0	0
unto	un-	16	1	NA	NA	0	0
unto	to	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
lord	lord	16	2	1	1	0	0
people	peo-	16	1	NA	NA	0	0
people	ple	16	1	NA	NA	0	0
applaud	ap-	16	1	NA	NA	0	0
applaud	plaud	16	2	1	1	1	0
cause	cause	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
pen	pen	16	1	NA	NA	0	0
is	is	16	1	NA	NA	0	0
mightier	might-	16	1	NA	NA	0	0
mightier	i-	16	1	NA	NA	0	0
mightier	er	16	1	NA	NA	0	0
than	than	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
sword	sword	16	2	1	1	0	1
leavin	lea-	16	1	NA	NA	0	0
leavin	vin	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
floor	floor	16	2	1	1	1	0
cause	cause	16	1	NA	NA	0	0
my	my	16	1	NA	NA	0	0
words	words	16	2	NA	NA	0	0
cut	cut	16	2	NA	NA	0	1
deeper	deep-	16	1	NA	NA	0	0
deeper	er	16	1	NA	NA	0	0
than	than	16	2	NA	NA	0	0
tissue	tis-	16	1	2	1	0	0
tissue	sue	16	1	2	2	0	0
massage	mas-	16	1	2	3	0	0
massage	sage	16	3	2	4	1	1
i	i	16	1	NA	NA	0	0
got	got	16	1	NA	NA	0	0
hooks	hooks	16	1	NA	NA	0	0
and	and	16	1	NA	NA	0	0
lines	lines	16	1	NA	NA	0	0
that	that	16	1	NA	NA	0	0
sink	sink	16	1	NA	NA	0	0
yall	yall	16	1	NA	NA	0	0
like	like	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
fishermans	fish-	16	1	2	1	0	0
fishermans	er-	16	1	2	2	0	0
fishermans	mans	16	1	2	3	0	0
rod	rod	16	2	2	4	1	1
im	im	16	1	NA	NA	0	0
on	on	16	2	NA	NA	0	0
mission	mis-	24	1	2	1	0	0
mission	sion	24	1	2	2	0	0
for	for	24	1	2	3	0	0
god	god	16	2	2	4	0	0
he	he	16	1	NA	NA	0	0
blessed	blessed	16	1	NA	NA	0	0
me	me	16	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
spit	spit	16	1	2	1	0	0
it	it	16	1	2	2	0	0
this	this	16	1	2	3	0	0
hard	hard	16	2	2	4	1	1
a	a	16	1	NA	NA	0	0
lot	lot	16	1	NA	NA	0	0
of	of	16	1	NA	NA	0	0
niggas	nig-	16	1	NA	NA	0	0
niggas	gas	16	1	NA	NA	0	0
start	start	16	2	NA	NA	0	0
shit	shit	16	1	NA	NA	0	0
but	but	16	1	NA	NA	0	0
they	they	16	1	NA	NA	0	0
dont	dont	16	1	NA	NA	0	0
finish	fin-	16	1	2	1	0	0
finish	ish	16	1	2	2	0	0
the	the	16	1	2	3	0	0
job	job	16	2	2	4	1	1
im	im	16	1	NA	NA	0	0
like	like	16	2	NA	NA	0	0
minister	mi-	24	1	NA	NA	0	0
minister	ni-	24	1	NA	NA	0	0
minister	ster	24	1	2	1	0	0
farrakhan	far-	16	1	2	2	0	0
farrakhan	rak-	16	1	2	3	0	0
farrakhan	han	16	2	2	4	0	1
or	or	16	1	NA	NA	0	0
them	them	16	1	NA	NA	0	0
africans	af-	16	1	NA	NA	0	0
africans	ri-	16	1	NA	NA	0	0
africans	cans	16	1	NA	NA	0	0
who	who	16	1	NA	NA	0	0
finished	fin-	16	1	2	1	0	0
finished	ished	16	1	2	2	0	0
a	a	16	1	NA	NA	0	0
marathon	ma-	16	1	NA	NA	0	0
marathon	ra-	16	1	2	3	0	0
marathon	thon	16	2	2	4	1	1
the	the	16	1	NA	NA	0	0
pain	pain	16	1	NA	NA	0	0
in	in	16	1	NA	NA	0	0
my	my	16	1	NA	NA	0	0
voice	voice	16	2	NA	NA	0	0
like	like	16	1	2	1	0	0
sarah	sa-	16	1	2	2	0	0
sarah	rah	16	1	2	3	0	0
vaughn	vaughn	16	4	2	4	1	1
matter	mat-	16	1	NA	NA	0	0
matter	ter	16	1	NA	NA	0	0
what	what	16	2	NA	NA	0	0
plane	plane	16	2	NA	NA	0	0
im	im	16	1	NA	NA	0	0
on	on	16	2	NA	NA	0	0
i	i	16	1	2	1	0	0
carry	car-	16	1	2	2	0	0
carry	ry	16	1	2	3	0	0
on	on	16	2	2	4	1	1
even	e-	16	1	NA	NA	0	0
even	ven	16	1	NA	NA	0	0
if	if	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
dont	dont	16	2	NA	NA	0	0
fit	fit	16	1	NA	NA	0	0
overhead	o-	16	1	NA	NA	0	0
overhead	ver-	16	1	NA	NA	0	0
overhead	head	16	2	NA	NA	0	1
i	i	16	1	2	1	0	0
carry	car-	16	1	2	2	0	0
carry	ry	16	1	2	3	0	0
on	on	16	2	2	4	1	1
like	like	16	2	2	1	0	0
flash	flash	16	2	2	2	0	0
gordon	gor-	16	1	2	3	0	0
gordon	don	16	1	2	4	0	0
scar	scar	16	1	NA	NA	0	0
on	on	16	1	NA	NA	0	0
my	my	16	1	NA	NA	0	0
face	face	16	2	NA	NA	0	0
is	is	16	1	NA	NA	0	0
brad	brad	16	2	3	1	0	0
jordan	jor-	16	1	3	2	0	0
jordan	dan	16	3	3	3	1	1
passports	pass-	16	2	NA	NA	0	0
passports	ports	16	2	NA	NA	0	0
splash	splash	16	2	NA	NA	0	0
with	with	16	1	NA	NA	0	0
blood	blood	48	5	NA	NA	0	0
from	from	24	1	NA	NA	0	0
the	the	24	1	NA	NA	0	0
battle	bat-	24	1	NA	NA	0	0
battle	tle	24	1	NA	NA	0	0
i	i	24	1	NA	NA	0	0
last	last	16	2	3	1	0	0
fought	fought	16	1	3	2	0	0
in	in	16	2	3	3	1	1
i	i	16	1	NA	NA	0	0
want	want	16	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
cash	cash	16	2	3	1	0	0
all	all	16	1	3	2	0	0
in	in	16	2	3	3	0	1
or	or	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
start	start	16	1	NA	NA	0	0
breakin	break-	16	1	NA	NA	0	0
breakin	in	16	1	NA	NA	0	0
like	like	16	1	NA	NA	0	0
glass	glass	16	2	3	1	0	0
jaw	jaw	16	2	3	2	1	0
i	i	16	1	3	3	0	0
put	put	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
blast	blast	16	2	3	1	0	0
on	on	16	1	3	2	0	0
em	em	16	1	3	3	0	0
like	like	16	1	NA	NA	0	0
my	my	16	1	NA	NA	0	0
last	last	16	2	3	1	0	0
tourin	tour-	16	1	3	2	0	0
tourin	in	16	2	3	3	1	1
or	or	16	1	NA	NA	0	0
fast	fast	16	2	3	1	0	0
forward	for-	16	1	3	2	0	0
forward	ward	16	1	3	3	0	0
just	just	16	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
catch	catch	16	1	NA	NA	0	0
what	what	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
said	said	16	3	4	1	1	1
yo	yo	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
say	say	16	1	NA	NA	0	0
some	some	16	1	NA	NA	0	0
shit	shit	16	1	NA	NA	0	0
like	like	16	1	NA	NA	0	0
that	that	16	2	NA	NA	0	0
just	just	16	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
mess	mess	16	1	NA	NA	0	0
with	with	16	1	NA	NA	0	0
your	your	16	1	NA	NA	0	0
head	head	16	2	4	1	0	1
come	come	16	1	NA	NA	0	0
on	on	16	2	NA	NA	1	1
