word	syllable	quant	duration	rhymeClass	rhymeIndex	lineEnding	breathEnding
yo	yo	16	1	NA	NA	0	0
bust	bust	16	1	NA	NA	0	0
it	it	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
digs	digs	16	1	NA	NA	0	0
hip	hip	16	1	NA	NA	0	0
hop	hop	4	1	1	1	0	1
and	and	16	1	NA	NA	0	0
rocks	rocks	16	1	NA	NA	0	0
for	for	16	1	NA	NA	0	0
hip	hip	16	1	NA	NA	0	0
hop	hop	4	1	1	1	1	1
not	not	16	1	NA	NA	0	0
r	r	16	1	NA	NA	0	0
and	and	16	1	NA	NA	0	0
b	b	16	1	NA	NA	0	0
because	be-	16	1	NA	NA	0	0
because	cause	16	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
me	me	16	1	NA	NA	0	0
that's	that's	16	1	NA	NA	0	0
not	not	16	1	NA	NA	0	0
my	my	16	1	NA	NA	0	0
style	style	8	1	2	1	0	0
and	and	16	5	NA	NA	1	1
the	the	16	1	NA	NA	0	0
r	r	8	1	NA	NA	0	0
double	doub-	16	1	3	1	0	0
double	le	16	1	3	2	0	0
o	o	16	1	3	3	0	0
quotes	quotes	8	1	NA	NA	0	0
ain't	ain't	8	1	NA	NA	0	0
for	for	16	1	NA	NA	0	0
radio	rad-	16	1	3	1	0	0
radio	i-	16	1	3	2	0	0
radio	o	16	1	3	3	1	0
but	but	16	1	NA	NA	0	0
major	maj-	16	1	3	1	0	0
major	or	16	1	3	2	0	0
sold	sold	16	1	3	3	0	0
them	them	16	1	NA	NA	0	0
that	that	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
zip	zip	16	1	NA	NA	0	0
won't	won't	16	1	NA	NA	0	0
change	change	16	1	NA	NA	0	0
the	the	8	1	NA	NA	0	0
dial	di-	16	1	2	1	0	0
dial	al	16	4	NA	NA	1	1
i	i	16	1	NA	NA	0	0
remember	re-	16	1	NA	NA	0	0
remember	mem-	12	1	NA	NA	0	0
remember	ber	12	1	NA	NA	0	0
one	one	12	1	NA	NA	0	0
morning	morn-	16	1	NA	NA	0	0
morning	ing	16	1	NA	NA	0	0
at	at	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
soul	soul	8	1	4	1	0	0
shack	shack	8	1	4	2	0	0
coolin	cool-	16	1	NA	NA	0	0
coolin	in	16	1	NA	NA	1	0
in	in	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
outback	out-	8	1	4	1	0	0
outback	back	8	1	4	2	0	0
on	on	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
songwriting	song-	8	1	NA	NA	0	0
songwriting	wri-	16	1	5	1	0	0
songwriting	ting	8	1	5	2	0	0
ship	ship	16	5	5	3	1	1
blitz	blitz	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
five	five	8	1	NA	NA	0	0
off	off	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
bob	bob	8	1	NA	NA	0	0
