word	syllable	quant	duration	rhymeClass	rhymeIndex	lineEnding	breathEnding
remember	re-	16	1	NA	NA	0	0
remember	mem-	16	1	NA	NA	0	0
remember	ber	16	1	NA	NA	0	0
that	that	16	1	NA	NA	0	0
gooey	goo-	16	1	1	1	0	0
gooey	ey	16	1	1	2	0	0
gooey	goo-	16	1	1	3	0	0
gooey	ey	16	1	1	4	0	0
you	you	16	1	NA	NA	0	0
took	took	16	1	NA	NA	0	0
and	and	16	1	NA	NA	0	0
said	said	16	1	NA	NA	0	0
ooh	ooh	16	1	1	1	0	0
wee	wee	16	1	1	2	0	0
ooh	ooh	16	1	1	3	0	0
wee	wee	16	1	1	4	1	0
i	i	16	1	NA	NA	0	0
need	need	16	1	NA	NA	0	0
two	two	16	1	1	1	0	0
or	or	16	1	1	2	0	0
two	two	16	1	1	3	0	0
e	e	16	1	1	4	0	0
of	of	16	1	NA	NA	0	0
these	these	16	1	NA	NA	0	0
for	for	16	1	NA	NA	0	0
my	my	16	1	NA	NA	0	0
baby	ba-	16	1	1	1	0	0
baby	by	16	1	1	2	0	0
boo	boo	16	1	1	3	0	0
e	e	16	1	1	4	0	0
you	you	16	1	NA	NA	0	0
e	e	16	2	NA	NA	1	1
talking	talk-	16	1	NA	NA	0	0
talking	ing	16	1	NA	NA	0	0
like	like	16	1	NA	NA	0	0
boobies	boo-	16	1	1	3	0	0
boobies	bies	16	1	1	4	0	0
you	you	16	1	NA	NA	0	0
got	got	32	1	NA	NA	0	0
a	a	32	1	NA	NA	0	0
nice	nice	16	1	NA	NA	0	0
pair	pair	16	1	NA	NA	0	0
like	like	16	1	NA	NA	0	0
some	some	16	1	NA	NA	0	0
boobies	boo-	16	1	1	3	0	0
boobies	bies	16	2	1	4	1	1
and	and	16	1	NA	NA	0	0
you	you	16	1	NA	NA	0	0
high	high	16	1	NA	NA	0	0
off	off	16	1	NA	NA	0	0
that	that	16	1	NA	NA	0	0
doobie	doo-	16	1	1	1	0	0
doobie	bie	16	1	1	2	0	0
doobie	doo-	16	1	1	3	0	0
doobie	bie	16	1	1	4	0	0
with	with	32	1	NA	NA	0	0
your	your	32	1	NA	NA	0	0
mystery	mys-	16	1	NA	NA	0	0
mystery	ter-	16	1	NA	NA	0	0
mystery	y	16	1	NA	NA	0	0
machine	ma-	16	1	NA	NA	0	0
machine	chine	16	4	NA	NA	1	1
feeling	feel-	16	1	NA	NA	0	0
feeling	ing	16	1	NA	NA	0	0
bad	bad	16	1	NA	NA	0	0
well	well	16	1	1	1	0	0
you	you	16	1	1	2	0	0
should	should	16	1	1	3	0	0
be	be	16	1	1	4	0	0
b	b	16	1	NA	NA	0	0
p	p	16	1	NA	NA	0	0
don't	don't	16	1	NA	NA	0	0
make	make	16	1	NA	NA	0	0
nothing	no-	16	1	NA	NA	0	0
nothing	thing	16	1	NA	NA	0	0
cheapie	cheap-	16	1	2	1	0	0
cheapie	ie	16	2	2	2	1	1
hanging	hang-	16	1	NA	NA	0	0
hanging	ing	16	1	NA	NA	0	0
with	with	16	1	NA	NA	0	0
them	them	16	1	NA	NA	0	0
creepy	creep-	16	1	NA	NA	0	0
creepy	y	16	1	NA	NA	0	0
creepies	creep-	16	1	2	1	0	0
creepies	ies	16	1	2	2	0	0
i	i	16	1	NA	NA	0	0
sitting	sit-	16	1	NA	NA	0	0
sitting	ting	16	1	NA	NA	0	0
in	in	16	1	NA	NA	0	0
back	back	16	1	NA	NA	0	0
with	with	16	1	NA	NA	0	0
pps	p-	16	1	2	1	0	0
pps	ps	16	1	2	2	1	1
looking	loo-	16	1	NA	NA	0	0
looking	kin'	16	1	NA	NA	0	0
holy	hol-	16	1	NA	NA	0	0
holy	y	16	1	NA	NA	0	0
holy	hol-	16	1	3	1	0	0
holy	y	16	1	3	2	0	0
while	while	16	1	NA	NA	0	0
looking	look-	16	1	NA	NA	0	0
looking	ing	16	1	NA	NA	0	0
through	through	16	1	NA	NA	0	0
them	them	16	1	NA	NA	0	0
holy	hol-	16	1	NA	NA	0	0
holy	y	16	1	NA	NA	0	0
holies	ho-	16	1	3	1	0	0
holies	lies	16	2	3	2	1	1
holy	hol-	16	1	NA	NA	0	0
holy	y	16	1	NA	NA	0	0
guacamole	gua-	16	1	NA	NA	0	0
guacamole	ca-	16	1	NA	NA	0	0
guacamole	mo-	16	1	NA	NA	0	0
guacamole	le	16	1	NA	NA	0	0
you	you	16	1	NA	NA	0	0
got	got	16	1	NA	NA	0	0
that	that	16	1	NA	NA	0	0
gooey	goo-	16	1	1	3	0	0
gooey	ey	16	1	1	4	0	0
now	now	16	1	NA	NA	0	0
you	you	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
phony	phon-	16	1	3	1	0	0
phony	y	16	1	3	2	1	1
