word	syllable	quant	duration	rhymeClass	rhymeIndex	lineEnding	breathEnding
soon	soon	16	1	NA	NA	0	0
as	as	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
verse	verse	16	2	1	1	0	0
starts	starts	16	2	1	2	0	0
i	i	16	1	NA	NA	0	0
eat	eat	16	1	NA	NA	0	0
at	at	16	1	NA	NA	0	0
an	an	16	1	NA	NA	0	0
emcee's	em-	16	1	NA	NA	0	0
emcee's	cee's	16	2	1	1	0	0
heart	heart	16	2	1	2	1	1
what	what	16	1	NA	NA	0	0
is	is	16	1	NA	NA	0	0
he	he	16	1	NA	NA	0	0
thinking	think-	16	1	NA	NA	0	0
thinking	ing	16	2	NA	NA	0	1
how	how	16	1	NA	NA	0	0
not	not	16	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
go	go	16	1	NA	NA	0	0
against	a-	16	1	NA	NA	0	0
against	gainst	16	1	NA	NA	0	0
me	me	16	2	1	1	0	0
smart	smart	16	2	1	2	1	0
and	and	16	1	2	1	0	0
it's	it's	16	1	2	2	0	0
absurd	ab-	16	1	2	3	0	0
absurd	surd	16	3	2	4	0	1
how	how	16	1	NA	NA	0	0
people	peo-	16	1	NA	NA	0	0
people	ple	16	1	NA	NA	0	0
hang	hang	16	1	NA	NA	0	0
on	on	16	1	NA	NA	0	0
every	ev-	16	1	2	1	0	0
every	e-	16	1	2	2	0	0
every	ry	16	1	2	3	0	0
word	word	16	2	2	4	1	1
i'll	i'll	16	1	NA	NA	0	0
probably	pro-	24	1	NA	NA	0	0
probably	ba-	24	1	NA	NA	0	0
probably	bly	24	1	NA	NA	0	0
never	ne-	16	1	NA	NA	0	0
never	ver	16	1	NA	NA	0	0
get	get	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
props	props	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
feel	feel	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
ever	e-	16	1	2	1	0	0
ever	ver	16	1	2	2	0	0
deserve	de-	16	1	2	3	0	0
deserve	serve	16	2	2	4	1	1
but	but	16	1	NA	NA	0	0
i'll	i'll	16	1	NA	NA	0	0
never	ne-	16	1	2	1	0	0
never	ver	16	1	2	2	0	0
be	be	16	1	2	3	0	0
served	served	16	2	2	4	0	0
my	my	16	1	NA	NA	0	0
spot	spot	16	1	NA	NA	0	0
is	is	16	1	NA	NA	0	0
forever	for-	16	1	NA	NA	0	0
forever	e-	16	1	2	1	0	0
forever	ver	16	1	2	2	0	0
reserved	re-	16	1	2	3	0	0
reserved	served	16	2	2	4	1	0
if	if	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
ever	e-	16	1	2	1	0	0
ever	ver	16	1	2	2	0	0
leave	leave	16	1	2	3	0	0
earth	earth	16	2	2	4	0	0
that	that	16	1	NA	NA	0	0
would	would	16	1	NA	NA	0	0
be	be	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
death	death	16	1	2	1	0	0
of	of	16	1	2	2	0	0
me	me	16	1	2	3	0	0
first	first	16	2	2	4	1	1
cause	cause	16	1	NA	NA	0	0
in	in	16	1	NA	NA	0	0
my	my	16	1	NA	NA	0	0
heart	heart	16	1	NA	NA	0	0
of	of	16	1	NA	NA	0	0
hearts	hearts	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
know	know	16	1	NA	NA	0	0
nothing	no-	16	1	NA	NA	0	0
nothing	thing	16	1	NA	NA	0	0
could	could	16	1	NA	NA	0	0
ever	e-	16	1	2	1	0	0
ever	ver	16	1	2	2	0	0
be	be	16	1	2	3	0	0
worse	worse	16	2	2	4	1	1
that's	that's	16	1	NA	NA	0	0
why	why	16	1	NA	NA	0	0
i'm	i'm	16	1	NA	NA	0	0
clever	clev-	16	1	2	1	0	0
clever	er	16	1	2	2	0	0
when	when	16	1	2	3	0	0
i	i	16	1	2	4	0	0
put	put	16	1	NA	NA	0	0
together	to-	16	1	NA	NA	0	0
together	geth-	16	1	NA	NA	0	0
together	er	16	1	NA	NA	0	0
every	ev-	16	1	2	1	0	0
every	e-	16	1	2	2	0	0
every	ry	16	1	2	3	0	0
verse	verse	16	3	2	4	1	1
my	my	16	1	NA	NA	0	0
thoughts	thoughts	16	3	NA	NA	0	1
are	are	16	1	NA	NA	0	0
sporadic	spo-	16	1	3	1	0	0
sporadic	ra-	16	1	3	2	0	0
sporadic	dic	16	1	3	3	0	0
i	i	16	1	3	4	0	0
act	act	16	2	3	5	0	0
like	like	16	1	NA	NA	0	0
i'm	i'm	16	1	NA	NA	0	0
an	an	16	1	3	1	0	0
addict	ad-	16	1	3	2	0	0
addict	dict	16	1	3	3	1	1
i	i	16	1	3	4	0	0
