word	syllable	quant	duration	rhymeClass	rhymeIndex	lineEnding	breathEnding
now	now	16	1	NA	NA	0	0
suzy	su-	16	1	NA	NA	0	0
suzy	zy	16	1	NA	NA	0	0
screw	screw	16	2	NA	NA	0	0
had	had	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
partna	part-	16	1	1	1	0	0
partna	na	16	1	1	2	0	0
named	named	16	2	NA	NA	0	0
sasha	sa-	16	2	NA	NA	0	0
sasha	sha	16	6	NA	NA	1	1
thumper	thum-	16	2	1	1	0	0
thumper	per	16	6	1	2	0	1
i	i	16	1	NA	NA	0	0
remember	re-	16	1	NA	NA	0	0
remember	mem-	24	1	NA	NA	0	0
remember	ber	24	1	NA	NA	0	0
her	her	24	1	NA	NA	0	0
number	num-	16	1	1	1	0	0
number	ber	16	1	1	2	0	0
like	like	16	1	NA	NA	0	0
the	the	16	1	NA	NA	1	0
summer	sum-	16	2	1	1	0	0
summer	mer	16	1	1	2	0	0
when	when	16	1	NA	NA	0	0
her	her	16	1	NA	NA	0	0
and	and	16	1	NA	NA	0	0
suzy	su-	16	1	NA	NA	0	0
suzy	zy	16	1	NA	NA	0	0
yeah	yeah	16	1	NA	NA	0	0
they	they	16	1	NA	NA	0	0
threw	threw	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
slumber	slum-	16	2	1	1	0	0
slumber	ber	16	2	1	2	1	1
party	par-	16	1	NA	NA	0	0
party	ty	16	1	NA	NA	0	0
but	but	16	1	NA	NA	0	0
you	you	16	1	NA	NA	0	0
can	can	16	1	NA	NA	0	0
not	not	16	1	NA	NA	0	0
call	call	16	1	NA	NA	0	0
it	it	16	1	NA	NA	0	0
that	that	16	1	NA	NA	0	0
cause	cause	16	1	NA	NA	0	0
it	it	16	1	NA	NA	0	0
was	was	16	1	NA	NA	0	0
slummer	slum-	16	2	1	1	0	0
slummer	mer	16	2	1	2	1	1
well	well	16	2	NA	NA	0	0
it	it	16	1	NA	NA	0	0
was	was	16	1	NA	NA	0	0
more	more	16	1	NA	NA	0	0
like	like	16	1	NA	NA	0	0
spend	spend	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
night	night	16	3	2	1	0	1
three	three	16	1	NA	NA	0	0
in	in	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
morning	morn-	16	1	NA	NA	0	0
morning	ing	16	1	NA	NA	1	0
yawnin	yaw-	16	1	NA	NA	0	0
yawnin	nin	16	1	NA	NA	0	0
dancin	dan-	16	1	NA	NA	0	0
dancin	cin	16	1	NA	NA	0	0
under	un-	16	1	NA	NA	0	0
under	der	16	1	NA	NA	0	0
street	street	16	2	NA	NA	0	0
lights	lights	16	3	2	1	0	1
we	we	16	1	NA	NA	0	0
chillin	chi-	16	1	3	1	0	0
chillin	llin	16	1	3	2	0	0
like	like	16	1	NA	NA	0	0
a	a	16	1	NA	NA	1	0
villain	vill-	16	1	3	1	0	0
villain	ain	16	1	3	2	0	0
and	and	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
nigga	nig-	16	1	NA	NA	0	0
nigga	ga	16	1	NA	NA	0	0
feelin	feel-	16	1	NA	NA	0	0
feelin	in	16	1	NA	NA	0	0
right	right	16	2	2	1	0	0
in	in	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
middle	mid-	16	1	NA	NA	0	0
middle	dle	16	1	NA	NA	0	0
of	of	16	1	NA	NA	0	0
the	the	16	1	NA	NA	1	0
ghetto	ghet-	16	1	NA	NA	0	0
ghetto	to	16	1	NA	NA	0	0
on	on	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
curb	curb	16	2	NA	NA	0	0
but	but	16	1	NA	NA	0	0
in	in	16	1	NA	NA	0	0
spite	spite	16	3	2	1	0	1
of	of	16	1	NA	NA	0	0
all	all	16	1	NA	NA	0	0
the	the	16	1	NA	NA	1	0
bullshit	bull-	16	2	NA	NA	0	0
bullshit	shit	16	1	NA	NA	0	0
we	we	16	1	NA	NA	0	0
on	on	16	1	NA	NA	0	0
our	our	16	1	NA	NA	0	0
back	back	16	2	NA	NA	0	0
starin	star-	16	1	NA	NA	0	0
starin	in	16	1	NA	NA	0	0
at	at	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
stars	stars	16	1	NA	NA	0	0
above	a-	16	1	4	1	0	0
above	bove	4	1	4	2	1	1
talkin	talk-	16	1	NA	NA	0	0
talkin	in	16	1	NA	NA	0	0
bout	bout	16	2	NA	NA	0	0
what	what	16	1	NA	NA	0	0
we	we	16	1	NA	NA	0	0
gonna	gon-	16	1	NA	NA	0	0
gonna	na	16	1	NA	NA	0	0
be	be	16	1	NA	NA	0	0
when	when	16	1	NA	NA	0	0
we	we	16	1	NA	NA	0	0
grow	grow	16	1	4	1	0	0
up	up	16	2	4	2	1	1
i	i	16	1	NA	NA	0	0
said	said	16	1	NA	NA	0	0
what	what	16	1	NA	NA	0	0
you	you	16	1	NA	NA	0	0
wanna	wan-	16	1	NA	NA	0	0
wanna	na	16	1	NA	NA	0	0
be	be	16	2	NA	NA	0	0
she	she	16	1	NA	NA	0	0
said	said	16	2	NA	NA	0	0
alive	a-	16	1	5	1	0	0
alive	live	16	3	5	2	1	1
it	it	16	1	NA	NA	0	0
made	made	16	1	NA	NA	0	0
me	me	16	1	NA	NA	0	0
think	think	16	2	NA	NA	0	0
for	for	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
minute	min-	16	1	NA	NA	0	0
minute	ute	16	1	NA	NA	0	0
then	then	16	1	NA	NA	0	0
looked	looked	16	1	NA	NA	0	0
in	in	16	1	5	1	0	0
her	her	16	1	NA	NA	0	0
eyes	eyes	16	3	5	2	1	1
i	i	16	1	NA	NA	0	0
coulda	could-	16	1	NA	NA	0	0
coulda	a	16	1	NA	NA	0	0
died	died	16	3	5	2	0	1
time	time	32	3	6	1	0	0
went	went	32	3	6	2	0	0
on	on	16	3	6	3	0	1
i	i	32	3	6	1	0	0
got	got	32	3	6	2	0	0
grown	grown	16	3	6	3	1	1
rhyme	rhyme	32	3	6	1	0	0
got	got	32	3	6	2	0	0
strong	strong	16	3	6	3	0	1
mind	mind	32	3	6	1	0	0
got	got	32	3	6	2	0	0
blown	blown	16	3	6	3	0	1
i	i	16	1	NA	NA	0	0
came	came	16	2	6	1	0	0
back	back	16	2	6	2	1	0
home	home	16	3	6	3	0	1
to	to	16	1	NA	NA	0	0
find	find	16	2	NA	NA	0	0
lil	lil	16	2	NA	NA	0	0
sasha	sa-	16	1	NA	NA	0	0
sasha	sha	16	1	NA	NA	0	0
was	was	16	1	NA	NA	0	0
gone	gone	16	2	7	1	1	1
her	her	16	1	NA	NA	0	0
mamma	mam-	16	1	NA	NA	0	0
mamma	ma	16	1	NA	NA	0	0
said	said	16	1	NA	NA	0	0
she	she	16	1	NA	NA	0	0
with	with	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
nigga	nig-	16	1	NA	NA	0	0
nigga	ga	16	1	NA	NA	0	0
that	that	16	1	NA	NA	0	0
be	be	16	1	NA	NA	0	0
treatin	treat-	16	1	NA	NA	0	0
treatin	in	16	1	NA	NA	0	0
her	her	16	1	NA	NA	0	0
wrong	wrong	16	2	7	1	1	1
i	i	16	1	NA	NA	0	0
kept	kept	16	1	NA	NA	0	0
on	on	16	1	NA	NA	0	0
singin	sing-	16	1	NA	NA	0	0
singin	in	16	1	NA	NA	0	0
my	my	16	1	NA	NA	0	0
song	song	16	2	7	1	0	0
and	and	16	1	NA	NA	0	0
hopin	hop-	16	1	NA	NA	0	0
hopin	in	16	1	NA	NA	0	0
at	at	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
show	show	16	3	8	1	1	1
that	that	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
would	would	16	1	NA	NA	0	0
one	one	16	1	NA	NA	0	0
day	day	16	1	NA	NA	0	0
see	see	16	1	NA	NA	0	0
her	her	16	1	NA	NA	0	0
standin	stand-	16	1	NA	NA	0	0
standin	in	16	1	NA	NA	0	0
in	in	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
front	front	16	2	NA	NA	0	0
row	row	16	3	8	1	1	1
but	but	16	1	NA	NA	0	0
two	two	16	1	NA	NA	0	0
weeks	weeks	16	1	NA	NA	0	0
later	lat-	16	1	NA	NA	0	0
later	er	16	1	NA	NA	0	0
she	she	16	1	NA	NA	0	0
got	got	16	1	NA	NA	0	0
found	found	16	2	NA	NA	0	0
in	in	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
back	back	16	1	NA	NA	0	0
of	of	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
school	school	16	3	9	1	1	1
with	with	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
needle	need-	16	1	NA	NA	0	0
needle	le	16	1	NA	NA	0	0
in	in	16	1	NA	NA	0	0
her	her	16	1	NA	NA	0	0
arm	arm	16	2	NA	NA	0	0
baby	ba-	16	1	NA	NA	0	0
baby	by	16	1	NA	NA	0	0
two	two	16	1	NA	NA	0	0
months	months	16	2	NA	NA	0	0
due	due	16	3	9	1	0	1
sasha	sa-	16	1	NA	NA	0	0
sasha	sha	16	1	NA	NA	0	0
thumper	thum-	16	2	NA	NA	0	0
thumper	per	16	2	NA	NA	1	1
