word	syllable	quant	duration	rhymeClass	rhymeIndex	lineEnding	breathEnding
right	right	16	1	NA	NA	0	0
now	now	8	1	NA	NA	0	0
somebody	some-	16	1	NA	NA	0	0
somebody	bo-	16	1	NA	NA	0	0
somebody	dy	16	1	NA	NA	0	0
sitting	sit-	16	1	NA	NA	0	0
sitting	ting	16	1	NA	NA	0	0
in	in	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
darkness	dark-	8	1	1	1	0	0
darkness	ness	16	1	1	2	1	0
trying	try-	16	1	NA	NA	0	0
trying	ing	16	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
figure	fi-	16	1	NA	NA	0	0
figure	gure	16	1	NA	NA	0	0
how	how	16	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
put	put	16	1	NA	NA	0	0
some	some	16	1	NA	NA	0	0
heat	heat	16	1	NA	NA	0	0
in	in	16	1	NA	NA	0	0
they	they	16	1	NA	NA	0	0
apartment	a-	16	1	NA	NA	0	0
apartment	par-	8	1	1	1	0	0
apartment	tment	16	1	1	2	1	0
but	but	8	1	NA	NA	0	1
they	they	16	1	NA	NA	0	0
got	got	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
little	lit-	16	1	NA	NA	0	0
little	tle	16	1	NA	NA	0	0
mattress	mat-	8	1	NA	NA	0	0
mattress	tress	8	1	NA	NA	0	1
little	lit-	16	1	NA	NA	0	0
little	tle	16	1	NA	NA	0	0
carpet	car-	8	1	1	1	0	0
carpet	pet	16	1	1	2	1	1
and	and	16	1	NA	NA	0	0
they	they	16	1	NA	NA	0	0
appreciate	ap-	16	1	NA	NA	0	0
appreciate	pre-	16	1	NA	NA	0	0
appreciate	ci-	16	1	NA	NA	0	0
appreciate	ate	16	1	NA	NA	0	0
it	it	16	1	NA	NA	0	0
cause	cause	16	1	NA	NA	0	0
some	some	16	1	NA	NA	0	0
people	peo-	16	1	NA	NA	0	0
people	ple	16	1	NA	NA	0	0
on	on	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
park	park	8	1	1	1	0	0
bench	bench	16	3	1	2	1	1
you	you	16	1	NA	NA	0	0
see	see	16	1	NA	NA	0	0
them	them	16	1	NA	NA	0	0
when	when	16	1	NA	NA	0	0
you	you	16	1	NA	NA	0	0
rushing	ru-	16	1	NA	NA	0	0
rushing	shing	16	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
get	get	16	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
office	of-	8	1	1	1	0	0
office	fice	8	1	1	2	1	1
wife	wife	8	1	NA	NA	0	0
fly	fly	8	1	NA	NA	0	0
by	by	8	1	NA	NA	0	0
when	when	16	1	NA	NA	0	0
she	she	16	1	NA	NA	0	0
coming	com-	16	1	NA	NA	0	0
coming	ing	16	1	NA	NA	0	0
from	from	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
market	mar-	8	1	1	1	0	0
market	ket	16	3	1	2	1	1
right	right	8	1	NA	NA	0	0
now	now	8	1	NA	NA	0	0
somebody's	some-	16	1	NA	NA	0	0
somebody's	bo-	16	1	NA	NA	0	0
somebody's	dy's	16	1	NA	NA	0	0
coming	com-	16	1	NA	NA	0	0
coming	ing	16	1	NA	NA	0	0
out	out	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
pocket	po-	8	1	1	1	0	0
pocket	cket	16	1	1	2	1	0
trying	try-	16	1	NA	NA	0	0
trying	ing	16	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
dump	dump	16	1	NA	NA	0	0
that	that	8	1	NA	NA	0	0
rock	rock	8	1	NA	NA	0	1
they	they	16	1	NA	NA	0	0
run	run	16	1	NA	NA	0	0
around	a-	16	1	NA	NA	0	0
around	round	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
block	block	8	1	1	1	0	0
with	with	8	1	1	2	1	1
same	same	8	1	NA	NA	0	0
time	time	8	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
cops	cops	8	1	NA	NA	0	0
is	is	16	1	NA	NA	0	0
raising	rais-	8	1	NA	NA	0	0
raising	ing	16	1	NA	NA	0	0
their	their	16	1	NA	NA	0	0
glocks	glocks	8	1	1	1	1	0
with	with	16	1	1	2	0	0
aim	aim	8	1	NA	NA	0	1
to	to	16	1	NA	NA	0	0
fill	fill	16	1	NA	NA	0	0
your	your	16	1	NA	NA	0	0
legs	legs	8	1	NA	NA	0	0
and	and	16	1	NA	NA	0	0
your	your	16	1	NA	NA	0	0
back	back	8	1	NA	NA	0	0
with	with	16	1	NA	NA	0	0
some	some	16	1	NA	NA	0	0
hot	hot	8	1	1	1	0	0
shit	shit	4	1	1	2	1	1
right	right	16	1	NA	NA	0	0
now	now	8	1	NA	NA	0	0
somebody	some-	16	1	NA	NA	0	0
somebody	bo-	16	1	NA	NA	0	0
somebody	dy	32	1	NA	NA	0	0
is	is	32	1	NA	NA	0	0
struggling	strug-	16	1	NA	NA	0	0
struggling	gl-	16	1	NA	NA	0	0
struggling	ing	16	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
stop	stop	8	1	1	1	0	0
this	this	16	1	1	2	0	0
man	man	8	1	NA	NA	1	1
who's	who's	16	1	NA	NA	0	0
kicking	kick-	16	1	NA	NA	0	0
kicking	ing	16	1	NA	NA	0	0
and	and	16	1	NA	NA	0	0
punching	punch-	16	1	NA	NA	0	0
punching	ing	16	1	NA	NA	0	0
and	and	16	1	NA	NA	0	0
cussing	cus-	16	1	NA	NA	0	0
cussing	sing	16	1	NA	NA	0	0
at	at	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
doctors	doc-	8	1	1	1	0	0
doctors	tors	4	1	1	2	1	1
down	down	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
hall	hall	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
child	child	8	1	NA	NA	0	0
taking	tak-	16	1	NA	NA	0	0
taking	ing	16	1	NA	NA	0	0
his	his	16	1	NA	NA	0	0
first	first	8	1	2	1	0	0
breath	breath	8	1	2	2	1	0
the	the	16	1	NA	NA	0	0
doctors	doc-	8	1	NA	NA	0	0
doctors	tors	16	1	NA	NA	0	0
ain't	ain't	16	1	NA	NA	0	0
even	e-	16	1	NA	NA	0	0
even	ven	16	1	NA	NA	0	0
passed	passed	8	1	NA	NA	0	0
him	him	16	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
nurse	nurse	8	1	2	1	0	0
yet	yet	8	1	2	2	1	0
yo	yo	8	1	NA	NA	0	1
i	i	16	1	NA	NA	0	0
wonder	won-	16	1	NA	NA	0	0
wonder	der	16	1	NA	NA	0	0
if	if	16	1	NA	NA	0	0
he	he	16	1	NA	NA	0	0
understand	un-	16	1	NA	NA	0	0
understand	der-	16	1	NA	NA	0	0
understand	stand	16	1	NA	NA	0	0
what	what	16	1	NA	NA	0	0
