word	syllable	quant	duration	rhymeClass	rhymeIndex	lineEnding	breathEnding
eat	eat	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
cake	cake	16	5	1	1	0	1
like	like	16	1	NA	NA	0	0
anna	an-	16	1	NA	NA	0	0
anna	na	16	1	NA	NA	0	0
mae	mae	16	4	1	1	1	1
young	young	16	2	NA	NA	0	0
based	based	16	2	NA	NA	0	0
god	god	16	2	NA	NA	0	0
and	and	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
been	been	16	2	NA	NA	0	0
doing	do-	24	1	NA	NA	0	0
doing	in	24	1	NA	NA	0	0
my	my	24	1	NA	NA	0	0
thing	thing	16	4	1	1	1	1
take	take	16	1	NA	NA	0	0
my	my	16	1	NA	NA	0	0
shirt	shirt	16	2	NA	NA	0	0
off	off	16	2	NA	NA	0	0
and	and	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
girls	girls	16	2	NA	NA	0	0
go	go	16	1	NA	NA	0	0
insane	in-	16	1	NA	NA	0	0
insane	sane	16	4	1	1	1	1
four	four	16	2	NA	NA	0	0
diamond	dia-	16	1	NA	NA	0	0
diamond	mond	16	1	NA	NA	0	0
rings	rings	16	4	1	1	0	1
two	two	16	2	NA	NA	0	0
big	big	16	1	NA	NA	0	0
ass	ass	16	1	NA	NA	0	0
chains	chains	16	4	1	1	1	1
eat	eat	16	1	NA	NA	0	0
that	that	16	1	NA	NA	0	0
wonton	won-	16	1	NA	NA	0	0
wonton	ton	16	1	NA	NA	0	0
soup	soup	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
got	got	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
cash	cash	16	1	NA	NA	0	0
like	like	16	1	NA	NA	0	0
chang	chang	16	1	NA	NA	0	0
chang	chang	16	1	NA	NA	0	0
chang	chang	16	4	1	1	1	1
bitches	bitch-	16	1	NA	NA	0	0
bitches	es	16	1	NA	NA	0	0
suck	suck	16	1	NA	NA	0	0
my	my	16	1	NA	NA	0	0
dick	dick	16	1	NA	NA	0	0
because	be-	16	1	NA	NA	0	0
because	cause	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
cum	cum	16	1	NA	NA	0	0
like	like	16	1	NA	NA	0	0
thirty	thir-	32	1	NA	NA	0	0
thirty	ty	32	1	NA	NA	0	0
six	six	16	1	NA	NA	0	0
ways	ways	16	4	1	1	1	1
a	a	16	1	NA	NA	0	0
k	k	16	1	NA	NA	0	0
forty	for-	16	1	NA	NA	0	0
forty	ty	16	1	NA	NA	0	0
seven	se-	16	1	NA	NA	0	0
seven	ven	16	1	NA	NA	0	0
leave	leave	16	1	NA	NA	0	0
that	that	16	1	NA	NA	0	0
bitch	bitch	16	1	NA	NA	0	0
with	with	16	1	NA	NA	0	0
no	no	16	1	NA	NA	0	0
fucking	fuck-	32	1	NA	NA	0	0
fucking	ing	32	1	NA	NA	0	0
name	name	16	4	1	1	1	1
call	call	16	1	NA	NA	0	0
my	my	16	1	NA	NA	0	0
main	main	16	2	NA	NA	0	0
bitch	bitch	16	2	NA	NA	0	0
and	and	16	1	NA	NA	0	0
she	she	16	1	NA	NA	0	0
stay	stay	16	2	NA	NA	0	0
giving	gi-	24	1	NA	NA	0	0
giving	ving	24	1	NA	NA	0	0
me	me	24	1	NA	NA	0	0
brain	brain	16	4	1	1	1	1
put	put	16	1	NA	NA	0	0
that	that	16	1	NA	NA	0	0
bitch	bitch	16	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
shame	shame	16	4	1	1	0	1
violate	vi-	16	1	NA	NA	0	0
violate	o-	16	1	NA	NA	0	0
violate	late	16	1	NA	NA	0	0
that	that	16	1	NA	NA	0	0
brain	brain	16	4	1	1	1	1
young	young	16	2	NA	NA	0	0
based	based	16	2	NA	NA	0	0
god	god	16	2	NA	NA	0	0
dope	dope	16	1	NA	NA	0	0
my	my	16	1	NA	NA	0	0
bitch	bitch	16	1	NA	NA	0	0
like	like	16	1	NA	NA	0	0
i'm	i'm	16	1	NA	NA	0	0
cocaine	co-	16	1	NA	NA	0	0
cocaine	caine	16	4	1	1	1	1
bitches	bitch-	16	1	NA	NA	0	0
bitches	es	16	1	NA	NA	0	0
snort	snort	16	1	NA	NA	0	0
my	my	16	1	NA	NA	0	0
ring	ring	16	3	1	1	0	0
that	that	16	1	NA	NA	0	0
crack	crack	16	1	NA	NA	0	0
pipe	pipe	16	1	NA	NA	0	0
like	like	16	1	NA	NA	0	0
my	my	16	1	NA	NA	0	0
chain	chain	16	4	1	1	1	1
found	found	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
dope	dope	16	2	NA	NA	0	0
man	man	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
ride	ride	16	1	NA	NA	0	0
that	that	16	1	NA	NA	0	0
bitch	bitch	16	1	NA	NA	0	0
like	like	16	1	NA	NA	0	0
ace	ace	16	1	NA	NA	0	0
of	of	16	1	NA	NA	0	0
spades	spades	16	4	1	1	1	1
ho	ho	16	1	NA	NA	0	0
don't	don't	16	1	NA	NA	0	0
play	play	16	1	NA	NA	0	0
that	that	16	1	NA	NA	0	0
game	game	16	3	1	1	0	1
i'm	i'm	16	1	NA	NA	0	0
rapping	rap-	16	1	NA	NA	0	0
rapping	ping	16	1	NA	NA	0	0
not	not	16	1	NA	NA	0	0
for	for	32	1	NA	NA	0	0
the	the	32	1	NA	NA	0	0
fame	fame	16	3	1	1	1	1
