word	syllable	quant	duration	rhymeClass	rhymeIndex	lineEnding	breathEnding
it's	it's	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
elephant	e-	16	1	NA	NA	0	0
elephant	le-	16	1	NA	NA	0	0
elephant	phant	16	1	1	1	0	0
in	in	16	1	1	2	0	0
the	the	16	1	1	3	0	0
room	room	16	3	1	4	1	1
created	cre-	16	1	NA	NA	0	0
created	a-	16	1	NA	NA	0	0
created	ted	16	1	NA	NA	0	0
by	by	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
collision	col-	16	1	2	1	0	0
collision	li-	16	1	2	2	0	0
collision	sion	16	1	2	3	0	0
of	of	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
sun	sun	16	1	1	1	0	0
and	and	16	1	1	2	0	0
the	the	16	1	1	3	0	0
moon	moon	16	3	1	4	1	1
my	my	16	1	NA	NA	0	0
sonogram	son-	16	1	NA	NA	0	0
sonogram	o-	16	1	NA	NA	0	0
sonogram	gram	16	1	NA	NA	0	0
was	was	16	1	NA	NA	0	0
an	an	16	1	2	1	0	0
image	i-	16	1	2	2	0	0
image	mage	16	1	2	3	0	0
of	of	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
gun	gun	16	1	1	1	0	0
in	in	16	1	1	2	0	0
the	the	16	1	1	3	0	0
womb	womb	8	1	1	4	1	0
that	that	16	1	NA	NA	0	0
was	was	16	1	1	3	0	0
soon	soon	8	1	1	4	0	1
to	to	16	1	NA	NA	0	0
be	be	16	1	NA	NA	0	0
doper	do-	16	1	NA	NA	0	0
doper	per	16	1	NA	NA	0	0
than	than	16	1	NA	NA	0	0
heroin	her-	32	1	NA	NA	0	0
heroin	o-	32	1	NA	NA	0	0
heroin	in	8	1	1	1	0	0
in	in	16	1	1	2	0	0
a	a	16	1	1	3	0	0
spoon	spoon	8	1	1	4	1	1
i'm	i'm	16	1	NA	NA	0	0
astonishing	a-	16	1	NA	NA	0	0
astonishing	ston-	16	1	3	1	0	0
astonishing	ish-	16	1	3	2	0	0
astonishing	ing	8	1	3	3	0	0
honestly	ho-	16	1	3	1	0	0
honestly	nest-	16	1	3	2	0	0
honestly	ly	16	1	3	3	0	0
my	my	16	1	NA	NA	0	0
future	fut-	16	1	NA	NA	0	0
future	ure	16	1	NA	NA	0	0
looking	look-	16	1	NA	NA	0	0
looking	ing	16	1	NA	NA	0	0
promising	pro-	16	1	3	1	0	0
promising	mi-	16	1	3	2	0	0
promising	sing	8	1	3	3	1	1
as	as	16	1	NA	NA	0	0
my	my	16	1	NA	NA	0	0
skin	skin	8	1	NA	NA	0	0
tone	tone	8	1	NA	NA	0	0
and	and	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
crystal	cry-	16	1	NA	NA	0	0
crystal	stal	16	1	NA	NA	0	0
clean	clean	8	1	NA	NA	0	0
onyx	on-	16	1	3	1	0	0
onyx	yx	16	1	3	2	0	0
is	is	8	1	3	3	1	1
darker	dar-	16	1	NA	NA	0	0
darker	ker	16	1	NA	NA	0	0
thoughts	thoughts	8	1	NA	NA	0	0
let	let	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
beats	beats	8	1	NA	NA	0	0
break	break	8	1	NA	NA	0	0
like	like	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
amish's	a-	16	1	3	1	0	0
amish's	mish-	16	1	3	2	0	0
amish's	's	8	1	3	3	1	1
i'm	i'm	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
stroke	stroke	16	1	NA	NA	0	0
of	of	16	1	NA	NA	0	0
genius	gen-	16	1	NA	NA	0	0
genius	ius	16	1	NA	NA	0	0
like	like	8	1	NA	NA	0	1
mickalene	mic-	16	1	NA	NA	0	0
mickalene	ka-	16	1	NA	NA	0	0
mickalene	lene	8	1	NA	NA	0	0
thomas	tho-	16	1	3	1	0	0
thomas	mas	16	1	3	2	0	0
is	is	8	1	3	3	1	1
hip	hip	8	1	NA	NA	0	0
hop	hop	16	1	NA	NA	0	0
and	and	16	1	NA	NA	0	0
body	bo-	16	1	NA	NA	0	0
body	dy	16	1	NA	NA	0	0
rocking	rock-	16	1	NA	NA	0	0
rocking	ing	16	1	NA	NA	0	0
doing	do-	16	1	4	1	0	0
doing	ing	16	1	4	2	0	0
it	it	16	1	4	3	0	0
dude	dude	8	1	4	4	1	1
i	i	16	1	NA	NA	0	0
am	am	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
living	liv-	16	1	NA	NA	0	0
living	ing	16	1	NA	NA	0	0
definition	de-	16	1	NA	NA	0	0
definition	fi-	16	1	NA	NA	0	0
definition	ni-	16	1	NA	NA	0	0
definition	tion	16	1	NA	NA	0	0
of	of	16	1	NA	NA	0	0
improving	im-	16	1	NA	NA	0	0
improving	prov-	16	1	4	1	0	0
improving	ing	16	1	4	2	0	0
the	the	16	1	4	3	0	0
groove	groove	8	1	4	4	1	1
i	i	16	1	NA	NA	0	0
use	use	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
same	same	8	1	NA	NA	0	0
tools	tools	8	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
shoot	shoot	8	1	NA	NA	0	1
that	that	16	1	NA	NA	0	0
kuberick	ku-	16	1	4	1	0	0
kuberick	be-	16	1	4	2	0	0
kuberick	rick	16	1	4	3	0	0
used	used	16	3	4	4	1	1
take	take	16	1	NA	NA	0	0
your	your	16	1	NA	NA	0	0
hero	he-	16	1	NA	NA	0	0
hero	ro	16	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
river	ri-	16	1	NA	NA	0	0
river	ver	16	1	NA	NA	0	0
give	give	16	1	NA	NA	0	0
them	them	16	1	NA	NA	0	0
two	two	16	1	4	1	0	0
berrick	ber-	16	1	4	2	0	0
berrick	rick	16	1	4	3	0	0
shoes	shoes	16	3	4	4	1	1
who	who	16	1	4	3	0	0
lose	lose	16	3	4	4	0	1
if	if	16	1	NA	NA	0	0
you	you	16	1	NA	NA	0	0
really	real-	16	1	NA	NA	0	0
really	ly	16	1	NA	NA	0	0
ain't	ain't	16	1	NA	NA	0	0
nobody	no-	16	1	NA	NA	0	0
nobody	bo-	16	1	NA	NA	0	0
nobody	dy	16	1	NA	NA	0	0
till	till	16	1	NA	NA	0	0
somebody	some-	16	1	NA	NA	0	0
somebody	bo-	16	1	5	1	0	0
somebody	dy	16	1	5	2	0	0
love	love	16	1	5	3	0	0
you	you	8	1	5	4	1	1
i	i	16	1	NA	NA	0	0
say	say	16	1	NA	NA	0	0
you	you	16	1	NA	NA	0	0
ain't	ain't	16	1	NA	NA	0	0
nobody	no-	16	1	NA	NA	0	0
nobody	bo-	16	1	NA	NA	0	0
nobody	dy	16	1	NA	NA	0	0
