word	syllable	quant	duration	rhymeClass	rhymeIndex	lineEnding	breathEnding
now	now	16	1	NA	NA	0	0
she	she	16	1	NA	NA	0	0
told	told	16	1	NA	NA	0	0
me	me	16	1	NA	NA	0	0
cheddar	ched-	16	1	NA	NA	0	0
cheddar	dar	16	1	NA	NA	0	0
cheese	cheese	8	1	NA	NA	0	0
grits	grits	8	1	1	1	0	0
two	two	16	1	NA	NA	0	0
tomato	to-	16	1	NA	NA	0	0
tomato	ma-	16	1	NA	NA	0	0
tomato	to	16	1	NA	NA	0	0
fried	fried	8	1	NA	NA	0	0
fish	fish	8	1	1	1	1	1
cause	cause	16	1	NA	NA	0	0
she	she	16	1	NA	NA	0	0
heard	heard	16	1	NA	NA	0	0
it's	it's	16	1	NA	NA	0	0
my	my	8	1	NA	NA	0	0
dish	dish	8	1	1	1	0	1
tryna	try-	16	1	NA	NA	0	0
tryna	na	16	1	NA	NA	0	0
be	be	16	1	NA	NA	0	0
my	my	16	1	NA	NA	0	0
sidekick	side-	8	1	NA	NA	0	0
sidekick	kick	8	1	1	1	1	1
all	all	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
people	peo-	16	1	NA	NA	0	0
people	ple	16	1	NA	NA	0	0
all	all	16	1	NA	NA	0	0
around	a-	16	1	NA	NA	0	0
around	round	8	1	NA	NA	0	0
thinking	think-	16	1	NA	NA	0	0
thinking	ing	16	1	NA	NA	0	0
she	she	16	1	NA	NA	0	0
was	was	16	1	NA	NA	0	0
my	my	8	1	NA	NA	0	0
chick	chick	8	1	1	1	1	1
sayin	say-	16	1	NA	NA	0	0
sayin	in	16	1	NA	NA	0	0
damn	damn	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
girl	girl	8	1	NA	NA	0	0
thick	thick	8	1	1	1	0	1
but	but	16	1	NA	NA	0	0
she	she	16	1	NA	NA	0	0
ain't	ain't	16	1	NA	NA	0	0
no	no	16	1	NA	NA	0	0
twenty	twen-	16	1	NA	NA	0	0
twenty	ty	16	1	NA	NA	0	0
six	six	8	1	1	1	1	1
lookin	look-	16	1	NA	NA	0	0
lookin	in	16	1	NA	NA	0	0
at	at	16	1	NA	NA	0	0
me	me	16	1	NA	NA	0	0
like	like	16	1	NA	NA	0	0
i'm	i'm	16	1	NA	NA	0	0
up	up	16	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
something	some-	16	1	NA	NA	0	0
something	thing	16	1	NA	NA	0	0
on	on	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
funny	fun-	16	1	NA	NA	0	0
funny	ny	16	1	NA	NA	0	0
tip	tip	8	1	1	1	1	1
like	like	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
ever	e-	16	1	NA	NA	0	0
ever	ver	16	1	NA	NA	0	0
really	real-	16	1	NA	NA	0	0
really	ly	16	1	NA	NA	0	0
been	been	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
one	one	16	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
try	try	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
honey	hon-	16	1	NA	NA	0	0
honey	ey	16	1	NA	NA	0	0
drip	drip	8	1	1	1	1	1
it's	it's	16	1	NA	NA	0	0
your	your	16	1	NA	NA	0	0
birthday	birth-	8	1	NA	NA	0	0
birthday	day	16	1	NA	NA	0	0
so	so	16	1	NA	NA	0	0
let	let	16	1	NA	NA	0	0
me	me	16	1	NA	NA	0	0
know	know	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
gift	gift	16	1	NA	NA	0	0
you	you	16	1	NA	NA	0	0
wanna	wan-	16	1	NA	NA	0	0
wanna	na	16	1	NA	NA	0	0
get	get	8	1	1	1	1	1
in	in	16	1	NA	NA	0	0
fact	fact	8	1	NA	NA	0	1
blow	blow	16	1	NA	NA	0	0
out	out	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
candles	cand-	16	1	NA	NA	0	0
candles	les	16	1	NA	NA	0	0
on	on	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
cake	cake	16	1	NA	NA	0	0
and	and	16	1	NA	NA	0	0
make	make	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
wish	wish	8	1	1	1	0	0
for	for	16	1	NA	NA	0	0
me	me	8	1	NA	NA	1	1
