word	syllable	quant	duration	rhymeClass	rhymeIndex	lineEnding	breathEnding
never	ne-	16	1	NA	NA	0	0
never	ver	16	1	NA	NA	0	0
was	was	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
thug	thug	16	2	1	6	0	0
just	just	16	1	NA	NA	0	0
infatuated	in-	16	1	NA	NA	0	0
infatuated	fa-	16	1	1	1	0	0
infatuated	tu-	16	1	1	2	0	0
infatuated	a-	16	1	1	3	0	0
infatuated	ted	16	1	1	4	0	0
with	with	16	1	1	5	0	0
guns	guns	16	3	1	6	1	1
never	ne-	16	1	NA	NA	0	0
never	ver	16	1	NA	NA	0	0
was	was	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
gangsta	gang-	16	1	NA	NA	0	0
gangsta	sta	16	1	NA	NA	0	0
til	til	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
graduated	gra-	16	1	1	1	0	0
graduated	du-	16	1	1	2	0	0
graduated	a-	16	1	1	3	0	0
graduated	ted	16	1	1	4	0	0
to	to	16	1	1	5	0	0
one	one	16	2	1	6	1	0
and	and	16	1	NA	NA	0	0
got	got	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
rep	rep	16	2	NA	NA	0	0
of	of	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
villain	vill-	16	1	2	1	0	0
villain	ain	16	2	2	2	0	1
for	for	16	1	NA	NA	0	0
weapon	wea-	16	2	NA	NA	0	0
weapon	pon	16	1	NA	NA	0	0
concealing	con-	16	1	NA	NA	0	0
concealing	ceal-	16	1	2	1	0	0
concealing	ing	16	3	2	2	1	1
took	took	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
image	i-	16	1	NA	NA	0	0
image	mage	16	1	NA	NA	0	0
of	of	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
thug	thug	16	2	NA	NA	0	0
kept	kept	16	2	NA	NA	0	0
shit	shit	16	1	NA	NA	0	0
appealing	ap-	16	1	NA	NA	0	0
appealing	peal-	16	1	2	1	0	0
appealing	ing	16	1	2	2	1	0
willing	wil-	16	1	2	1	0	0
willing	ling	16	1	2	2	0	0
to	to	16	1	NA	NA	0	0
stick	stick	16	1	NA	NA	0	0
out	out	16	1	NA	NA	0	0
my	my	16	1	NA	NA	0	0
neck	neck	16	2	3	1	0	0
for	for	16	1	NA	NA	0	0
respect	re-	16	1	NA	NA	0	0
respect	spect	16	2	3	1	0	0
if	if	16	1	NA	NA	0	0
it	it	16	1	NA	NA	0	0
meant	meant	16	2	3	1	1	0
life	life	16	1	NA	NA	0	0
or	or	16	1	NA	NA	0	0
death	death	16	3	3	1	0	1
never	ne-	16	1	NA	NA	0	0
never	ver	16	1	NA	NA	0	0
live	live	16	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
regret	re-	16	1	NA	NA	0	0
regret	gret	16	2	3	1	0	0
what	what	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
said	said	16	2	NA	NA	1	0
when	when	16	1	NA	NA	0	0
youre	youre	16	1	NA	NA	0	0
me	me	16	3	4	1	0	0
people	peo-	16	1	NA	NA	0	0
people	ple	16	1	NA	NA	0	0
just	just	16	1	NA	NA	0	0
want	want	16	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
see	see	16	2	4	1	0	0
if	if	16	1	NA	NA	0	0
its	its	16	1	NA	NA	0	0
true	true	16	2	5	1	1	0
if	if	16	1	NA	NA	0	0
its	its	16	1	NA	NA	0	0
you	you	16	3	5	1	0	1
what	what	16	1	NA	NA	0	0
you	you	16	1	NA	NA	0	0
say	say	16	1	NA	NA	0	0
in	in	16	1	NA	NA	0	0
your	your	16	1	NA	NA	0	0
raps	raps	16	2	NA	NA	0	0
what	what	16	1	NA	NA	0	0
you	you	16	1	NA	NA	0	0
do	do	16	2	5	1	1	0
so	so	16	1	NA	NA	0	0
they	they	16	1	NA	NA	0	0
feel	feel	16	2	NA	NA	0	1
its	its	16	1	NA	NA	0	0
part	part	16	1	NA	NA	0	0
of	of	16	1	NA	NA	0	0
your	your	16	1	NA	NA	0	0
obligation	ob-	16	1	6	1	0	0
obligation	li-	16	1	6	2	0	0
obligation	ga-	16	1	6	3	0	0
obligation	tion	16	1	6	4	0	0
to	to	16	1	NA	NA	0	0
fulfill	ful-	16	1	NA	NA	0	0
fulfill	fill	16	2	7	1	1	0
when	when	16	1	NA	NA	0	0
they	they	16	1	NA	NA	0	0
see	see	16	1	NA	NA	0	0
you	you	16	1	NA	NA	0	0
on	on	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
streets	streets	16	2	NA	NA	0	0
face	face	16	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
face	face	16	1	NA	NA	0	0
are	are	16	1	NA	NA	0	0
you	you	16	1	NA	NA	0	0
for	for	16	1	NA	NA	0	0
real	real	16	3	7	1	1	1
in	in	16	1	NA	NA	0	0
confrontation	con-	16	1	6	1	0	0
confrontation	front-	16	1	6	2	0	0
confrontation	a-	16	1	6	3	0	0
confrontation	tion	16	1	6	4	0	0
aint	aint	16	1	NA	NA	0	0
no	no	16	1	NA	NA	0	0
conversation	con-	16	1	6	1	0	0
conversation	ver-	16	1	6	2	0	0
conversation	sa-	16	1	6	3	0	0
conversation	tion	16	1	6	4	0	0
if	if	16	1	NA	NA	0	0
you	you	16	1	NA	NA	0	0
feel	feel	16	2	NA	NA	1	1
youre	youre	16	1	NA	NA	0	0
in	in	16	1	NA	NA	0	0
violation	vi-	16	1	6	1	0	0
violation	o-	16	1	6	2	0	0
violation	la-	16	1	6	3	0	0
violation	tion	16	1	6	4	0	0
any	a-	16	1	NA	NA	0	0
any	ny	16	1	NA	NA	0	0
hesitation	he-	16	1	6	1	0	0
hesitation	si-	16	1	6	2	0	0
hesitation	ta-	16	1	6	3	0	0
hesitation	tion	32	1	6	4	0	0
will	will	32	1	NA	NA	0	0
get	get	16	1	NA	NA	0	0
you	you	16	1	NA	NA	0	0
killed	killed	16	2	7	1	1	0
if	if	16	1	NA	NA	0	0
you	you	16	1	NA	NA	0	0
feel	feel	16	1	NA	NA	0	0
it	it	16	1	NA	NA	0	0
kill	kill	16	1	8	1	0	0
it	it	16	1	8	2	0	1
if	if	16	1	NA	NA	0	0
you	you	16	1	NA	NA	0	0
conceal	con-	16	1	NA	NA	0	0
conceal	ceal	16	1	8	1	0	0
it	it	16	1	8	2	0	0
reveal	re-	16	1	NA	NA	0	0
reveal	veal	16	1	8	1	0	0
it	it	16	3	8	2	1	1
being	be-	16	1	NA	NA	0	0
being	ing	16	1	NA	NA	0	0
reasonable	rea-	16	1	NA	NA	0	0
reasonable	son-	32	1	NA	NA	0	0
reasonable	a-	32	1	NA	NA	0	0
reasonable	ble	16	1	NA	NA	0	0
will	will	16	1	NA	NA	0	0
leave	leave	16	1	NA	NA	0	0
you	you	16	1	NA	NA	0	0
full	full	16	1	NA	NA	0	0
of	of	16	1	NA	NA	0	0
bullets	bul-	16	1	8	1	0	0
bullets	lets	16	1	8	2	1	0
pull	pull	16	1	8	1	0	0
