word	syllable	quant	duration	rhymeClass	rhymeIndex	lineEnding	breathEnding
i	i	16	1	NA	NA	0	0
used	used	16	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
say	say	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
never	ne-	16	1	NA	NA	0	0
never	ver	16	1	NA	NA	0	0
met	met	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
girl	girl	16	1	NA	NA	0	0
like	like	16	1	NA	NA	0	0
you	you	16	1	1	1	0	0
before	be-	16	1	1	2	0	0
before	fore	16	3	1	3	1	1
still	still	16	1	NA	NA	0	0
ain't	ain't	16	1	NA	NA	0	0
got	got	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
fucking	fuck-	16	1	NA	NA	0	0
fucking	ing	16	1	NA	NA	0	0
clue	clue	16	1	1	1	0	0
as	as	16	1	1	2	0	0
to	to	16	1	1	3	0	0
who	who	16	1	NA	NA	0	0
you	you	16	1	1	1	0	0
truly	tru-	16	1	1	2	0	0
truly	ly	16	1	1	3	0	0
are	are	16	3	NA	NA	1	1
almost	al-	16	1	NA	NA	0	0
almost	most	16	1	NA	NA	0	0
went	went	16	1	NA	NA	0	0
as	as	16	1	NA	NA	0	0
far	far	16	1	NA	NA	0	0
as	as	16	1	NA	NA	0	0
introducing	in-	16	1	NA	NA	0	0
introducing	tro-	16	1	NA	NA	0	0
introducing	du-	16	1	NA	NA	0	0
introducing	cing	16	1	NA	NA	0	0
you	you	16	1	NA	NA	0	0
to	to	16	1	1	1	0	0
my	my	16	1	1	2	0	0
daughters	daugh-	16	1	1	3	0	0
daughters	ters	16	2	NA	NA	1	1
'til	'til	16	1	NA	NA	0	0
you	you	16	1	NA	NA	0	0
went	went	16	1	NA	NA	0	0
as	as	16	1	NA	NA	0	0
far	far	16	1	NA	NA	0	0
as	as	16	1	NA	NA	0	0
going	go-	16	1	NA	NA	0	0
going	ing	16	1	NA	NA	0	0
and	and	16	1	NA	NA	0	0
snooping	snoop-	16	1	NA	NA	0	0
