word	syllable	quant	duration	rhymeClass	rhymeIndex	lineEnding	breathEnding
right	right	16	2	NA	NA	0	0
now	now	16	3	NA	NA	0	0
i'm	i'm	16	1	NA	NA	0	0
smiling	smi-	16	1	NA	NA	0	0
smiling	ling	16	3	NA	NA	0	1
taking	tak-	24	1	NA	NA	0	0
taking	ing	24	1	NA	NA	0	0
advantage	ad-	24	1	NA	NA	0	0
advantage	van-	16	1	NA	NA	0	0
advantage	tage	16	1	NA	NA	0	0
of	of	16	1	NA	NA	0	0
this	this	16	1	NA	NA	0	0
moment	mo-	16	1	1	1	0	0
moment	ment	16	1	1	2	1	0
cause	cause	16	1	NA	NA	0	0
there	there	16	1	NA	NA	0	0
might	might	16	1	NA	NA	0	0
not	not	16	1	NA	NA	0	0
be	be	16	1	NA	NA	0	0
another	a-	16	1	NA	NA	0	0
another	no-	16	1	3	1	0	0
another	ther	16	1	3	2	0	0
soon	soon	16	4	3	3	1	1
holding	hold-	16	1	1	1	0	0
holding	ing	16	1	1	2	0	0
on	on	16	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
memories	me-	16	1	NA	NA	0	0
memories	mo-	16	1	NA	NA	0	0
memories	ries	16	1	NA	NA	0	0
like	like	16	1	NA	NA	0	0
roller	rol-	16	1	NA	NA	0	0
roller	ler	16	1	NA	NA	0	0
coaster	coast-	16	1	1	1	0	0
coaster	er	16	1	1	2	0	0
handle	hand-	16	1	NA	NA	0	0
handle	le	16	1	NA	NA	0	0
bars	bars	16	2	NA	NA	0	1
tightly	tight-	16	1	2	1	0	0
tightly	ly	16	1	2	2	1	0
cause	cause	16	1	NA	NA	0	0
i'm	i'm	16	1	NA	NA	0	0
slightly	slight-	16	1	2	1	0	0
slightly	ly	16	1	2	2	0	0
off	off	16	1	NA	NA	0	0
my	my	16	1	NA	NA	0	0
rocker	rock-	16	1	NA	NA	0	0
rocker	er	16	1	NA	NA	0	0
but	but	16	1	3	1	0	0
to	to	16	1	3	2	0	0
you	you	16	3	3	3	1	1
i	i	16	1	NA	NA	0	0
may	may	16	1	NA	NA	0	0
appear	ap-	16	1	NA	NA	0	0
appear	pear	16	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
be	be	16	1	NA	NA	0	0
your	your	16	1	NA	NA	0	0
average	ave-	16	1	NA	NA	0	0
average	rage	16	1	NA	NA	0	0
joe	joe	16	1	4	1	0	0
but	but	16	1	NA	NA	0	0
little	lit-	16	1	NA	NA	0	0
little	tle	16	1	NA	NA	0	0
do	do	16	1	NA	NA	0	0
you	you	16	1	NA	NA	0	0
know	know	16	1	4	1	0	0
that	that	16	1	NA	NA	1	0
even	e-	16	1	NA	NA	0	0
even	ven	16	1	NA	NA	0	0
joe	joe	16	1	4	1	0	0
got	got	16	1	NA	NA	0	0
problems	prob-	16	1	NA	NA	0	0
problems	lems	16	1	NA	NA	0	0
that	that	16	1	NA	NA	0	0
he	he	16	1	NA	NA	0	0
gots	gots	16	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
joust	joust	16	2	NA	NA	0	0
with	with	16	4	5	1	1	1
floating	float-	16	1	4	1	0	0
floating	ing	16	1	NA	NA	0	0
in	in	16	1	NA	NA	0	0
this	this	16	1	NA	NA	0	0
game	game	16	1	NA	NA	0	0
of	of	16	1	NA	NA	0	0
life	life	16	1	NA	NA	0	0
despite	des-	16	1	NA	NA	0	0
despite	pite	16	1	NA	NA	0	0
how	how	16	1	NA	NA	0	0
out	out	16	1	NA	NA	0	0
of	of	16	1	NA	NA	0	0
place	place	16	1	NA	NA	0	0
you	you	16	1	NA	NA	0	0
may	may	16	1	NA	NA	0	0
feel	feel	16	3	NA	NA	1	1
in	in	16	1	NA	NA	0	0
this	this	16	1	NA	NA	0	0
race	race	16	2	NA	NA	0	0
oh	oh	16	1	NA	NA	0	0
you	you	16	1	NA	NA	0	0
just	just	16	2	NA	NA	0	0
can't	can't	16	2	NA	NA	0	0
quit	quit	16	5	5	1	1	1
ain't	ain't	16	1	NA	NA	0	0
that	that	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
bitch	bitch	16	1	5	1	0	0
that	that	16	1	NA	NA	0	0
being	be-	16	1	NA	NA	0	0
being	ing	16	1	NA	NA	0	0
heat	heat	16	2	6	1	0	1
i'm	i'm	24	1	NA	NA	0	0
on	on	24	1	NA	NA	0	0
the	the	24	1	NA	NA	0	0
beat	beat	16	2	6	1	0	1
like	like	16	2	NA	NA	0	0
cops	cops	16	4	7	1	1	1
only	on-	16	1	NA	NA	0	0
only	ly	16	1	NA	NA	0	0
cultivate	cul-	16	1	NA	NA	0	0
cultivate	ti-	16	1	NA	NA	0	0
cultivate	vate	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
stable	stab-	16	1	NA	NA	0	0
stable	le	16	1	NA	NA	0	0
dirt	dirt	24	1	NA	NA	0	0
when	when	24	1	NA	NA	0	0
i	i	24	1	NA	NA	0	0
skeet	skeet	16	1	NA	NA	0	0
my	my	16	1	NA	NA	0	0
drops	drops	16	3	7	1	1	1
no	no	16	1	NA	NA	0	0
concentrating	con-	16	1	NA	NA	0	0
concentrating	cen-	16	1	NA	NA	0	0
concentrating	tra-	16	1	NA	NA	0	0
concentrating	ting	16	1	NA	NA	0	0
knocking	knock-	16	1	NA	NA	0	0
knocking	ing	16	1	NA	NA	0	0
other	o-	16	1	NA	NA	0	0
other	ther	16	1	NA	NA	0	0
niggas	nig-	16	1	NA	NA	0	0
niggas	gas	16	1	NA	NA	0	0
out	out	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
box	box	16	4	7	1	1	1
why	why	16	3	8	1	0	1
cause	cause	16	1	NA	NA	0	0
in	in	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
sense	sense	16	4	NA	NA	0	1
see	see	16	1	NA	NA	0	0
we	we	16	1	NA	NA	0	0
all	all	16	1	NA	NA	0	0
be	be	16	1	NA	NA	0	0
kind	kind	16	1	NA	NA	0	0
of	of	16	1	NA	NA	0	0
fly	fly	16	1	8	1	1	0
just	just	16	1	NA	NA	0	0
can't	can't	16	1	NA	NA	0	0
be	be	16	1	NA	NA	0	0
scared	scared	16	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
spread	spread	16	1	NA	NA	0	0
your	your	16	1	NA	NA	0	0
wings	wings	16	4	9	1	0	1
head	head	16	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
better	be-	16	1	NA	NA	0	0
better	tter	16	1	NA	NA	0	0
things	things	16	4	9	1	1	1
maybe	may-	24	1	NA	NA	0	0
maybe	be	24	1	NA	NA	0	0
the	the	24	1	NA	NA	0	0
mockingbird	mock-	16	1	NA	NA	0	0
mockingbird	ing-	16	1	NA	NA	0	0
mockingbird	bird	16	1	NA	NA	0	0
and	and	16	1	NA	NA	0	0
nightengale	night-	16	1	NA	NA	0	0
nightengale	en-	16	1	NA	NA	0	0
nightengale	gale	16	1	NA	NA	0	0
they	they	16	1	NA	NA	0	0
want	want	16	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
sing	sing	16	4	9	1	1	1
keeping	keep-	24	1	NA	NA	0	0
keeping	ing	24	1	NA	NA	0	0
this	this	24	1	NA	NA	0	0
thing	thing	16	1	9	1	0	0
alive	a-	16	1	NA	NA	0	0
alive	live	16	2	NA	NA	0	1
to	to	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
table's	tab-	16	1	NA	NA	0	0
table's	le's	16	1	NA	NA	0	0
what	what	16	1	NA	NA	0	0
we	we	16	1	NA	NA	0	0
bring	bring	16	2	9	1	1	1
we	we	16	1	NA	NA	0	0
like	like	16	1	NA	NA	0	0
hail	hail	16	1	NA	NA	0	0
storms	storms	16	2	NA	NA	0	0
and	and	16	1	NA	NA	0	0
blizzards	bliz-	16	1	NA	NA	0	0
blizzards	zards	16	1	NA	NA	0	0
in	in	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
middle	mid-	16	1	NA	NA	0	0
middle	dle	16	1	NA	NA	0	0
of	of	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
spring	spring	16	6	9	1	1	0
extraterrestrial	ex-	16	2	NA	NA	0	0
extraterrestrial	tra-	16	2	NA	NA	0	0
extraterrestrial	ter-	16	1	NA	NA	0	0
extraterrestrial	res-	16	2	NA	NA	0	0
extraterrestrial	tri-	16	1	NA	NA	0	0
extraterrestrial	al	16	2	NA	NA	1	1
