word	syllable	quant	duration	rhymeClass	rhymeIndex	lineEnding	breathEnding
rappers	rap-	16	1	NA	NA	0	0
rappers	pers	16	1	NA	NA	0	0
stepping	step-	16	1	NA	NA	0	0
stepping	ping	16	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
me	me	16	4	NA	NA	0	1
they	they	16	1	NA	NA	0	0
want	want	16	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
get	get	16	2	NA	NA	0	0
some	some	16	3	1	1	1	1
but	but	16	1	NA	NA	0	0
i'm	i'm	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
kane	kane	16	2	NA	NA	0	0
so	so	16	1	NA	NA	0	0
yo	yo	16	2	NA	NA	0	1
you	you	16	1	NA	NA	0	0
know	know	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
outcome	out-	16	2	NA	NA	0	0
outcome	come	16	3	1	1	1	1
another	a-	16	1	NA	NA	0	0
another	no-	16	1	NA	NA	0	0
another	ther	16	1	NA	NA	0	0
victory	vict-	16	1	2	1	0	0
victory	or-	16	1	2	2	0	0
victory	y	16	3	2	3	0	1
they	they	16	1	NA	NA	0	0
can't	can't	16	2	NA	NA	0	0
get	get	16	1	2	1	0	0
with	with	16	1	2	2	0	0
me	me	16	3	2	3	1	1
so	so	16	1	NA	NA	0	0
pick	pick	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
b	b	16	1	NA	NA	0	0
c	c	16	2	NA	NA	0	0
date	date	16	2	NA	NA	0	0
cause	cause	16	1	NA	NA	0	0
you're	you're	16	2	NA	NA	0	0
history	his-	16	1	2	1	0	0
history	to-	16	1	2	2	0	0
history	ry	16	3	2	3	1	1
i'm	i'm	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
authentic	auth-	16	1	NA	NA	0	0
authentic	en-	16	1	NA	NA	0	0
authentic	tic	16	2	NA	NA	0	0
poet	po-	16	1	NA	NA	0	0
poet	et	16	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
get	get	16	2	NA	NA	0	0
lyrical	lyr-	16	1	3	1	0	0
lyrical	i-	16	1	3	2	0	0
lyrical	cal	16	3	3	3	1	1
for	for	16	1	NA	NA	0	0
you	you	16	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
beat	beat	16	1	NA	NA	0	0
me	me	16	2	NA	NA	0	1
it's	it's	16	1	NA	NA	0	0
gonna	gon-	16	1	NA	NA	0	0
gonna	na	16	1	NA	NA	0	0
take	take	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
miracle	mi-	16	1	3	1	0	0
miracle	ra-	16	1	3	2	0	0
miracle	cle	16	1	3	3	1	0
and	and	16	3	NA	NA	0	1
stepping	step-	16	1	NA	NA	0	0
stepping	ping	16	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
me	me	16	4	NA	NA	0	1
yo	yo	16	1	NA	NA	0	0
that's	that's	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
wrong	wrong	16	2	4	1	0	0
move	move	16	3	4	2	1	1
so	so	16	1	NA	NA	0	0
what	what	16	1	NA	NA	0	0
you	you	16	1	NA	NA	0	0
on	on	16	2	NA	NA	0	0
hobbs	hobbs	16	4	NA	NA	0	1
dope	dope	16	1	NA	NA	0	0
or	or	16	1	NA	NA	0	0
dog	dog	16	2	4	1	0	0
food	food	16	4	4	2	1	1
competition	comp-	16	1	NA	NA	0	0
competition	e-	16	1	NA	NA	0	0
competition	ti-	16	1	NA	NA	0	0
competition	tion	16	4	NA	NA	0	1
i	i	16	1	NA	NA	0	0
just	just	16	1	NA	NA	0	0
devour	de-	16	1	5	1	0	0
devour	vo-	16	1	5	2	0	0
devour	ur	16	5	5	3	1	1
like	like	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
pit	pit	12	1	NA	NA	0	0
bull	bull	12	1	NA	NA	0	0
against	a-	12	1	NA	NA	0	0
against	gainst	12	1	NA	NA	0	0
a	a	12	1	NA	NA	0	0
chihuahua	chi-	12	1	5	1	0	0
chihuahua	hua-	12	1	5	2	0	0
chihuahua	hua	12	1	5	3	1	1
cause	cause	12	1	NA	NA	0	0
when	when	16	1	NA	NA	0	0
it	it	16	1	NA	NA	0	0
comes	comes	16	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
being	be-	16	1	NA	NA	0	0
being	ing	16	2	NA	NA	0	0
dope	dope	16	2	NA	NA	0	0
hot	hot	16	2	NA	NA	0	0
damn	damn	16	2	6	1	1	0
i	i	16	1	NA	NA	0	0
got	got	16	1	NA	NA	0	0
it	it	16	1	NA	NA	0	0
good	good	16	5	NA	NA	0	1
now	now	16	1	NA	NA	0	0
let	let	16	1	NA	NA	0	0
me	me	16	1	NA	NA	0	0
tell	tell	16	1	NA	NA	0	0
you	you	16	1	NA	NA	0	0
who	who	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
am	am	16	3	6	1	1	1
the	the	16	1	NA	NA	0	0
b	b	12	1	NA	NA	0	0
i	i	12	1	NA	NA	0	0
g	g	12	1	NA	NA	0	0
d	d	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
double	doub-	16	1	NA	NA	0	0
double	le	16	1	NA	NA	0	0
d	d	16	1	NA	NA	0	0
y	y	16	1	NA	NA	0	0
k	k	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
n	n	16	1	7	1	0	0
e	e	16	2	7	2	1	1
dramatic	dra-	16	1	8	1	0	0
dramatic	ma-	16	1	8	2	0	0
dramatic	tic	16	3	8	3	0	1
asiatic	a-	16	1	NA	NA	0	0
asiatic	si-	16	1	8	1	0	0
asiatic	a-	16	1	8	2	0	0
asiatic	tic	16	2	8	3	0	1
not	not	16	1	NA	NA	0	0
like	like	16	2	NA	NA	0	0
many	ma-	16	1	7	1	0	0
many	ny	16	2	7	2	1	1
i'm	i'm	16	1	NA	NA	0	0
different	dif-	32	1	NA	NA	0	0
different	fer-	32	1	NA	NA	0	0
different	ent	16	4	NA	NA	0	1
so	so	16	1	NA	NA	0	0
don't	don't	16	1	NA	NA	0	0
compare	com-	16	1	NA	NA	0	0
compare	pare	16	1	NA	NA	0	0
me	me	16	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
another	a-	16	1	9	1	0	0
another	no-	16	1	9	2	0	0
another	ther	16	2	9	3	1	1
cause	cause	16	1	NA	NA	0	0
they	they	16	1	NA	NA	0	0
can't	can't	16	2	NA	NA	0	0
